run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,16874,2102397,124,684,192,6,668,135,111,3.125,31394,85,467,368,193,1,84,84,84,0.5181347,56004,153,632,366,
2,16834,2099525,124,905,192,2,201,135,100,1.0416667,29189,79,437,365,193,0,0,0,0,0.0,56145,153,640,365,
3,16878,2122280,125,779,192,11,1785,301,162,5.729167,30935,84,470,366,193,3,323,141,107,1.5544041,53217,145,677,365,
4,17140,2225771,129,757,192,14,1537,186,109,7.2916665,32271,87,468,367,193,0,0,0,0,0.0,57344,156,546,366,
5,17108,2209042,129,850,192,9,1000,179,111,4.6875,28918,79,422,366,193,5,669,243,133,2.5906737,54231,148,626,365,
6,17041,2160399,126,664,192,10,1260,243,126,5.208333,28397,77,449,366,193,3,294,139,98,1.5544041,53998,147,602,366,
7,17084,2112793,123,739,192,9,1991,427,221,4.6875,33156,90,576,365,193,0,0,0,0,0.0,56474,154,618,366,
8,16986,2190511,128,717,192,7,817,135,116,3.6458333,33354,90,488,367,193,3,363,159,121,1.5544041,57481,157,629,365,
9,16905,2143150,126,670,192,12,1617,255,134,6.25,31814,86,478,366,193,0,0,0,0,0.0,57228,156,599,365,
10,17212,2191696,127,755,192,17,2701,319,158,8.854166,33265,90,498,366,193,2,192,107,96,1.0362694,55460,151,658,366,
11,17082,2223371,130,862,192,11,1537,256,139,5.729167,31392,85,526,366,193,5,960,306,192,2.5906737,56009,153,603,365,
12,17011,2263311,133,757,192,33,6490,459,196,17.1875,31913,87,515,366,190,2,120,60,60,1.0526316,52507,145,637,361,
13,16930,2101519,124,667,192,8,1114,269,139,4.166667,30112,82,442,367,193,2,228,159,114,1.0362694,56815,156,685,364,
14,17004,2137448,125,795,192,6,741,207,123,3.125,32923,89,467,367,193,6,1123,304,187,3.1088083,53678,147,721,365,
15,16945,2117276,124,777,192,3,405,135,135,1.5625,31719,86,444,367,193,1,135,135,135,0.5181347,56678,155,612,365,
16,16989,2117911,124,817,192,11,1619,317,147,5.729167,32136,87,419,366,193,0,0,0,0,0.0,54391,149,581,365,
17,17021,2104091,123,748,192,3,289,135,96,1.5625,34163,93,424,366,193,0,0,0,0,0.0,57783,158,667,364,
18,17133,2185482,127,672,192,8,1028,200,128,4.166667,31913,87,472,366,193,3,320,135,106,1.5544041,52430,142,675,367,
19,16933,2188202,129,660,192,14,1480,167,105,7.2916665,28133,76,454,367,193,1,66,66,66,0.5181347,55773,152,595,365,
20,16597,2135694,128,658,192,18,2312,269,128,9.375,31886,87,441,366,193,4,567,205,141,2.0725389,52560,144,724,365,
21,16818,2115902,125,624,192,12,1382,183,115,6.25,33498,91,464,366,193,0,0,0,0,0.0,57199,156,609,365,
22,17123,2221104,129,830,192,11,1345,231,122,5.729167,33237,90,498,367,193,6,638,189,106,3.1088083,55229,150,662,366,
23,16881,2092339,123,626,192,6,637,143,106,3.125,33334,91,469,365,193,0,0,0,0,0.0,59189,162,697,365,
24,16746,2107434,125,836,192,16,1841,203,115,8.333334,31446,86,497,365,193,0,0,0,0,0.0,57857,158,644,365,
25,17033,2185893,128,795,192,16,2791,437,174,8.333334,31405,85,564,368,193,3,311,135,103,1.5544041,56699,155,583,365,
26,16723,2161607,129,772,192,13,1587,195,122,6.7708335,30004,81,399,366,193,3,459,218,153,1.5544041,54674,149,614,366,
27,16795,2244721,133,712,192,26,3618,274,139,13.541667,30206,82,478,367,193,2,210,135,105,1.0362694,54829,150,566,364,
28,16920,2123700,125,798,192,5,472,137,94,2.6041665,29284,79,487,367,192,2,240,135,120,1.0416667,56092,153,596,365,
29,16778,2135420,127,634,192,11,1582,282,143,5.729167,30916,84,457,367,193,4,471,177,117,2.0725389,56592,154,584,366,
30,16790,2188932,130,705,192,25,3828,374,153,13.020833,30992,84,497,367,193,2,147,79,73,1.0362694,53410,146,647,365,
31,16949,2182902,128,874,192,26,5300,520,203,13.541667,33114,90,525,366,193,3,267,128,89,1.5544041,47221,129,583,365,
32,16971,2185193,128,795,192,20,3533,388,176,10.416666,33320,91,473,366,193,3,292,159,97,1.5544041,55603,152,645,365,
