run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,3386,408446,120,560,32,2,234,162,117,6.25,5526,86,435,64,33,0,0,0,0,0.0,5216,86,428,60,
2,3338,406724,121,723,32,2,205,137,102,6.25,3796,61,360,62,33,3,462,219,154,9.090909,6577,106,517,62,
3,3381,391056,115,649,32,0,0,0,0,0.0,6265,101,466,62,33,0,0,0,0,0.0,7898,129,492,61,
4,3322,383684,115,533,32,0,0,0,0,0.0,5365,85,367,63,33,0,0,0,0,0.0,6047,97,498,62,
5,3390,399946,117,569,32,0,0,0,0,0.0,5581,88,344,63,33,0,0,0,0,0.0,8730,143,519,61,
6,3447,406554,117,593,32,1,145,145,145,3.125,5540,89,441,62,33,1,85,85,85,3.030303,8261,135,523,61,
7,3269,388146,118,498,32,1,86,86,86,3.125,5347,84,431,63,33,0,0,0,0,0.0,7575,124,471,61,
8,3352,400943,119,584,32,0,0,0,0,0.0,6554,105,455,62,33,1,110,110,110,3.030303,7244,118,495,61,
9,3393,387917,114,451,32,0,0,0,0,0.0,5767,93,402,62,33,0,0,0,0,0.0,7038,117,427,60,
10,3323,376508,113,498,32,0,0,0,0,0.0,6334,102,398,62,32,0,0,0,0,0.0,6574,106,444,62,
11,3332,395631,118,597,32,0,0,0,0,0.0,5929,94,396,63,33,4,492,180,123,12.121212,8284,135,622,61,
12,3296,412717,125,497,32,1,135,135,135,3.125,5807,93,407,62,33,2,264,135,132,6.060606,7525,123,520,61,
13,3453,426568,123,760,32,1,135,135,135,3.125,4956,79,407,62,33,1,62,62,62,3.030303,9152,150,617,61,
14,3374,442557,131,764,31,5,579,168,115,16.129032,5340,87,509,61,33,1,111,111,111,3.030303,7075,115,480,61,
15,3421,411130,120,612,32,2,245,175,122,6.25,7522,119,398,63,33,0,0,0,0,0.0,9194,150,586,61,
16,3375,411644,121,574,32,1,135,135,135,3.125,5112,81,463,63,33,1,98,98,98,3.030303,8401,137,488,61,
17,3330,396887,119,599,32,0,0,0,0,0.0,5132,82,408,62,33,0,0,0,0,0.0,7946,128,505,62,
18,3416,404920,118,651,32,0,0,0,0,0.0,5047,81,352,62,33,0,0,0,0,0.0,8901,145,472,61,
19,3324,399008,120,618,32,3,333,176,111,9.375,4892,78,453,62,33,0,0,0,0,0.0,8805,142,516,62,
20,3313,383326,115,468,32,1,68,68,68,3.125,5477,85,409,64,33,0,0,0,0,0.0,8206,134,462,61,
21,3403,441120,129,631,32,8,1063,261,132,25.0,5814,90,490,64,33,3,507,234,169,9.090909,7932,130,599,61,
22,3350,378804,113,600,32,0,0,0,0,0.0,6776,109,440,62,33,0,0,0,0,0.0,8868,145,548,61,
23,3402,401816,118,553,32,0,0,0,0,0.0,6116,97,521,63,33,3,315,170,105,9.090909,7664,125,529,61,
24,3308,392838,118,678,32,0,0,0,0,0.0,7183,115,534,62,33,1,63,63,63,3.030303,8014,129,480,62,
25,3390,435388,128,612,32,3,304,154,101,9.375,5622,90,384,62,32,1,69,69,69,3.125,6039,99,441,61,
26,3391,414456,122,682,32,2,234,162,117,6.25,7226,114,505,63,33,0,0,0,0,0.0,7439,119,462,62,
27,3341,482052,144,674,31,14,2783,373,198,45.16129,5828,97,436,60,33,9,1923,402,213,27.272728,8316,134,500,62,
28,3364,427992,127,485,32,3,330,175,110,9.375,4223,68,379,62,33,0,0,0,0,0.0,6994,112,450,62,
29,3375,392550,116,531,32,0,0,0,0,0.0,7797,123,456,63,33,0,0,0,0,0.0,7484,120,569,62,
30,3342,439045,131,605,32,2,276,141,138,6.25,5014,80,388,62,33,2,214,152,107,6.060606,7108,116,485,61,
31,3389,394466,116,466,32,1,68,68,68,3.125,6080,98,421,62,33,0,0,0,0,0.0,6733,112,520,60,
32,3260,407096,124,582,32,1,135,135,135,3.125,5832,92,413,63,33,0,0,0,0,0.0,7499,122,493,61,
33,3400,403683,118,857,32,1,135,135,135,3.125,5561,88,428,63,33,0,0,0,0,0.0,7903,131,501,60,
34,3479,421081,121,680,32,0,0,0,0,0.0,5853,94,473,62,33,0,0,0,0,0.0,7043,115,504,61,
35,3305,495541,149,958,32,13,2278,332,175,40.625,5446,86,473,63,32,9,1840,370,204,28.125,5340,87,528,61,
36,3313,437358,132,658,32,3,308,162,102,9.375,5351,84,418,63,33,0,0,0,0,0.0,8542,140,501,61,
37,3357,390467,116,501,32,0,0,0,0,0.0,6109,96,521,63,33,0,0,0,0,0.0,7798,127,576,61,
38,3375,392257,116,789,32,0,0,0,0,0.0,4918,79,423,62,33,0,0,0,0,0.0,8180,136,482,60,
39,3246,383912,118,730,32,3,432,209,144,9.375,5299,84,482,63,33,1,89,89,89,3.030303,7172,115,456,62,
40,3342,406353,121,545,32,3,351,182,117,9.375,7263,115,508,63,33,3,330,175,110,9.090909,6818,111,492,61,
41,3292,379820,115,455,32,0,0,0,0,0.0,5846,92,411,63,33,0,0,0,0,0.0,9232,148,559,62,
42,3402,395767,116,459,32,0,0,0,0,0.0,5710,89,428,64,33,0,0,0,0,0.0,7514,123,509,61,
43,3468,418557,120,620,32,1,119,119,119,3.125,5800,93,377,62,33,0,0,0,0,0.0,7268,119,488,61,
44,3453,395368,114,564,32,0,0,0,0,0.0,5840,92,454,63,33,0,0,0,0,0.0,8512,139,552,61,
45,3431,415932,121,452,32,1,135,135,135,3.125,5786,93,395,62,33,0,0,0,0,0.0,8595,140,541,61,
46,3370,400322,118,503,32,0,0,0,0,0.0,4833,75,463,64,33,0,0,0,0,0.0,8823,144,546,61,
47,3287,388329,118,559,32,2,226,158,113,6.25,5808,93,317,62,33,0,0,0,0,0.0,8692,142,582,61,
48,3334,383515,115,503,32,0,0,0,0,0.0,4949,81,390,61,33,0,0,0,0,0.0,7092,118,586,60,
49,3332,410184,123,590,32,1,135,135,135,3.125,5797,93,417,62,33,0,0,0,0,0.0,8145,129,484,63,
50,3291,385800,117,473,32,0,0,0,0,0.0,6420,103,421,62,33,0,0,0,0,0.0,9375,151,480,62,
51,3336,457538,137,687,31,4,948,336,237,12.903225,5847,95,505,61,33,1,135,135,135,3.030303,6689,107,462,62,
52,3254,380157,116,430,32,0,0,0,0,0.0,5689,91,356,62,33,0,0,0,0,0.0,7112,116,423,61,
53,3380,417065,123,507,32,1,135,135,135,3.125,4595,72,368,63,33,0,0,0,0,0.0,7458,120,462,62,
