run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,16933,2079989,122,622,192,1,62,62,62,0.5208334,38527,105,499,366,193,0,0,0,0,0.0,75567,207,655,365,
2,17161,2131815,124,671,192,1,146,146,146,0.5208334,41192,112,499,366,193,0,0,0,0,0.0,74143,203,715,365,
3,17031,2190742,128,709,192,7,1090,233,155,3.6458333,36867,100,486,366,193,0,0,0,0,0.0,68602,188,700,364,
4,17143,2117212,123,710,192,2,232,161,116,1.0416667,40783,111,558,367,193,0,0,0,0,0.0,68085,186,643,365,
5,16947,2180675,128,691,192,13,1603,246,123,6.7708335,35425,96,472,366,193,1,135,135,135,0.5181347,70755,193,669,365,
6,17139,2161050,126,576,192,4,617,248,154,2.0833335,43802,119,527,367,193,0,0,0,0,0.0,70790,194,680,364,
7,16916,2142759,126,828,192,5,596,185,119,2.6041665,38068,104,473,366,193,0,0,0,0,0.0,68754,187,663,367,
8,16866,2191767,129,709,192,10,1511,316,151,5.208333,38496,104,651,367,193,1,135,135,135,0.5181347,65239,178,645,365,
9,16943,2157477,127,796,192,10,2200,435,220,5.208333,40941,111,607,366,193,0,0,0,0,0.0,69149,189,657,364,
10,16979,2126873,125,849,192,3,335,135,111,1.5625,40245,109,506,366,193,0,0,0,0,0.0,67563,185,667,364,
11,16716,2064649,123,738,192,0,0,0,0,0.0,40887,111,544,367,193,0,0,0,0,0.0,70161,192,624,365,
12,17204,2117786,123,585,192,0,0,0,0,0.0,39971,108,502,367,193,0,0,0,0,0.0,70319,192,653,365,
13,16836,2058998,122,631,191,5,570,198,114,2.617801,37749,103,440,365,193,0,0,0,0,0.0,72283,198,643,365,
14,16960,2084203,122,664,192,1,70,70,70,0.5208334,38563,105,492,366,193,0,0,0,0,0.0,67550,185,663,365,
15,16980,2104165,123,785,192,4,413,181,103,2.0833335,43225,118,531,366,193,0,0,0,0,0.0,66700,182,664,365,
16,16975,2126034,125,677,192,7,893,224,127,3.6458333,42119,115,589,366,193,1,63,63,63,0.5181347,64041,175,617,365,
17,16689,2190491,131,807,192,15,2082,254,138,7.8125,39497,107,530,367,193,0,0,0,0,0.0,69194,189,699,366,
18,17023,2098050,123,750,192,1,120,120,120,0.5208334,42529,116,458,366,193,0,0,0,0,0.0,69770,190,692,367,
19,16853,2113665,125,721,192,4,467,176,116,2.0833335,40050,109,450,367,193,0,0,0,0,0.0,68164,186,689,365,
20,17213,2114489,122,649,192,2,150,76,75,1.0416667,41405,113,464,366,193,0,0,0,0,0.0,66718,182,609,365,
21,16900,2107687,124,668,192,5,493,178,98,2.6041665,36702,100,457,366,193,0,0,0,0,0.0,72922,200,682,364,
22,17028,2083609,122,633,192,1,135,135,135,0.5208334,41440,113,537,366,193,0,0,0,0,0.0,69088,189,646,364,
23,16822,2130379,126,655,192,4,478,175,119,2.0833335,39098,106,541,366,193,0,0,0,0,0.0,68811,189,692,364,
24,16756,2144836,128,843,192,7,1175,294,167,3.6458333,39232,107,479,366,193,1,135,135,135,0.5181347,71241,194,692,366,
25,17068,2111227,123,774,192,8,1220,227,152,4.166667,40013,109,494,365,193,0,0,0,0,0.0,67429,184,662,365,
26,17196,2168170,126,555,192,6,743,208,123,3.125,37798,102,505,367,193,0,0,0,0,0.0,67837,185,639,365,
27,16881,2089294,123,716,192,6,820,253,136,3.125,38472,104,466,367,193,0,0,0,0,0.0,68978,188,660,365,
28,16639,2075271,124,593,192,4,428,152,107,2.0833335,36978,101,463,366,193,0,0,0,0,0.0,68947,188,652,365,
29,16997,2127296,125,740,192,7,964,252,137,3.6458333,37292,101,538,367,193,0,0,0,0,0.0,67960,186,664,365,
30,17029,2144465,125,737,192,2,209,135,104,1.0416667,39412,107,490,366,193,1,72,72,72,0.5181347,65750,180,671,364,
31,16975,2106803,124,619,192,4,474,135,118,2.0833335,37711,103,561,366,193,0,0,0,0,0.0,69401,190,701,365,
32,17165,2131785,124,813,192,0,0,0,0,0.0,41130,112,468,366,193,0,0,0,0,0.0,72602,198,701,366,
33,16811,2062961,122,606,192,1,135,135,135,0.5208334,42310,115,492,367,193,0,0,0,0,0.0,73188,201,727,364,
34,17033,2137650,125,708,192,1,73,73,73,0.5208334,40661,110,488,367,193,0,0,0,0,0.0,71563,195,677,366,
35,16809,2100708,124,771,192,0,0,0,0,0.0,43996,120,467,366,193,0,0,0,0,0.0,68603,187,684,366,
36,16903,2101604,124,608,192,7,809,174,115,3.6458333,43078,117,557,366,193,0,0,0,0,0.0,74482,204,614,365,
37,16948,2156500,127,757,192,7,747,168,106,3.6458333,35777,97,470,367,193,1,133,133,133,0.5181347,66782,182,615,365,
38,17239,2146861,124,699,192,1,63,63,63,0.5208334,36301,99,486,365,193,0,0,0,0,0.0,71822,196,669,366,
39,17346,2165871,124,609,192,3,399,139,133,1.5625,38717,105,505,366,193,0,0,0,0,0.0,69144,189,676,365,
40,16981,2178065,128,654,192,10,1416,289,141,5.208333,36990,100,470,367,193,1,84,84,84,0.5181347,67952,186,666,365,
41,16712,2080517,124,642,192,4,500,146,125,2.0833335,37466,102,464,367,193,0,0,0,0,0.0,69700,189,623,367,
42,16764,2101762,125,697,192,8,1019,261,127,4.166667,39531,108,537,366,193,0,0,0,0,0.0,66950,183,682,365,
43,17128,2086952,121,675,194,5,1015,317,203,2.5773196,39454,107,490,366,193,0,0,0,0,0.0,63809,174,596,365,
44,16937,2122877,125,621,192,3,357,156,119,1.5625,41664,113,466,366,193,0,0,0,0,0.0,67705,185,648,365,
45,17236,2132272,123,719,192,0,0,0,0,0.0,40563,110,504,366,193,1,128,128,128,0.5181347,67622,185,648,365,
46,16854,2145427,127,781,192,5,632,197,126,2.6041665,40024,108,519,369,193,0,0,0,0,0.0,70145,191,674,366,
47,17154,2131131,124,693,192,1,135,135,135,0.5208334,39480,107,540,366,193,0,0,0,0,0.0,69136,189,710,365,
48,16911,2112909,124,608,192,1,72,72,72,0.5208334,35312,96,462,365,193,0,0,0,0,0.0,72135,197,696,366,
