run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,3391,408505,120,511,32,0,0,0,0,0.0,7011,113,434,62,33,0,0,0,0,0.0,12467,204,582,61,
2,3370,386140,114,529,32,0,0,0,0,0.0,7311,117,452,62,33,0,0,0,0,0.0,13108,214,674,61,
3,3444,402553,116,489,32,0,0,0,0,0.0,5942,95,360,62,33,0,0,0,0,0.0,11217,186,644,60,
4,3452,417451,120,710,32,2,232,161,116,6.25,7011,111,468,63,33,0,0,0,0,0.0,11941,195,643,61,
5,3368,406180,120,513,32,2,205,110,102,6.25,5028,79,452,63,33,1,135,135,135,3.030303,12497,204,620,61,
6,3431,402502,117,576,32,0,0,0,0,0.0,7616,120,445,63,33,0,0,0,0,0.0,11428,190,680,60,
7,3419,408866,119,673,32,0,0,0,0,0.0,5620,90,393,62,33,0,0,0,0,0.0,11060,175,551,63,
8,3369,425647,126,561,32,1,82,82,82,3.125,5105,81,397,63,33,0,0,0,0,0.0,11728,192,597,61,
9,3364,394549,117,577,32,0,0,0,0,0.0,7354,118,505,62,33,0,0,0,0,0.0,11582,193,601,60,
10,3417,390610,114,493,32,0,0,0,0,0.0,7330,118,444,62,33,0,0,0,0,0.0,11645,194,650,60,
11,3265,369552,113,514,32,0,0,0,0,0.0,7558,119,464,63,33,0,0,0,0,0.0,11844,194,624,61,
12,3386,392157,115,460,32,0,0,0,0,0.0,6535,103,392,63,33,0,0,0,0,0.0,11691,191,607,61,
13,3367,377788,112,491,32,0,0,0,0,0.0,6275,99,440,63,33,0,0,0,0,0.0,11789,193,574,61,
14,3399,401288,118,643,32,1,70,70,70,3.125,7262,117,429,62,33,0,0,0,0,0.0,10569,173,551,61,
15,3357,392119,116,508,32,0,0,0,0,0.0,6321,101,423,62,33,0,0,0,0,0.0,9825,161,519,61,
16,3376,416010,123,537,32,3,477,224,159,9.375,8126,131,589,62,33,0,0,0,0,0.0,9972,163,611,61,
17,3305,450414,136,745,32,8,1175,254,146,25.0,6582,104,494,63,33,0,0,0,0,0.0,12317,198,595,62,
18,3326,386828,116,512,32,0,0,0,0,0.0,7064,113,425,62,33,0,0,0,0,0.0,10140,160,585,63,
19,3322,396138,119,486,32,3,333,176,111,9.375,8144,129,416,63,33,0,0,0,0,0.0,11440,187,592,61,
20,3391,396429,116,497,32,0,0,0,0,0.0,7195,116,414,62,33,0,0,0,0,0.0,10829,177,600,61,
