run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,9272,1179484,127,637,32,0,0,0,0,0.0,5086,82,349,62,33,0,0,0,0,0.0,11355,186,590,61,
2,9062,1177845,129,788,32,2,195,105,97,6.25,5298,85,431,62,33,0,0,0,0,0.0,10554,170,561,62,
3,9500,1352087,142,864,32,3,507,234,169,9.375,7341,112,545,65,33,0,0,0,0,0.0,9708,159,638,61,
4,9193,1143565,124,580,32,0,0,0,0,0.0,5680,91,418,62,33,0,0,0,0,0.0,11168,183,699,61,
5,9268,1171887,126,658,32,0,0,0,0,0.0,4636,74,336,62,33,0,0,0,0,0.0,11068,181,568,61,
6,9122,1138123,124,752,32,0,0,0,0,0.0,6652,107,384,62,33,0,0,0,0,0.0,11305,185,629,61,
7,9298,1220306,131,756,33,1,124,124,124,3.030303,6366,102,447,62,33,0,0,0,0,0.0,11071,178,563,62,
8,9191,1161002,126,663,32,2,205,130,102,6.25,4001,64,344,62,33,0,0,0,0,0.0,11508,188,669,61,
9,8978,1254496,139,802,32,3,330,175,110,9.375,6004,96,439,62,33,0,0,0,0,0.0,9407,154,553,61,
10,9145,1135136,124,697,32,0,0,0,0,0.0,6527,101,466,64,33,0,0,0,0,0.0,13340,215,658,62,
11,9236,1234771,133,746,32,0,0,0,0,0.0,6742,108,423,62,33,0,0,0,0,0.0,10233,165,660,62,
12,9277,1113041,119,708,32,0,0,0,0,0.0,7058,112,427,63,33,1,68,68,68,3.030303,11773,186,642,63,
13,9401,1232953,131,827,32,1,62,62,62,3.125,6101,98,493,62,33,0,0,0,0,0.0,9590,159,603,60,
14,9315,1208088,129,813,32,1,65,65,65,3.125,4876,78,334,62,32,1,151,151,151,3.125,9566,156,549,61,
15,9296,1132113,121,583,32,0,0,0,0,0.0,4927,79,365,62,33,0,0,0,0,0.0,13184,212,642,62,
16,9213,1178971,127,883,32,0,0,0,0,0.0,6419,103,464,62,33,0,0,0,0,0.0,12002,193,615,62,
17,9045,1139259,125,910,33,2,238,164,119,6.060606,6105,96,524,63,33,0,0,0,0,0.0,9377,156,596,60,
18,9198,1139757,123,584,32,0,0,0,0,0.0,7696,122,391,63,33,0,0,0,0,0.0,10161,166,602,61,
19,8993,1171691,130,654,32,0,0,0,0,0.0,6068,96,424,63,33,0,0,0,0,0.0,11677,191,569,61,
20,9191,1185552,128,583,32,0,0,0,0,0.0,5245,84,415,62,33,0,0,0,0,0.0,10993,183,585,60,
21,9218,1151477,124,806,32,0,0,0,0,0.0,5896,93,368,63,33,0,0,0,0,0.0,10121,168,586,60,
22,9116,1298744,142,909,32,2,236,163,118,6.25,6218,100,515,62,33,0,0,0,0,0.0,11276,184,582,61,
23,9137,1119926,122,638,32,0,0,0,0,0.0,6164,101,430,61,33,0,0,0,0,0.0,10371,172,609,60,
24,9166,1098093,119,573,33,1,133,133,133,3.030303,5271,82,361,64,33,0,0,0,0,0.0,12122,195,610,62,
25,9233,1164204,126,675,32,0,0,0,0,0.0,6232,100,378,62,33,1,135,135,135,3.030303,10972,174,634,63,
26,9260,1137967,122,612,32,0,0,0,0,0.0,4987,80,378,62,33,0,0,0,0,0.0,11481,188,626,61,
27,9202,1207336,131,725,32,1,75,75,75,3.125,5400,84,412,64,33,0,0,0,0,0.0,10133,163,541,62,
28,9185,1105416,120,627,32,0,0,0,0,0.0,6004,96,386,62,33,0,0,0,0,0.0,11057,181,609,61,
29,9109,1127062,123,816,32,1,135,135,135,3.125,6826,108,458,63,33,0,0,0,0,0.0,11070,181,546,61,
30,9272,1209018,130,718,32,1,86,86,86,3.125,5929,94,552,63,33,0,0,0,0,0.0,9841,161,634,61,
31,8947,1097162,122,578,32,0,0,0,0,0.0,5703,91,426,62,33,0,0,0,0,0.0,12134,198,664,61,
32,9087,1308493,143,787,32,4,598,232,149,12.5,6813,109,497,62,33,0,0,0,0,0.0,11393,189,590,60,
