run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,60941,7486984,122,519,192,0,0,0,0,0.0,49718,135,439,366,191,0,0,0,0,0.0,76236,208,593,365,
2,60916,7366771,120,478,192,0,0,0,0,0.0,48680,133,432,366,191,0,0,0,0,0.0,77613,212,599,365,
3,61238,7429384,121,602,192,0,0,0,0,0.0,49946,136,453,366,191,0,0,0,0,0.0,78156,214,615,365,
4,60668,7392931,121,485,192,0,0,0,0,0.0,50758,138,445,366,191,0,0,0,0,0.0,76567,209,610,365,
5,60663,7451538,122,544,192,0,0,0,0,0.0,48558,132,476,366,191,0,0,0,0,0.0,76149,209,599,364,
6,61026,7524826,123,522,192,0,0,0,0,0.0,50195,136,448,367,191,0,0,0,0,0.0,73431,201,584,364,
7,60572,7411556,122,590,192,0,0,0,0,0.0,49485,135,445,366,191,0,0,0,0,0.0,73762,202,603,364,
8,60991,7441008,122,538,192,0,0,0,0,0.0,49507,135,432,366,191,0,0,0,0,0.0,74835,205,598,365,
9,61349,7573223,123,521,192,0,0,0,0,0.0,49697,135,443,366,191,0,0,0,0,0.0,74965,205,586,365,
10,60581,7369055,121,509,192,0,0,0,0,0.0,51587,140,463,366,191,0,0,0,0,0.0,77519,212,604,365,
11,60918,7542388,123,727,192,0,0,0,0,0.0,50137,136,450,366,191,0,0,0,0,0.0,73925,202,613,365,
12,60984,7400296,121,574,192,0,0,0,0,0.0,49037,133,464,366,191,0,0,0,0,0.0,76494,209,618,365,
13,60929,7441665,122,679,192,0,0,0,0,0.0,47659,130,454,366,191,0,0,0,0,0.0,74872,205,618,364,
14,60852,7342778,120,510,192,0,0,0,0,0.0,49489,135,445,366,191,0,0,0,0,0.0,76925,210,580,365,
15,61261,7511745,122,571,192,1,66,66,66,0.5208334,47725,130,416,366,191,0,0,0,0,0.0,74988,205,597,365,
16,60954,7382565,121,546,192,0,0,0,0,0.0,50053,136,434,366,191,0,0,0,0,0.0,76159,208,585,365,
17,60911,7462194,122,584,192,0,0,0,0,0.0,50512,138,447,366,191,0,0,0,0,0.0,77446,212,589,365,
18,61076,7437192,121,522,192,0,0,0,0,0.0,50179,136,418,367,191,0,0,0,0,0.0,77011,210,580,365,
19,60763,7513781,123,697,192,0,0,0,0,0.0,47932,130,413,366,191,0,0,0,0,0.0,74146,203,613,365,
20,61228,7382807,120,482,192,0,0,0,0,0.0,50394,137,453,366,191,0,0,0,0,0.0,74924,205,613,364,
21,61114,7392877,120,498,192,0,0,0,0,0.0,47163,128,435,366,191,0,0,0,0,0.0,76795,210,608,365,
22,60983,7387788,121,496,192,0,0,0,0,0.0,49605,135,428,366,191,0,0,0,0,0.0,76948,210,626,365,
23,60816,7473923,122,519,192,0,0,0,0,0.0,49697,135,437,366,191,0,0,0,0,0.0,75814,207,609,365,
24,60974,7459957,122,503,192,0,0,0,0,0.0,49332,134,428,366,191,0,0,0,0,0.0,76822,210,619,365,
25,60806,7456049,122,546,192,0,0,0,0,0.0,48753,133,441,366,191,0,0,0,0,0.0,75137,205,598,365,
26,61186,7472419,122,501,192,0,0,0,0,0.0,48916,133,437,367,191,0,0,0,0,0.0,77086,211,606,365,
27,61676,7587149,123,501,192,0,0,0,0,0.0,48271,131,421,366,191,0,0,0,0,0.0,74363,203,599,365,
28,61160,7530512,123,508,192,0,0,0,0,0.0,47247,129,420,366,191,0,0,0,0,0.0,77000,210,579,365,
29,60668,7413515,122,682,192,0,0,0,0,0.0,50314,137,442,366,191,0,0,0,0,0.0,76244,208,586,365,
30,61273,7588881,123,605,192,0,0,0,0,0.0,49655,135,426,366,191,0,0,0,0,0.0,74924,205,606,365,
