run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,13632,1573770,115,487,32,0,0,0,0,0.0,7359,118,412,62,31,0,0,0,0,0.0,12927,211,564,61,
2,13647,1593176,116,404,32,0,0,0,0,0.0,8296,133,420,62,31,0,0,0,0,0.0,13749,225,568,61,
3,13722,1614610,117,602,32,0,0,0,0,0.0,7933,127,417,62,31,0,0,0,0,0.0,13618,223,615,61,
4,13439,1551278,115,416,32,0,0,0,0,0.0,8050,129,416,62,31,0,0,0,0,0.0,13066,214,610,61,
5,13690,1599062,116,499,32,0,0,0,0,0.0,7854,126,400,62,31,0,0,0,0,0.0,12550,209,572,60,
6,13672,1591629,116,437,32,0,0,0,0,0.0,8567,135,436,63,31,0,0,0,0,0.0,12988,216,569,60,
7,13793,1610295,116,590,32,0,0,0,0,0.0,7301,117,404,62,31,0,0,0,0,0.0,12488,208,603,60,
8,13953,1656625,118,538,32,0,0,0,0,0.0,8089,130,391,62,31,0,0,0,0,0.0,13024,213,598,61,
9,13866,1661743,119,480,32,0,0,0,0,0.0,7161,115,404,62,31,0,0,0,0,0.0,13573,222,586,61,
10,13686,1610770,117,509,32,0,0,0,0,0.0,7820,126,428,62,31,0,0,0,0,0.0,13939,228,597,61,
11,13653,1652979,121,727,32,0,0,0,0,0.0,8099,130,392,62,31,0,0,0,0,0.0,12108,198,541,61,
12,13651,1565311,114,408,32,0,0,0,0,0.0,7672,123,359,62,31,0,0,0,0,0.0,13283,217,541,61,
13,13776,1661905,120,573,32,0,0,0,0,0.0,7517,121,384,62,31,0,0,0,0,0.0,12722,212,589,60,
14,13780,1587501,115,421,32,0,0,0,0,0.0,7337,118,408,62,31,0,0,0,0,0.0,12762,209,551,61,
15,13797,1641209,118,486,32,1,66,66,66,3.125,7268,117,374,62,31,0,0,0,0,0.0,12860,210,597,61,
16,13618,1566397,115,402,32,0,0,0,0,0.0,7947,128,387,62,31,0,0,0,0,0.0,14121,231,570,61,
