run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,145949,21093965,144,911,192,23,3701,339,160,11.979166,28237,76,491,367,193,1,86,86,86,0.5181347,49037,134,562,365,
2,144977,20496936,141,782,192,20,2632,305,131,10.416666,27012,73,429,367,193,0,0,0,0,0.0,48973,134,604,365,
3,145545,20583550,141,901,192,17,2505,322,147,8.854166,28984,78,476,367,193,2,205,138,102,1.0362694,53539,146,651,365,
4,145766,20705626,142,823,192,21,3358,265,159,10.9375,27863,76,486,366,193,0,0,0,0,0.0,54090,147,620,366,
5,146099,21560706,147,793,192,24,3907,382,162,12.5,30756,83,536,368,193,3,327,174,109,1.5544041,51033,139,627,365,
6,145526,20473934,140,871,192,22,4249,464,193,11.458334,33513,91,593,367,193,5,796,224,159,2.5906737,51092,139,627,365,
7,145507,21069595,144,847,192,28,6387,588,228,14.583333,29337,79,497,367,193,7,943,219,134,3.626943,48617,133,556,365,
8,146378,21132847,144,831,192,19,2526,303,132,9.895834,27382,74,456,367,193,0,0,0,0,0.0,51347,140,609,366,
9,144891,20240339,139,751,192,9,932,168,103,4.6875,26612,72,392,366,193,0,0,0,0,0.0,55219,151,580,364,
10,146577,20687103,141,699,192,19,2257,264,118,9.895834,28831,78,440,366,193,2,145,83,72,1.0362694,51287,140,675,365,
11,146032,20886005,143,883,192,12,1449,210,120,6.25,30687,83,526,366,193,0,0,0,0,0.0,52838,144,614,366,
12,145879,20327496,139,766,192,12,1736,299,144,6.25,27006,73,437,368,193,2,270,135,135,1.0362694,51208,140,603,365,
13,145715,20721757,142,930,192,4,386,141,96,2.0833335,27397,74,440,367,193,7,916,208,130,3.626943,57114,156,606,365,
14,145566,20449353,140,806,192,13,1971,321,151,6.7708335,28230,76,517,368,192,1,124,124,124,0.5208334,51083,140,582,364,
15,145220,20207914,139,625,192,7,758,147,108,3.6458333,30663,83,447,367,193,0,0,0,0,0.0,54111,148,632,365,
