run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,26189,3982066,152,776,32,5,653,195,130,15.625,5326,84,430,63,33,0,0,0,0,0.0,5375,88,536,61,
2,25804,4075738,157,782,32,11,1679,305,152,34.375,3391,53,382,63,33,0,0,0,0,0.0,6640,108,529,61,
3,25876,3626659,140,810,32,0,0,0,0,0.0,5361,85,476,63,33,0,0,0,0,0.0,9353,153,651,61,
4,25873,3670762,141,745,32,0,0,0,0,0.0,3851,62,393,62,33,0,0,0,0,0.0,9878,159,579,62,
5,26003,3515988,135,592,32,1,133,133,133,3.125,4099,64,431,64,33,0,0,0,0,0.0,8833,144,490,61,
6,25332,3415311,134,633,32,0,0,0,0,0.0,5323,84,436,63,33,0,0,0,0,0.0,8235,135,488,61,
7,25571,3891169,152,764,32,13,4188,588,322,40.625,5997,95,490,63,33,3,278,135,92,9.090909,5661,92,527,61,
8,26773,3857747,144,709,32,6,1005,303,167,18.75,3174,50,396,63,33,0,0,0,0,0.0,7779,125,493,62,
9,26383,3685644,139,751,31,2,131,68,65,6.4516125,3186,52,342,61,33,0,0,0,0,0.0,8385,139,559,60,
10,26256,3665661,139,690,32,0,0,0,0,0.0,4815,78,364,61,33,1,62,62,62,3.030303,8198,134,469,61,
11,26272,3853070,146,883,32,2,159,94,79,6.25,5344,86,398,62,33,0,0,0,0,0.0,8975,144,534,62,
12,26341,3714948,141,643,32,3,349,149,116,9.375,3095,48,314,64,33,0,0,0,0,0.0,8145,133,493,61,
13,26089,3913918,150,930,32,0,0,0,0,0.0,4498,71,421,63,33,3,429,208,143,9.090909,7799,129,564,60,
14,25497,3813440,149,700,32,5,655,195,131,15.625,4839,75,353,64,33,0,0,0,0,0.0,8727,143,582,61,
15,26026,3434595,131,509,32,0,0,0,0,0.0,4267,67,410,63,33,0,0,0,0,0.0,8766,143,604,61,
16,25808,3614845,140,616,32,1,94,94,94,3.125,4227,67,371,63,33,0,0,0,0,0.0,10569,173,582,61,
17,25900,3391182,130,617,32,0,0,0,0,0.0,6328,100,463,63,33,0,0,0,0,0.0,9004,145,485,62,
18,26394,3639270,137,679,32,0,0,0,0,0.0,4602,73,385,63,33,0,0,0,0,0.0,6837,113,395,60,
19,26782,4294656,160,919,33,4,531,142,132,12.121212,4526,70,424,64,33,6,1140,316,190,18.181818,6353,102,435,62,
20,26224,3800375,144,702,32,5,839,267,167,15.625,4374,69,396,63,33,0,0,0,0,0.0,10279,165,603,62,
21,25682,3642280,141,648,32,3,345,180,115,9.375,3911,61,345,64,33,0,0,0,0,0.0,10462,168,647,62,
22,25835,3512929,135,550,32,2,212,123,106,6.25,6219,98,482,63,33,0,0,0,0,0.0,7216,118,480,61,
23,26148,3956486,151,707,32,11,1826,311,166,34.375,4204,67,438,62,33,0,0,0,0,0.0,8204,132,647,62,
24,26628,4197802,157,774,32,6,908,279,151,18.75,4843,76,496,63,33,0,0,0,0,0.0,6409,106,478,60,
25,26137,3545667,135,584,32,2,208,105,104,6.25,4203,67,418,62,33,0,0,0,0,0.0,7733,124,536,62,
26,26329,3955474,150,731,32,1,135,135,135,3.125,4428,70,432,63,33,0,0,0,0,0.0,8664,142,598,61,
27,25931,4148404,159,959,32,2,271,136,135,6.25,4497,71,392,63,32,2,434,252,217,6.25,6946,117,403,59,
28,25692,3867729,150,699,32,5,702,211,140,15.625,4156,65,381,63,33,0,0,0,0,0.0,6901,113,427,61,
29,25889,3729668,144,548,31,7,1338,317,191,22.580645,4029,67,399,60,33,0,0,0,0,0.0,9077,146,574,62,
30,25564,3631951,142,674,32,4,519,190,129,12.5,3628,56,421,64,33,3,442,206,147,9.090909,8077,124,453,65,
31,25889,3771790,145,877,32,2,215,135,107,6.25,4841,76,423,63,33,1,91,91,91,3.030303,8107,130,514,62,
32,25798,3600118,139,661,32,0,0,0,0,0.0,5596,90,411,62,33,0,0,0,0,0.0,8408,135,556,62,
33,26348,4658594,176,1005,30,12,6692,895,557,40.0,5998,103,529,58,31,1,375,375,375,3.2258062,7078,119,567,59,
34,25943,3737092,144,767,31,6,857,256,142,19.354837,2804,46,392,60,33,3,477,224,159,9.090909,8308,134,414,62,
35,26086,3818242,146,700,32,2,145,82,72,6.25,4632,74,356,62,33,0,0,0,0,0.0,8084,132,484,61,
36,25514,3597077,140,650,32,0,0,0,0,0.0,3497,56,305,62,33,0,0,0,0,0.0,8875,143,462,62,
37,26296,3713553,141,614,32,4,447,173,111,12.5,4206,66,398,63,33,0,0,0,0,0.0,10152,163,528,62,
38,25723,3308499,128,501,32,0,0,0,0,0.0,4413,70,359,63,33,0,0,0,0,0.0,9250,149,520,62,
39,26173,3815994,145,665,32,11,1798,355,163,34.375,3810,59,347,64,33,2,234,162,117,6.060606,8842,138,617,64,
40,25765,3516733,136,591,32,0,0,0,0,0.0,5918,95,429,62,33,0,0,0,0,0.0,8757,143,475,61,
41,26187,3629210,138,589,32,0,0,0,0,0.0,4909,77,452,63,33,0,0,0,0,0.0,9025,145,662,62,
42,25835,3573005,138,654,32,2,224,135,112,6.25,3725,59,291,63,33,0,0,0,0,0.0,8954,144,553,62,
43,25726,3408518,132,536,32,0,0,0,0,0.0,5177,80,403,64,33,0,0,0,0,0.0,9521,153,489,62,
44,26604,3768467,141,565,32,5,637,166,127,15.625,3970,64,388,62,33,0,0,0,0,0.0,9185,150,512,61,
45,25584,3511089,137,639,32,4,498,207,124,12.5,4356,69,390,63,33,0,0,0,0,0.0,9670,153,508,63,
46,26474,4190730,158,794,32,13,2635,346,202,40.625,5084,80,566,63,33,1,63,63,63,3.030303,6004,98,460,61,
47,25725,3678867,143,645,32,5,642,204,128,15.625,4480,72,458,62,33,0,0,0,0,0.0,6273,102,504,61,
48,26057,3756145,144,632,32,3,405,200,135,9.375,3880,62,385,62,33,0,0,0,0,0.0,7235,116,472,62,
49,26374,3736819,141,564,32,5,486,178,97,15.625,3573,57,368,62,33,0,0,0,0,0.0,9232,148,524,62,
