run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,17036,2476930,145,818,169,8,966,209,120,4.733728,9443,29,303,322,168,0,0,0,0,0.0,67602,211,729,320,
2,17005,2518704,148,627,169,9,1287,224,143,5.3254437,8844,27,297,322,168,0,0,0,0,0.0,73361,229,796,319,
3,16825,2468047,146,711,169,12,1733,327,144,7.1005917,10165,31,272,321,168,0,0,0,0,0.0,76371,239,836,319,
4,17215,2538245,147,740,169,8,770,214,96,4.733728,8692,26,215,322,168,0,0,0,0,0.0,74445,234,758,318,
5,17130,2413042,140,715,169,6,645,165,107,3.5502958,9452,29,257,322,168,0,0,0,0,0.0,72842,228,758,319,
6,16946,2589494,152,816,169,10,1544,301,154,5.91716,8813,27,280,322,168,0,0,0,0,0.0,70101,219,755,319,
7,16734,2533226,151,785,169,10,1773,333,177,5.91716,9765,30,310,322,168,0,0,0,0,0.0,73222,229,774,319,
8,17023,2692199,158,725,169,12,1842,332,153,7.1005917,8783,27,399,322,168,0,0,0,0,0.0,72981,228,759,319,
9,17027,2589000,152,747,169,10,1910,357,191,5.91716,9754,30,280,321,168,0,0,0,0,0.0,76687,241,737,318,
10,16956,2511002,148,614,169,11,1191,219,108,6.508876,8189,25,313,322,168,0,0,0,0,0.0,71492,224,754,319,
11,17196,2544741,147,727,168,7,813,150,116,4.166667,8390,26,275,321,168,0,0,0,0,0.0,67734,212,762,319,
12,16988,2566222,151,725,169,11,1536,226,139,6.508876,9545,29,321,322,168,0,0,0,0,0.0,72994,228,796,319,
13,16932,2551117,150,807,169,9,1282,230,142,5.3254437,8441,26,259,322,168,0,0,0,0,0.0,69786,218,760,319,
14,16806,2431462,144,690,169,6,658,138,109,3.5502958,10237,31,275,322,168,0,0,0,0,0.0,74628,234,716,318,
15,17045,2518404,147,758,169,10,1146,230,114,5.91716,8966,27,258,321,168,0,0,0,0,0.0,70202,220,716,319,
16,16742,2530995,151,684,169,12,1501,270,125,7.1005917,9663,30,259,321,168,0,0,0,0,0.0,70341,220,722,319,
17,17094,2579240,150,879,168,10,1746,454,174,5.952381,9517,29,310,321,168,0,0,0,0,0.0,76266,238,768,320,
18,16897,2561920,151,754,169,10,1541,307,154,5.91716,10201,31,283,322,168,0,0,0,0,0.0,74625,233,772,319,
19,17091,2504896,146,676,169,5,720,289,144,2.95858,9559,29,311,321,168,0,0,0,0,0.0,77698,243,752,319,
20,17048,2552210,149,746,169,14,1609,368,114,8.284023,9205,28,299,322,168,0,0,0,0,0.0,74979,235,722,319,
21,16987,2504716,147,722,168,8,1159,279,144,4.7619047,11374,35,303,321,168,0,0,0,0,0.0,73847,232,724,318,
22,16721,2461681,147,781,169,7,749,210,107,4.1420116,8803,27,288,322,168,0,0,0,0,0.0,70629,222,750,318,
23,16912,2597889,153,837,169,12,1855,313,154,7.1005917,10653,33,351,321,168,0,0,0,0,0.0,71242,224,778,318,
24,17172,2664159,155,774,169,13,2052,422,157,7.692308,8837,27,351,322,168,0,0,0,0,0.0,70628,221,782,319,
25,16873,2535695,150,746,169,12,1523,299,126,7.1005917,8429,26,427,322,168,0,0,0,0,0.0,67970,213,802,319,
26,17073,2584668,151,766,169,9,1403,324,155,5.3254437,8261,25,301,321,168,0,0,0,0,0.0,71869,225,722,319,
27,16997,2433346,143,665,169,4,577,188,144,2.366864,8356,25,301,322,168,0,0,0,0,0.0,73746,231,731,319,
28,16746,2454371,146,688,169,10,1222,208,122,5.91716,8479,26,288,321,168,0,0,0,0,0.0,70422,220,700,319,
29,17049,2581803,151,918,169,13,1938,371,149,7.692308,8377,26,320,322,168,0,0,0,0,0.0,72473,227,720,319,
30,16775,2467631,147,764,168,8,870,205,108,4.7619047,9273,28,324,320,168,0,0,0,0,0.0,73494,229,813,320,
31,16851,2485905,147,782,169,11,1857,325,168,6.508876,7876,24,265,322,168,1,103,103,103,0.5952381,73210,230,740,318,
32,16870,2450207,145,699,169,7,887,227,126,4.1420116,10645,33,297,322,168,0,0,0,0,0.0,72006,225,772,319,
33,17027,2587198,151,731,169,10,1514,406,151,5.91716,10325,32,297,322,168,1,103,103,103,0.5952381,71404,223,720,319,
34,17023,2509089,147,691,169,11,1234,207,112,6.508876,8141,25,281,322,168,0,0,0,0,0.0,71781,225,785,319,
35,16904,2536168,150,687,169,6,538,190,89,3.5502958,7794,24,263,321,168,1,103,103,103,0.5952381,74030,232,809,319,
36,17020,2467765,144,677,169,7,776,185,110,4.1420116,9615,29,277,322,168,0,0,0,0,0.0,71091,222,687,319,
37,16937,2442459,144,611,169,7,782,175,111,4.1420116,8871,27,283,323,168,0,0,0,0,0.0,75707,237,749,319,
38,17021,2493189,146,920,169,10,1585,433,158,5.91716,9572,29,348,321,168,0,0,0,0,0.0,70120,219,721,319,
39,16809,2444279,145,687,169,1,72,72,72,0.591716,10202,31,281,322,168,0,0,0,0,0.0,75175,234,746,320,
40,16823,2480840,147,884,169,8,770,178,96,4.733728,10042,31,274,321,168,0,0,0,0,0.0,70038,220,748,318,
41,16860,2507027,148,721,169,11,1457,289,132,6.508876,7950,24,281,322,168,0,0,0,0,0.0,73358,229,757,319,
42,16834,2479041,147,845,169,10,1802,384,180,5.91716,9390,29,342,321,168,0,0,0,0,0.0,71334,224,766,318,
43,16845,2431876,144,900,169,4,645,235,161,2.366864,11533,35,352,322,168,0,0,0,0,0.0,70690,221,780,319,
44,16917,2520722,149,697,169,10,1290,238,129,5.91716,9382,29,254,323,168,0,0,0,0,0.0,70812,221,766,319,
45,16850,2438629,144,682,169,7,808,162,115,4.1420116,8891,27,264,322,168,0,0,0,0,0.0,72775,228,742,319,
46,17161,2613645,152,754,169,13,1783,319,137,7.692308,7026,21,227,321,168,0,0,0,0,0.0,70547,221,784,319,
47,17032,2489810,146,794,169,10,1518,390,151,5.91716,9945,30,311,321,168,0,0,0,0,0.0,69917,219,720,319,
48,17136,2499843,145,763,169,10,1458,267,145,5.91716,8585,26,290,322,168,0,0,0,0,0.0,70940,222,772,319,
49,17115,2540476,148,745,169,13,1843,308,141,7.692308,10381,32,287,322,168,0,0,0,0,0.0,73825,230,710,320,
50,17114,2479660,144,847,169,10,1657,428,165,5.91716,10075,31,259,322,168,0,0,0,0,0.0,71410,223,746,319,
51,16729,2462106,147,772,169,8,1082,216,135,4.733728,7778,24,252,322,168,0,0,0,0,0.0,70834,222,741,319,
52,16939,2449808,144,626,169,5,669,185,133,2.95858,8954,27,262,322,168,0,0,0,0,0.0,74117,232,744,319,
53,17130,2602587,151,867,169,20,2957,485,147,11.83432,9015,27,417,323,168,0,0,0,0,0.0,72200,226,720,319,
54,17117,2564014,149,742,169,8,1076,292,134,4.733728,7496,23,302,321,168,0,0,0,0,0.0,66633,208,674,319,
55,16820,2471731,146,646,169,9,907,147,100,5.3254437,9430,29,354,322,168,0,0,0,0,0.0,70813,221,702,319,
56,16829,2556325,151,931,169,13,2336,467,179,7.692308,9574,29,254,321,168,0,0,0,0,0.0,71687,224,742,319,
57,17165,2546375,148,663,169,7,894,236,127,4.1420116,8669,27,337,321,168,0,0,0,0,0.0,67952,213,770,319,
58,16862,2462908,146,715,169,7,894,207,127,4.1420116,10447,32,308,322,168,0,0,0,0,0.0,77019,240,768,320,
59,17337,2477873,142,784,169,6,864,237,144,3.5502958,10356,32,303,321,168,0,0,0,0,0.0,73144,229,718,319,
60,17145,2569353,149,800,169,13,1536,280,118,7.692308,9416,29,257,322,168,0,0,0,0,0.0,74836,234,715,319,
61,16660,2502119,150,684,169,11,1469,266,133,6.508876,8677,26,283,323,168,0,0,0,0,0.0,69793,218,779,319,
62,17018,2538934,149,672,169,11,1623,227,147,6.508876,9437,29,277,321,168,0,0,0,0,0.0,70024,219,729,319,
63,17043,2486447,145,723,169,6,881,275,146,3.5502958,9017,28,351,322,168,0,0,0,0,0.0,72136,226,818,319,
64,16996,2491458,146,677,168,7,853,312,121,4.166667,8652,27,320,320,168,0,0,0,0,0.0,72083,225,765,320,
65,17029,2552597,149,755,168,10,1357,371,135,5.952381,9060,28,593,321,168,0,0,0,0,0.0,73273,230,761,318,
