run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,3523,466614,132,587,28,0,0,0,0,0.0,1775,31,296,56,28,0,0,0,0,0.0,12838,237,688,54,
2,3367,475092,141,506,28,0,0,0,0,0.0,644,11,173,56,28,0,0,0,0,0.0,12597,237,718,53,
3,3333,488788,146,668,28,2,359,278,179,7.1428576,1442,26,272,55,28,0,0,0,0,0.0,11810,222,656,53,
4,3522,497880,141,556,28,1,65,65,65,3.5714288,1467,26,201,56,28,0,0,0,0,0.0,11601,223,682,52,
5,3271,452070,138,538,28,1,73,73,73,3.5714288,2708,49,256,55,28,0,0,0,0,0.0,11937,225,678,53,
6,3349,526515,157,539,28,2,190,104,95,7.1428576,1297,23,243,55,28,0,0,0,0,0.0,11157,210,620,53,
7,3288,491076,149,673,28,0,0,0,0,0.0,2278,40,310,56,28,0,0,0,0,0.0,10908,205,682,53,
8,3411,691745,202,725,28,7,1236,332,176,25.0,954,17,148,56,28,0,0,0,0,0.0,11552,217,703,53,
9,3384,498050,147,674,28,2,493,345,246,7.1428576,2061,37,203,55,28,0,0,0,0,0.0,11735,225,695,52,
10,3440,518030,150,583,28,3,260,115,86,10.714286,1712,30,208,56,28,0,0,0,0,0.0,11580,218,668,53,
11,3453,517833,149,532,28,1,80,80,80,3.5714288,1220,21,185,56,28,0,0,0,0,0.0,10301,194,613,53,
12,3445,495850,143,589,28,2,180,106,90,7.1428576,2196,39,263,56,28,0,0,0,0,0.0,12753,240,669,53,
13,3299,503537,152,807,28,1,125,125,125,3.5714288,2046,37,229,55,28,0,0,0,0,0.0,9993,188,614,53,
14,3297,479819,145,594,28,0,0,0,0,0.0,2282,40,236,56,28,0,0,0,0,0.0,10956,210,699,52,
15,3300,466604,141,620,28,1,60,60,60,3.5714288,1677,30,256,55,28,0,0,0,0,0.0,11120,209,637,53,
16,3405,542079,159,594,28,3,408,207,136,10.714286,1311,23,236,55,28,0,0,0,0,0.0,11974,225,682,53,
17,3307,484381,146,509,28,1,66,66,66,3.5714288,1409,25,214,56,28,0,0,0,0,0.0,12311,227,656,54,
18,3297,535502,162,754,28,3,559,307,186,10.714286,1892,33,270,56,28,0,0,0,0,0.0,12272,231,667,53,
19,3251,460227,141,526,28,0,0,0,0,0.0,1283,23,185,54,28,0,0,0,0,0.0,11442,215,672,53,
20,3477,518372,149,703,28,2,127,65,63,7.1428576,1932,33,250,57,28,0,0,0,0,0.0,12499,235,722,53,
21,3408,512491,150,598,28,1,179,179,179,3.5714288,1569,28,303,56,28,0,0,0,0,0.0,11413,219,677,52,
22,3298,467957,141,552,28,1,97,97,97,3.5714288,1889,33,288,56,28,0,0,0,0,0.0,11123,213,654,52,
23,3373,588598,174,837,28,5,790,313,158,17.857143,1539,28,243,54,28,0,0,0,0,0.0,12497,240,663,52,
24,3245,538530,165,737,28,2,404,240,202,7.1428576,1500,27,294,54,28,0,0,0,0,0.0,11486,216,628,53,
25,3301,514705,155,647,28,3,368,197,122,10.714286,1717,30,217,56,28,0,0,0,0,0.0,9843,185,605,53,
26,3403,479516,140,638,28,0,0,0,0,0.0,1626,29,190,55,28,0,0,0,0,0.0,10982,207,707,53,
27,3439,491245,142,491,28,0,0,0,0,0.0,962,17,162,56,28,0,0,0,0,0.0,12306,232,676,53,
28,3351,495260,147,626,28,1,81,81,81,3.5714288,1149,21,146,54,28,0,0,0,0,0.0,10840,204,656,53,
29,3381,438335,129,522,28,2,170,88,85,7.1428576,1868,33,233,56,28,0,0,0,0,0.0,11171,210,655,53,
30,3293,453017,137,463,28,0,0,0,0,0.0,1815,33,218,55,28,0,0,0,0,0.0,13178,244,813,54,
31,3416,506019,148,683,28,2,383,290,191,7.1428576,1847,32,224,56,28,0,0,0,0,0.0,12138,233,740,52,
32,3392,457518,134,520,28,1,78,78,78,3.5714288,1626,29,224,56,28,0,0,0,0,0.0,11543,217,651,53,
33,3364,570377,169,731,28,5,952,406,190,17.857143,1861,33,231,56,28,1,103,103,103,3.5714288,11632,219,720,53,
34,3356,467579,139,521,28,0,0,0,0,0.0,1523,27,225,55,28,0,0,0,0,0.0,12407,234,673,53,
35,3464,560994,161,640,28,2,258,190,129,7.1428576,901,16,181,55,28,0,0,0,0,0.0,12702,239,750,53,
36,3272,478057,146,601,28,1,143,143,143,3.5714288,2091,37,277,56,28,0,0,0,0,0.0,10446,197,682,53,
37,3375,479046,141,492,28,3,326,175,108,10.714286,1855,32,257,57,28,0,0,0,0,0.0,12209,230,745,53,
38,3160,419977,132,498,28,0,0,0,0,0.0,2697,49,348,54,28,0,0,0,0,0.0,10460,197,620,53,
39,3298,464425,140,540,28,0,0,0,0,0.0,2249,40,237,56,28,0,0,0,0,0.0,12342,228,685,54,
40,3326,477732,143,734,28,2,240,178,120,7.1428576,1841,33,235,55,28,0,0,0,0,0.0,11429,219,668,52,
41,3384,511240,151,708,28,3,267,97,89,10.714286,1485,26,187,56,28,0,0,0,0,0.0,10669,201,646,53,
42,3258,487256,149,597,28,1,252,252,252,3.5714288,2107,38,237,55,28,0,0,0,0,0.0,10734,206,666,52,
43,3303,479021,145,551,28,0,0,0,0,0.0,1826,32,183,56,28,0,0,0,0,0.0,12337,232,780,53,
44,3308,519152,156,697,28,3,522,238,174,10.714286,1463,25,188,57,28,0,0,0,0,0.0,9617,181,676,53,
45,3327,512217,153,553,28,2,211,147,105,7.1428576,1747,31,264,56,28,0,0,0,0,0.0,13689,258,742,53,
46,3428,549067,160,754,28,3,463,284,154,10.714286,1683,30,181,55,28,0,0,0,0,0.0,9916,187,686,53,
47,3235,486035,150,506,28,0,0,0,0,0.0,2165,39,311,55,28,0,0,0,0,0.0,12792,241,700,53,
48,3335,443299,132,635,28,0,0,0,0,0.0,1569,28,240,56,28,0,0,0,0,0.0,11278,212,772,53,
49,3287,454524,138,510,28,0,0,0,0,0.0,1892,34,263,55,28,0,0,0,0,0.0,13496,249,678,54,
50,3338,475594,142,497,28,2,185,104,92,7.1428576,2391,42,259,56,28,0,0,0,0,0.0,12583,237,652,53,
51,3332,436803,131,554,28,0,0,0,0,0.0,2308,41,252,56,28,0,0,0,0,0.0,11531,217,734,53,
52,3303,453141,137,606,28,0,0,0,0,0.0,1769,31,199,56,28,0,0,0,0,0.0,12312,232,744,53,
53,3518,519696,147,674,28,2,245,178,122,7.1428576,938,16,186,57,28,0,0,0,0,0.0,11808,222,708,53,
54,3201,462594,144,535,28,1,92,92,92,3.5714288,1308,24,184,54,28,0,0,0,0,0.0,11317,213,633,53,
55,3290,500633,152,566,28,3,242,110,80,10.714286,779,13,255,56,28,0,0,0,0,0.0,11224,211,685,53,
56,3362,504050,149,659,28,1,184,184,184,3.5714288,1215,22,254,55,28,0,0,0,0,0.0,12502,235,686,53,
57,3379,531920,157,663,28,2,260,195,130,7.1428576,1577,28,337,55,28,0,0,0,0,0.0,10858,204,583,53,
58,3311,492070,148,715,28,1,207,207,207,3.5714288,1863,33,224,56,28,0,0,0,0,0.0,13161,243,739,54,
59,3408,468662,137,592,28,0,0,0,0,0.0,1461,26,303,55,28,0,0,0,0,0.0,12617,238,718,53,
60,3393,502595,148,562,28,1,99,99,99,3.5714288,1629,29,206,56,28,0,0,0,0,0.0,12749,240,671,53,
61,3349,456835,136,476,28,1,76,76,76,3.5714288,1445,25,235,57,28,0,0,0,0,0.0,12415,234,716,53,
62,3418,547785,160,582,28,2,220,147,110,7.1428576,1675,30,249,55,28,0,0,0,0,0.0,12234,230,729,53,
63,3415,465180,136,647,28,0,0,0,0,0.0,2614,46,351,56,28,0,0,0,0,0.0,11451,216,736,53,
64,3327,508955,152,567,28,2,139,70,69,7.1428576,1215,22,320,54,28,0,0,0,0,0.0,13122,243,705,54,
65,3370,477972,141,524,28,0,0,0,0,0.0,2026,36,270,56,28,0,0,0,0,0.0,11304,217,658,52,
66,3398,541772,159,652,28,3,314,165,104,10.714286,1581,28,199,56,28,0,0,0,0,0.0,10814,204,659,53,
67,3185,508940,159,778,28,3,708,413,236,10.714286,1663,30,447,55,28,0,0,0,0,0.0,10699,201,637,53,
68,3413,504407,147,694,28,2,352,241,176,7.1428576,2168,38,263,56,28,0,0,0,0,0.0,12694,239,669,53,
69,3447,519895,150,563,28,1,143,143,143,3.5714288,2416,43,259,56,28,0,0,0,0,0.0,12287,227,766,54,
70,3361,436275,129,435,28,0,0,0,0,0.0,1966,35,254,56,28,0,0,0,0,0.0,12387,233,749,53,
71,3347,498135,148,605,28,1,159,159,159,3.5714288,1318,23,174,55,28,0,0,0,0,0.0,11756,221,655,53,
72,3458,469623,135,435,28,1,103,103,103,3.5714288,2139,37,218,57,28,0,0,0,0,0.0,12441,234,618,53,
73,3451,531874,154,656,28,4,600,265,150,14.285715,1185,21,165,56,28,0,0,0,0,0.0,11484,216,678,53,
74,3422,545816,159,600,28,2,334,213,167,7.1428576,1464,26,249,55,28,0,0,0,0,0.0,11594,218,640,53,
75,3327,521369,156,604,28,2,310,201,155,7.1428576,1532,27,250,56,28,0,0,0,0,0.0,12359,233,681,53,
76,3373,501467,148,640,28,2,232,126,116,7.1428576,1938,34,234,56,28,0,0,0,0,0.0,11204,211,656,53,
77,3344,534130,159,584,28,1,74,74,74,3.5714288,1311,23,280,55,28,0,0,0,0,0.0,11109,209,743,53,
78,3387,528311,155,561,28,3,383,136,127,10.714286,2082,37,251,55,28,0,0,0,0,0.0,11647,219,637,53,
79,3403,488935,143,649,28,1,95,95,95,3.5714288,2126,37,331,56,28,0,0,0,0,0.0,12694,239,637,53,
80,3405,493657,144,565,28,0,0,0,0,0.0,1794,32,307,55,28,0,0,0,0,0.0,12341,232,666,53,
81,3330,498037,149,581,28,1,188,188,188,3.5714288,1651,29,257,56,28,0,0,0,0,0.0,11244,212,670,53,
82,3279,524743,160,600,28,2,188,106,94,7.1428576,851,15,195,55,28,0,0,0,0,0.0,11576,218,686,53,
83,3373,488271,144,678,28,0,0,0,0,0.0,1960,35,234,55,28,0,0,0,0,0.0,10882,205,755,53,
84,3428,513358,149,568,28,2,165,100,82,7.1428576,1889,33,249,56,28,0,0,0,0,0.0,11748,217,583,54,
85,3360,457175,136,479,28,0,0,0,0,0.0,2211,39,295,56,28,0,0,0,0,0.0,12989,245,695,53,
86,3404,509658,149,671,28,1,80,80,80,3.5714288,1782,32,297,55,28,0,0,0,0,0.0,9315,175,702,53,
87,3277,586227,178,858,28,4,732,284,183,14.285715,1868,33,250,56,28,0,0,0,0,0.0,10281,193,645,53,
88,3431,512350,149,610,28,0,0,0,0,0.0,974,17,184,56,28,0,0,0,0,0.0,10811,207,581,52,
89,3416,504348,147,578,28,1,146,146,146,3.5714288,1691,30,231,55,28,0,0,0,0,0.0,11153,210,606,53,
90,3343,508919,152,582,28,1,129,129,129,3.5714288,2331,41,324,56,28,0,0,0,0,0.0,12665,238,732,53,
91,3283,483198,147,557,28,1,62,62,62,3.5714288,1141,20,189,56,28,0,0,0,0,0.0,11425,215,617,53,
92,3382,551628,163,758,28,2,344,242,172,7.1428576,1861,33,272,55,28,0,0,0,0,0.0,11104,209,683,53,
93,3336,496870,148,699,28,1,92,92,92,3.5714288,947,17,176,55,28,0,0,0,0,0.0,12391,238,667,52,
94,3286,461898,140,553,28,1,150,150,150,3.5714288,1290,23,166,55,28,0,0,0,0,0.0,11344,218,721,52,
95,3319,470585,141,663,28,1,160,160,160,3.5714288,2031,36,323,56,28,0,0,0,0,0.0,11609,214,567,54,
96,3490,473555,135,493,28,0,0,0,0,0.0,1593,28,256,56,28,0,0,0,0,0.0,13535,255,710,53,
97,3349,545722,162,634,28,3,390,258,130,10.714286,1420,25,274,56,28,0,0,0,0,0.0,10905,205,671,53,
98,3373,505091,149,709,28,3,671,355,223,10.714286,1782,31,263,57,28,0,0,0,0,0.0,11523,221,805,52,
99,3457,517817,149,533,28,2,318,216,159,7.1428576,1962,34,300,57,28,0,0,0,0,0.0,12938,244,620,53,
100,3522,587532,166,673,28,3,477,225,159,10.714286,945,17,240,55,28,0,0,0,0,0.0,10048,189,601,53,
101,3438,538191,156,558,28,1,75,75,75,3.5714288,1251,22,139,56,28,0,0,0,0,0.0,10873,205,677,53,
102,3452,518809,150,554,28,1,157,157,157,3.5714288,2144,38,281,56,28,0,0,0,0,0.0,12971,244,719,53,
103,3498,626800,179,983,28,4,733,291,183,14.285715,1900,34,245,55,28,0,0,0,0,0.0,12181,229,683,53,
104,3370,487090,144,666,28,1,70,70,70,3.5714288,2471,45,259,54,28,0,0,0,0,0.0,10921,206,673,53,
105,3496,585728,167,662,28,3,450,184,150,10.714286,1656,30,229,55,28,0,0,0,0,0.0,11809,227,666,52,
106,3227,510750,158,692,28,3,434,240,144,10.714286,1824,33,235,55,28,0,0,0,0,0.0,11382,214,656,53,
107,3504,495921,141,513,28,0,0,0,0,0.0,1797,32,220,56,28,0,0,0,0,0.0,12999,240,673,54,
108,3250,453795,139,512,28,2,265,145,132,7.1428576,1541,27,207,56,28,0,0,0,0,0.0,12440,234,675,53,
109,3328,480632,144,483,28,1,72,72,72,3.5714288,1621,28,219,56,28,0,0,0,0,0.0,13002,245,679,53,
110,3529,552606,156,618,28,2,409,240,204,7.1428576,1376,25,219,55,28,0,0,0,0,0.0,12860,242,656,53,
111,3307,465835,140,532,28,1,143,143,143,3.5714288,2008,36,291,55,28,0,0,0,0,0.0,11852,223,647,53,
112,3302,526037,159,519,28,3,249,103,83,10.714286,2036,36,265,56,28,0,0,0,0,0.0,12534,236,672,53,
113,3316,492534,148,664,28,1,124,124,124,3.5714288,2016,36,312,56,28,0,0,0,0,0.0,11872,224,661,53,
114,3428,544680,158,770,28,2,557,377,278,7.1428576,815,14,148,55,28,0,0,0,0,0.0,11608,214,692,54,
115,3398,512338,150,633,28,2,237,136,118,7.1428576,1788,32,290,55,28,0,0,0,0,0.0,11318,213,660,53,
116,3345,436404,130,553,28,0,0,0,0,0.0,1920,34,288,55,28,0,0,0,0,0.0,10892,209,643,52,
117,3407,464237,136,445,28,0,0,0,0,0.0,995,17,155,56,28,0,0,0,0,0.0,12015,231,697,52,
118,3384,479860,141,469,28,0,0,0,0,0.0,1166,21,180,55,28,0,0,0,0,0.0,11892,224,690,53,
119,3249,446305,137,502,28,0,0,0,0,0.0,1587,28,280,55,28,0,0,0,0,0.0,11734,221,670,53,
120,3345,483562,144,596,28,2,182,110,91,7.1428576,1309,23,232,56,28,0,0,0,0,0.0,12760,240,723,53,
121,3268,505210,154,534,28,2,244,154,122,7.1428576,1923,34,264,55,28,0,0,0,0,0.0,13269,250,780,53,
122,3385,520287,153,577,28,2,289,184,144,7.1428576,1300,23,261,56,28,0,0,0,0,0.0,12586,237,817,53,
123,3458,488989,141,551,28,0,0,0,0,0.0,1600,28,182,56,28,0,0,0,0,0.0,11321,217,695,52,
124,3228,517733,160,612,28,2,317,213,158,7.1428576,1183,21,162,56,28,0,0,0,0,0.0,12705,239,781,53,
125,3318,495025,149,816,28,1,99,99,99,3.5714288,2184,39,272,56,28,0,0,0,0,0.0,12678,234,732,54,
126,3252,481634,148,638,28,1,121,121,121,3.5714288,1871,33,282,56,28,0,0,0,0,0.0,10856,204,703,53,
127,3323,491528,147,800,28,1,83,83,83,3.5714288,2094,38,228,55,28,0,0,0,0,0.0,12317,232,703,53,
128,3266,521516,159,658,28,2,269,151,134,7.1428576,928,16,118,56,28,0,0,0,0,0.0,10890,205,681,53,
129,3449,515224,149,540,28,1,67,67,67,3.5714288,1535,27,306,56,28,0,0,0,0,0.0,11002,211,641,52,
130,3378,492658,145,532,28,0,0,0,0,0.0,1965,35,211,56,28,0,0,0,0,0.0,12830,242,672,53,
131,3282,495627,151,696,28,2,195,113,97,7.1428576,1242,22,197,55,28,0,0,0,0,0.0,11484,216,717,53,
132,3393,476396,140,652,28,1,130,130,130,3.5714288,2163,38,289,56,28,0,0,0,0,0.0,12859,242,718,53,
133,3391,504092,148,624,28,2,174,98,87,7.1428576,1339,23,161,56,28,0,0,0,0,0.0,12275,231,699,53,
134,3290,605830,184,652,28,5,660,259,132,17.857143,1309,23,226,55,28,0,0,0,0,0.0,11075,212,782,52,
135,3354,517715,154,581,28,1,129,129,129,3.5714288,1631,29,210,55,28,0,0,0,0,0.0,12848,237,646,54,
136,3353,475489,141,481,28,2,162,91,81,7.1428576,1600,28,258,56,28,0,0,0,0,0.0,12455,239,693,52,
137,3327,480331,144,504,28,0,0,0,0,0.0,1398,24,244,56,28,0,0,0,0,0.0,11024,204,586,54,
138,3356,450872,134,466,28,0,0,0,0,0.0,1577,28,203,56,28,0,0,0,0,0.0,11926,229,709,52,
139,3301,478401,144,679,28,1,179,179,179,3.5714288,1325,24,204,55,28,0,0,0,0,0.0,11651,219,682,53,
140,3344,484804,144,540,28,1,147,147,147,3.5714288,1300,23,239,56,28,0,0,0,0,0.0,12777,241,736,53,
141,3387,469436,138,461,28,0,0,0,0,0.0,1721,30,224,56,28,0,0,0,0,0.0,11718,221,665,53,
142,3463,484344,139,531,28,2,168,85,84,7.1428576,1331,23,211,56,28,0,0,0,0,0.0,12610,237,694,53,
143,3282,528007,160,639,28,1,201,201,201,3.5714288,2464,45,237,54,28,0,0,0,0,0.0,12903,238,659,54,
144,3386,462747,136,567,28,1,60,60,60,3.5714288,2244,40,263,56,28,0,0,0,0,0.0,11802,222,726,53,
145,3306,487837,147,533,28,0,0,0,0,0.0,1091,19,232,55,28,0,0,0,0,0.0,10143,195,604,52,
146,3349,483327,144,600,28,1,94,94,94,3.5714288,1830,33,333,55,28,0,0,0,0,0.0,12414,229,664,54,
147,3346,460022,137,645,28,0,0,0,0,0.0,1563,28,226,55,28,0,0,0,0,0.0,12807,246,713,52,
148,3381,494486,146,739,28,1,96,96,96,3.5714288,1586,28,316,56,28,0,0,0,0,0.0,12169,234,708,52,
149,3282,480362,146,615,28,1,71,71,71,3.5714288,2339,43,290,54,28,0,0,0,0,0.0,10052,189,656,53,
150,3256,482535,148,569,28,0,0,0,0,0.0,1328,24,224,54,28,0,0,0,0,0.0,12740,245,681,52,
151,3349,497178,148,489,28,0,0,0,0,0.0,1190,21,159,55,28,0,0,0,0,0.0,12622,238,673,53,
152,3392,533210,157,557,28,3,341,162,113,10.714286,1641,29,213,56,28,0,0,0,0,0.0,11118,209,601,53,
153,3324,467543,140,625,28,0,0,0,0,0.0,1283,22,198,56,28,0,0,0,0,0.0,12014,226,730,53,
154,3333,488903,146,674,28,1,106,106,106,3.5714288,2108,37,263,56,28,0,0,0,0,0.0,10480,194,604,54,
155,3369,488721,145,664,28,1,68,68,68,3.5714288,1408,25,296,56,28,0,0,0,0,0.0,12076,227,681,53,
156,3377,524258,155,644,28,2,353,245,176,7.1428576,2610,47,357,55,28,0,0,0,0,0.0,10908,209,721,52,
157,3437,484754,141,645,28,1,81,81,81,3.5714288,2170,39,240,55,28,0,0,0,0,0.0,12110,224,616,54,
158,3238,489006,151,549,28,1,72,72,72,3.5714288,1943,35,249,55,28,0,0,0,0,0.0,11030,208,636,53,
159,3291,639935,194,837,28,3,782,384,260,10.714286,1521,27,186,55,28,0,0,0,0,0.0,12594,237,765,53,
160,3282,463860,141,533,28,0,0,0,0,0.0,2534,45,258,56,28,0,0,0,0,0.0,11727,221,688,53,
161,3373,454556,134,493,28,0,0,0,0,0.0,2280,40,327,56,28,0,0,0,0,0.0,12081,227,646,53,
162,3490,555251,159,794,28,4,599,277,149,14.285715,2070,37,213,55,28,0,0,0,0,0.0,12122,228,640,53,
163,3398,483736,142,501,28,0,0,0,0,0.0,1293,23,167,55,28,0,0,0,0,0.0,13077,246,731,53,
164,3334,491486,147,541,28,1,79,79,79,3.5714288,1602,28,231,56,28,0,0,0,0,0.0,12850,242,677,53,
165,3394,503139,148,521,28,2,168,99,84,7.1428576,1913,34,213,56,28,0,0,0,0,0.0,12602,237,651,53,
166,3344,460520,137,607,28,0,0,0,0,0.0,1134,20,166,56,29,0,0,0,0,0.0,12162,221,714,55,
167,3327,496814,149,687,28,2,294,185,147,7.1428576,1682,30,214,56,28,0,0,0,0,0.0,12153,229,679,53,
168,3412,474461,139,547,28,0,0,0,0,0.0,2152,39,264,55,28,0,0,0,0,0.0,10934,210,691,52,
169,3380,461734,136,458,28,0,0,0,0,0.0,1972,35,226,56,28,0,0,0,0,0.0,12522,231,648,54,
170,3294,469361,142,682,28,0,0,0,0,0.0,1936,35,320,55,28,0,0,0,0,0.0,11374,218,694,52,
171,3451,472343,136,574,28,0,0,0,0,0.0,1783,31,265,56,28,0,0,0,0,0.0,11748,217,638,54,
172,3372,466089,138,537,28,1,147,147,147,3.5714288,2408,43,338,56,28,0,0,0,0,0.0,12381,233,702,53,
173,3484,519112,148,620,28,1,62,62,62,3.5714288,871,15,172,56,28,0,0,0,0,0.0,10693,201,679,53,
174,3310,491822,148,588,28,2,290,207,145,7.1428576,1895,33,216,56,28,0,0,0,0,0.0,12740,240,782,53,
175,3356,495627,147,533,28,0,0,0,0,0.0,2400,42,245,56,28,0,0,0,0,0.0,10600,200,604,53,
