run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,16815,1928863,114,565,216,1,90,90,90,0.46296296,37740,91,459,412,217,0,0,0,0,0.0,96688,235,798,410,
2,16906,1914315,113,728,216,3,284,118,94,1.388889,41289,99,469,413,217,0,0,0,0,0.0,97908,237,796,412,
3,17088,1980843,115,698,216,7,1098,251,156,3.2407408,42022,101,452,413,217,0,0,0,0,0.0,101544,247,777,411,
4,16932,1864889,110,690,216,2,224,123,112,0.9259259,40908,99,500,413,217,0,0,0,0,0.0,96815,236,781,410,
5,17109,1949703,113,698,216,3,259,126,86,1.388889,39175,94,473,413,217,0,0,0,0,0.0,96691,235,801,411,
6,16906,1987834,117,1107,216,13,3550,722,273,6.0185184,36567,88,453,413,217,15,2806,349,187,6.912442,96886,235,794,411,
7,17197,1922731,111,631,216,3,449,249,149,1.388889,41768,101,504,413,217,0,0,0,0,0.0,99837,243,753,410,
8,16914,1881764,111,609,216,1,112,112,112,0.46296296,39922,96,443,412,217,0,0,0,0,0.0,97532,237,787,411,
9,16861,2035235,120,1214,216,12,2176,414,181,5.555556,34857,84,451,411,216,34,9338,567,274,15.74074,98824,241,907,410,
10,16979,1908128,112,664,216,4,510,201,127,1.8518518,39211,94,481,414,217,0,0,0,0,0.0,97440,238,784,409,
11,16906,1952076,115,972,216,8,1598,373,199,3.7037036,42164,102,517,413,217,0,0,0,0,0.0,94433,230,769,410,
12,16824,1950552,115,634,216,4,422,176,105,1.8518518,39288,95,451,413,217,0,0,0,0,0.0,96081,233,770,411,
13,16716,1910826,114,826,216,5,772,275,154,2.3148148,39593,95,446,413,217,0,0,0,0,0.0,98404,240,736,410,
14,17029,1977145,116,944,216,6,779,199,129,2.777778,37069,89,470,413,217,4,440,160,110,1.843318,96063,233,701,412,
15,17056,1948134,114,608,216,2,246,130,123,0.9259259,39474,95,442,413,217,0,0,0,0,0.0,98976,240,788,411,
16,16922,1923973,113,623,216,3,279,123,93,1.388889,38035,92,472,413,217,0,0,0,0,0.0,104412,254,767,411,
17,17082,1892667,110,661,216,2,162,83,81,0.9259259,42323,102,463,413,217,0,0,0,0,0.0,101275,246,755,411,
18,16754,1889186,112,613,216,1,70,70,70,0.46296296,40496,98,458,412,217,0,0,0,0,0.0,95821,234,767,409,
19,16963,1912139,112,708,216,1,156,156,156,0.46296296,41347,100,458,413,217,0,0,0,0,0.0,102289,248,789,411,
20,16704,1886136,112,654,216,5,576,153,115,2.3148148,35973,87,513,412,217,0,0,0,0,0.0,101837,247,734,412,
21,16747,1910244,114,671,216,2,201,117,100,0.9259259,40861,98,500,414,217,0,0,0,0,0.0,98767,240,776,410,
22,16762,1850335,110,649,216,3,263,97,87,1.388889,39596,96,441,412,217,0,0,0,0,0.0,98534,239,789,412,
23,17019,1880112,110,591,216,0,0,0,0,0.0,40634,98,434,413,217,0,0,0,0,0.0,99465,242,763,411,
24,16819,1913413,113,755,216,7,1000,249,142,3.2407408,40859,98,513,414,217,0,0,0,0,0.0,93707,228,784,410,
25,16943,1968049,116,799,216,8,1900,488,237,3.7037036,40137,97,498,413,217,0,0,0,0,0.0,96808,235,760,411,
26,16916,1924186,113,586,216,1,104,104,104,0.46296296,40943,99,494,413,217,0,0,0,0,0.0,100182,243,760,411,
27,16935,1922373,113,656,216,3,446,219,148,1.388889,40476,98,534,413,217,0,0,0,0,0.0,99453,241,741,411,
28,17082,1945002,113,846,216,6,595,155,99,2.777778,42896,103,505,413,217,0,0,0,0,0.0,98165,239,760,410,
29,17122,1920299,112,594,216,0,0,0,0,0.0,40298,97,479,414,217,0,0,0,0,0.0,104927,255,789,411,
30,16963,1920575,113,691,216,2,292,186,146,0.9259259,44163,106,468,414,217,0,0,0,0,0.0,99007,241,718,410,
31,16819,1902471,113,629,216,1,66,66,66,0.46296296,41734,101,489,412,217,0,0,0,0,0.0,103077,250,777,411,
32,17097,1886906,110,602,216,1,62,62,62,0.46296296,40749,98,438,413,217,0,0,0,0,0.0,99266,242,769,410,
33,16990,1934982,113,639,216,7,1139,301,162,3.2407408,40092,97,503,413,217,0,0,0,0,0.0,92892,226,734,411,
34,16952,1949192,114,705,216,1,123,123,123,0.46296296,39193,94,516,413,217,0,0,0,0,0.0,99735,242,759,411,
35,17031,1931261,113,822,216,3,528,232,176,1.388889,39771,96,474,413,217,0,0,0,0,0.0,97519,238,785,409,
36,16882,1880836,111,664,216,0,0,0,0,0.0,40448,97,443,413,217,0,0,0,0,0.0,101089,246,811,410,
37,16948,1832324,108,561,216,1,92,92,92,0.46296296,42774,103,455,413,217,0,0,0,0,0.0,100956,246,806,410,
38,16946,1912623,112,623,216,3,303,139,101,1.388889,40133,97,436,413,217,0,0,0,0,0.0,99175,241,732,410,
39,16917,1895660,112,719,216,5,797,223,159,2.3148148,43195,105,458,411,217,0,0,0,0,0.0,97768,238,796,410,
40,17052,1945557,114,643,216,4,473,161,118,1.8518518,34616,83,397,413,217,0,0,0,0,0.0,99098,241,798,410,
41,16991,1875568,110,833,216,0,0,0,0,0.0,41552,100,500,412,217,0,0,0,0,0.0,92579,225,735,411,
42,16778,1922620,114,864,216,5,529,141,105,2.3148148,37741,91,463,413,217,12,2198,309,183,5.529954,95344,231,782,411,
43,16929,1892027,111,608,216,0,0,0,0,0.0,42198,102,452,413,217,0,0,0,0,0.0,96455,234,761,411,
44,17249,1929342,111,736,216,2,237,128,118,0.9259259,40460,97,429,414,217,0,0,0,0,0.0,98127,239,815,410,
45,16682,1872664,112,625,216,1,174,174,174,0.46296296,37817,91,470,415,217,0,0,0,0,0.0,94613,230,783,410,
46,17173,1937375,112,915,216,3,345,138,115,1.388889,38524,93,428,412,217,1,68,68,68,0.4608295,95615,232,801,411,
47,17093,1905923,111,653,216,0,0,0,0,0.0,39503,95,519,412,217,0,0,0,0,0.0,92313,224,761,411,
48,17031,1892852,111,713,216,2,196,120,98,0.9259259,35477,85,461,413,217,0,0,0,0,0.0,93737,228,704,410,
49,16636,1875312,112,628,216,3,427,183,142,1.388889,39572,96,537,412,217,0,0,0,0,0.0,92816,225,749,411,
50,17026,1931139,113,767,216,4,634,286,158,1.8518518,44108,107,475,412,217,0,0,0,0,0.0,99467,242,770,411,
51,17110,1951295,114,905,216,5,801,259,160,2.3148148,38422,93,457,413,217,0,0,0,0,0.0,95219,231,779,411,
52,17000,1899748,111,601,216,3,395,202,131,1.388889,37970,92,456,412,217,0,0,0,0,0.0,100585,244,749,411,
53,16964,1915406,112,684,216,0,0,0,0,0.0,38816,93,448,413,217,0,0,0,0,0.0,98700,240,776,410,
54,17022,1882219,110,603,216,1,170,170,170,0.46296296,41648,100,470,414,217,0,0,0,0,0.0,99426,241,768,411,
