run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,16869,1711059,101,859,240,6,812,274,135,2.5,39617,86,426,458,240,238,41650,180,175,99.166664,127099,278,875,456,
2,17075,1717779,100,586,240,0,0,0,0,0.0,78074,170,615,457,240,0,0,0,0,0.0,89617,196,688,456,
3,16921,1704684,100,549,240,0,0,0,0,0.0,76540,167,581,457,241,0,0,0,0,0.0,91218,200,670,456,
4,17249,1758537,101,770,240,1,82,82,82,0.4166667,73505,161,638,455,241,0,0,0,0,0.0,92027,200,641,458,
5,16984,1697267,99,592,240,2,275,158,137,0.8333334,65115,142,540,457,240,97,7275,75,75,40.416668,95234,208,697,456,
6,17094,1858920,108,767,240,1,95,95,95,0.4166667,61715,135,548,457,241,101,10614,107,105,41.908714,95812,210,706,456,
7,17052,1706277,100,646,240,0,0,0,0,0.0,77230,168,607,457,241,0,0,0,0,0.0,87398,191,658,457,
8,16978,1742376,102,663,240,1,72,72,72,0.4166667,69619,152,614,457,240,58,5858,101,101,24.166666,98396,215,702,456,
9,16967,1730117,101,631,240,0,0,0,0,0.0,78070,170,594,458,241,0,0,0,0,0.0,92019,201,653,456,
10,16865,1756017,104,722,240,2,293,177,146,0.8333334,70250,153,581,457,241,86,5899,92,68,35.684647,95242,208,782,456,
11,16901,1701591,100,587,240,0,0,0,0,0.0,76221,166,610,457,241,0,0,0,0,0.0,90780,199,668,456,
12,16909,1711868,101,537,240,0,0,0,0,0.0,74549,162,564,458,241,0,0,0,0,0.0,85277,187,652,456,
13,16818,1678326,99,703,240,1,115,115,115,0.4166667,71499,156,602,458,240,0,0,0,0,0.0,92092,201,719,456,
14,16928,1723712,101,502,240,0,0,0,0,0.0,75268,164,648,457,241,0,0,0,0,0.0,86163,188,663,457,
15,16899,1722763,101,670,240,0,0,0,0,0.0,73674,161,598,457,240,0,0,0,0,0.0,92670,203,677,456,
16,17056,1716650,100,654,240,0,0,0,0,0.0,76442,167,591,457,241,0,0,0,0,0.0,90581,197,708,458,
17,16814,1719870,102,680,240,0,0,0,0,0.0,76430,167,620,456,240,0,0,0,0,0.0,89060,195,675,456,
18,17041,1709003,100,636,240,0,0,0,0,0.0,70902,155,619,457,240,132,12735,123,96,55.0,95273,209,736,455,
19,16920,1728202,102,616,240,1,87,87,87,0.4166667,78763,172,606,457,241,0,0,0,0,0.0,87739,192,725,456,
20,16975,1722043,101,540,240,0,0,0,0,0.0,76326,167,632,456,241,0,0,0,0,0.0,90670,198,684,456,
21,16950,1794523,105,685,240,1,72,72,72,0.4166667,64419,140,635,457,240,59,10502,178,178,24.583334,99736,219,738,455,
22,17066,1728165,101,707,240,1,119,119,119,0.4166667,77110,169,600,456,241,0,0,0,0,0.0,89890,196,657,457,
23,17038,1870660,109,757,240,15,2152,362,143,6.25,23106,50,360,457,239,235,61600,292,262,98.32636,143905,316,921,455,
24,17050,1702287,99,623,240,0,0,0,0,0.0,81643,178,580,457,241,0,0,0,0,0.0,84448,185,682,456,
25,16847,1685767,100,833,240,0,0,0,0,0.0,76688,168,604,456,241,0,0,0,0,0.0,85888,188,641,456,
26,16852,1861092,110,718,240,21,2962,229,141,8.75,24391,53,574,457,239,207,66684,352,322,86.61088,145848,321,962,453,
27,17142,1750979,102,657,240,1,91,91,91,0.4166667,78691,172,626,457,240,0,0,0,0,0.0,88499,194,646,456,
28,16741,1681281,100,841,240,2,320,220,160,0.8333334,77364,169,659,457,241,0,0,0,0,0.0,88723,194,657,455,
