run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,3344,311546,93,515,40,0,0,0,0,0.0,6836,87,390,78,40,40,7000,180,175,100.0,19440,255,719,76,
2,3329,306181,91,565,40,0,0,0,0,0.0,12579,163,602,77,41,0,0,0,0,0.0,13055,171,688,76,
3,3352,308827,92,549,40,0,0,0,0,0.0,13659,177,555,77,41,0,0,0,0,0.0,13168,173,596,76,
4,3363,313045,93,706,40,0,0,0,0,0.0,10948,145,600,75,41,0,0,0,0,0.0,14045,180,582,78,
5,3382,312665,92,429,40,0,0,0,0,0.0,13655,177,540,77,41,2,150,75,75,4.8780484,13263,174,589,76,
6,3436,349635,101,767,40,1,95,95,95,2.5,11304,146,486,77,41,6,549,97,91,14.634146,11303,148,662,76,
7,3402,317592,93,458,40,0,0,0,0,0.0,11322,147,466,77,41,0,0,0,0,0.0,14398,186,658,77,
8,3339,304643,91,663,40,0,0,0,0,0.0,13725,178,568,77,41,0,0,0,0,0.0,13997,184,677,76,
9,3397,316612,93,631,40,0,0,0,0,0.0,13954,178,594,78,41,0,0,0,0,0.0,15492,203,617,76,
10,3354,308091,91,549,40,0,0,0,0,0.0,12716,165,514,77,41,0,0,0,0,0.0,15491,201,648,77,
11,3314,303338,91,430,40,0,0,0,0,0.0,12096,157,517,77,41,0,0,0,0,0.0,15443,203,668,76,
12,3343,318475,95,537,40,0,0,0,0,0.0,10878,139,481,78,41,0,0,0,0,0.0,14642,192,652,76,
13,3242,305042,94,703,40,0,0,0,0,0.0,11655,149,539,78,41,0,0,0,0,0.0,16899,222,719,76,
14,3346,307533,91,401,40,0,0,0,0,0.0,13816,179,646,77,41,0,0,0,0,0.0,15837,205,575,77,
15,3365,309211,91,386,40,0,0,0,0,0.0,13083,169,514,77,41,0,0,0,0,0.0,14961,196,644,76,
16,3400,311475,91,454,40,0,0,0,0,0.0,12257,159,544,77,41,0,0,0,0,0.0,16068,206,616,78,
17,3307,310442,93,580,40,0,0,0,0,0.0,13050,171,608,76,40,0,0,0,0,0.0,13531,178,574,76,
18,3385,319829,94,475,40,0,0,0,0,0.0,14948,194,619,77,41,0,0,0,0,0.0,14202,184,548,77,
19,3209,291485,90,538,40,0,0,0,0,0.0,14383,186,564,77,41,0,0,0,0,0.0,13502,177,605,76,
20,3256,302612,92,435,40,0,0,0,0,0.0,13138,172,587,76,41,0,0,0,0,0.0,14527,191,621,76,
21,3399,314250,92,660,40,0,0,0,0,0.0,12240,158,635,77,41,0,0,0,0,0.0,13864,180,557,77,
22,3392,311131,91,504,40,0,0,0,0,0.0,13826,181,600,76,41,0,0,0,0,0.0,12758,165,589,77,
23,3252,338509,104,757,38,2,286,172,143,5.263158,3120,42,299,74,40,40,10480,292,262,100.0,23609,314,919,75,
24,3350,309156,92,423,40,0,0,0,0,0.0,14735,191,563,77,41,0,0,0,0,0.0,12603,165,582,76,
25,3318,319895,96,833,40,0,0,0,0,0.0,11283,148,488,76,41,0,0,0,0,0.0,13334,175,578,76,
26,3420,335320,98,718,40,0,0,0,0,0.0,10811,140,574,77,39,17,5504,352,323,43.589745,17785,243,931,73,
27,3373,313590,92,626,40,0,0,0,0,0.0,13911,180,563,77,41,0,0,0,0,0.0,15288,201,646,76,
28,3265,303524,92,469,40,0,0,0,0,0.0,13655,177,652,77,41,0,0,0,0,0.0,12944,172,644,75,
