run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,16906,3550351,210,1232,154,98,369475,8722,3770,63.636364,165420,572,2449,289,159,92,299264,7568,3252,57.861637,23475,79,691,297,
2,17223,2602529,151,911,176,48,93696,3388,1952,27.272728,95517,285,2534,335,181,36,62277,2851,1729,19.889502,46789,137,712,341,
3,17008,2114264,124,692,192,0,0,0,0,0.0,40745,111,491,367,193,0,0,0,0,0.0,64556,176,600,365,
4,17008,2306407,135,963,184,51,52605,1810,1031,27.71739,69996,199,1458,351,188,37,28347,1253,766,19.680851,55620,155,717,358,
5,17111,3799804,222,1310,144,80,378966,10425,4737,55.555557,191657,704,3767,272,149,78,305606,9757,3918,52.348995,25103,90,608,278,
6,17055,5240031,307,1800,134,87,387024,12753,4448,64.92537,222090,881,6137,252,137,76,279643,11334,3679,55.474453,18602,73,549,252,
7,16852,3233155,191,1279,156,62,196925,7720,3176,39.74359,145628,493,3837,295,163,57,156994,6790,2754,34.969322,33481,109,578,305,
8,17019,4295925,252,1336,136,108,635859,12462,5887,79.411766,229086,898,3785,255,140,100,531979,11925,5319,71.42857,12349,47,643,259,
9,17027,2743316,161,1126,168,58,146286,5323,2522,34.523808,119473,374,2820,319,172,49,98599,4530,2012,28.48837,40141,123,618,324,
10,16905,2131025,126,705,188,19,9572,945,503,10.106383,51960,144,1268,359,191,4,754,336,188,2.094241,59535,164,608,363,
11,16819,4566123,271,2171,144,96,261432,10592,2723,66.66667,175186,644,5556,272,149,71,184406,8406,2597,47.65101,19442,70,575,277,
12,16811,3925219,233,1393,144,115,427836,10178,3720,79.86111,199774,734,4073,272,150,101,352775,9633,3492,67.333336,13687,49,518,279,
13,16964,7944603,468,2712,118,86,351879,16466,4091,72.881355,239038,1091,8107,219,125,66,285544,14474,4326,52.8,13911,60,537,229,
14,16878,2680582,158,845,170,102,233477,4589,2288,60.000004,132040,408,2336,323,175,84,177673,4134,2115,48.0,26655,81,620,329,
15,17032,2117120,124,565,189,19,10271,777,540,10.05291,47256,131,1055,359,191,3,384,193,128,1.5706805,63831,176,627,362,
16,16901,2370213,140,753,180,55,67123,2459,1220,30.555555,82209,238,1701,344,183,42,33024,1819,786,22.950819,47343,136,630,347,
17,17153,2176460,126,783,184,26,22876,1780,879,14.130434,63990,181,1899,352,187,12,6092,960,507,6.417112,55252,156,655,353,
18,16922,2278491,134,858,178,35,53761,2812,1536,19.662922,79036,232,2197,340,183,29,30078,2328,1037,15.846994,53773,155,650,345,
19,16801,2094135,124,617,192,1,85,85,85,0.5208334,42277,115,504,367,193,0,0,0,0,0.0,67309,184,614,365,
20,17120,2179830,127,677,187,39,19145,1200,490,20.855614,55740,156,1073,356,191,17,3615,366,212,8.900524,54190,149,694,363,
21,16907,4931793,291,1474,127,127,874424,15139,6885,100.0,257307,1094,3781,235,129,120,745482,13228,6212,93.02326,2500,10,235,242,
22,17166,2486779,144,865,176,65,75754,3484,1165,36.93182,95167,283,2574,336,181,49,38768,2362,791,27.071825,39764,116,716,341,
23,16961,3795016,223,1257,152,152,728168,9581,4790,100.0,198923,702,2508,283,153,148,627931,8905,4242,96.732025,4015,13,317,291,
24,16770,3270492,195,1414,160,58,199681,7002,3442,36.25,139742,461,2988,303,165,54,148839,5981,2756,32.727272,34641,112,670,309,
25,17023,3996110,234,1093,140,105,497739,11823,4740,75.0,210751,807,3567,261,144,98,398945,10941,4070,68.05556,15803,58,587,268,
26,16891,2259046,133,1039,182,27,24996,2108,925,14.835165,58799,168,2178,348,189,22,12862,1070,584,11.640212,53494,149,602,357,
27,17247,5435151,315,1701,126,112,536126,14472,4786,88.88889,244311,1039,5543,235,133,100,462740,13516,4627,75.18797,7359,30,509,244,
28,17056,3497066,205,1108,148,124,528634,9727,4263,83.78378,201264,721,2988,279,153,118,439694,8692,3726,77.12418,10949,38,604,286,
29,16933,3825644,225,1438,156,90,315111,8100,3501,57.692307,159196,539,2711,295,159,73,236436,6734,3238,45.91195,30498,102,628,299,
30,16824,3970193,235,1076,140,140,710288,11775,5073,100.0,231943,875,2701,265,144,124,595697,10952,4804,86.11111,3988,14,296,270,
31,16795,2064945,122,625,192,3,305,116,101,1.5625,37617,102,513,366,193,0,0,0,0,0.0,63823,174,682,365,
32,16905,3016524,178,1046,162,85,262994,6242,3094,52.469135,144174,471,2504,306,167,73,205755,5910,2818,43.712574,32354,103,637,313,
33,16885,4399420,260,1342,130,130,831415,13557,6395,100.0,231573,956,3640,242,135,123,757414,12871,6157,91.111115,5233,20,451,252,
34,17042,2228033,130,911,182,21,22096,2282,1052,11.538462,60237,173,2299,347,187,10,7222,919,722,5.3475933,58362,165,653,353,
35,17009,2636567,155,855,176,64,83482,3690,1304,36.363636,93954,280,2393,335,179,35,41270,2903,1179,19.553072,39821,117,595,339,
36,16661,2130607,127,886,192,0,0,0,0,0.0,42941,117,500,367,193,0,0,0,0,0.0,65960,180,630,365,
37,16976,5834972,343,1654,120,97,642034,16229,6618,80.833336,265627,1185,5000,224,125,90,539483,14695,5994,72.0,10242,44,633,228,
38,16935,3759591,222,1207,151,132,589909,9286,4469,87.41722,203123,715,2725,284,155,115,493999,8623,4295,74.19355,10799,37,570,289,
39,16661,5758022,345,2066,118,117,561701,16300,4800,99.15254,256248,1159,7023,221,124,105,465200,15518,4430,84.67742,4554,19,388,229,
40,17183,2106673,122,552,192,0,0,0,0,0.0,42176,114,469,367,193,0,0,0,0,0.0,64671,176,717,366,
41,17004,4560483,268,1376,138,131,740482,11997,5652,94.927536,234931,903,3201,260,142,123,631967,11456,5137,86.61972,5668,21,305,262,
42,17014,2139956,125,763,192,0,0,0,0,0.0,39002,106,471,367,192,0,0,0,0,0.0,65338,179,638,364,
43,16809,3815408,226,1424,148,139,536214,9919,3857,93.91892,209387,747,4035,280,151,122,424573,9191,3480,80.7947,7721,27,552,282,
44,17078,4382720,256,2066,146,81,357628,10427,4415,55.479454,183753,668,4294,275,151,62,285881,9434,4610,41.0596,25195,89,571,280,
45,16907,3565950,210,1296,152,81,204593,8681,2525,53.289474,154347,537,4587,287,159,74,156120,7307,2109,46.54088,29277,98,624,298,
46,17139,2461141,143,1291,176,35,52042,3508,1486,19.886364,79204,236,2462,335,183,25,30338,2376,1213,13.661202,49817,145,615,343,
47,16939,2935791,173,953,164,107,332106,6291,3103,65.2439,148899,477,2279,312,167,87,259263,5507,2980,52.095806,25432,80,587,315,
48,16904,2094280,123,730,192,0,0,0,0,0.0,44743,121,526,367,193,0,0,0,0,0.0,67309,184,679,365,
49,17228,3730854,216,1013,148,141,682679,9826,4841,95.27027,197872,704,2983,281,153,134,593924,8911,4432,87.5817,9656,33,505,286,
50,16921,2398974,141,900,174,38,52719,3809,1387,21.83908,85318,257,3406,331,179,25,25526,2913,1021,13.96648,51912,153,627,339,
51,17050,4449156,260,2266,144,80,234888,10816,2936,55.555557,170681,629,6181,271,149,63,163663,8604,2597,42.28188,26498,95,647,277,
52,15935,14692029,921,7502,72,63,520930,26093,8268,87.5,318603,2489,10770,128,79,50,441479,23592,8829,63.291138,3570,25,427,138,
53,16934,2237355,132,787,181,41,42488,2510,1036,22.651934,73857,215,1539,343,187,30,20241,1407,674,16.042782,53798,151,656,354,
54,16958,3785527,223,1305,144,102,438507,10932,4299,70.83333,192654,716,4165,269,150,95,367027,9416,3863,63.333332,19061,68,623,280,
55,16959,3436139,202,1808,156,58,140995,6885,2430,37.17949,126060,427,4450,295,165,50,117030,6474,2340,30.303032,38766,125,673,308,
56,16743,3201755,191,926,151,97,357915,9259,3689,64.23841,164586,581,3324,283,156,91,286540,8075,3148,58.333332,23308,80,649,291,
57,16866,2396525,142,763,176,69,103988,3806,1507,39.204548,101581,305,2349,333,179,47,57331,2911,1219,26.256985,44428,131,656,337,
58,17112,3790798,221,1432,152,101,398025,9083,3940,66.44737,179306,622,2781,288,155,83,307919,7950,3709,53.54839,18387,63,639,290,
59,16861,4331909,256,1616,136,75,283721,11551,3782,55.147057,172192,675,5698,255,143,64,233717,10323,3651,44.755245,22740,85,521,267,
60,16825,2078873,123,611,192,0,0,0,0,0.0,42172,114,538,367,193,0,0,0,0,0.0,67459,184,698,365,
61,16921,2099379,124,684,192,5,665,189,133,2.6041665,42696,116,526,366,193,0,0,0,0,0.0,64812,177,647,365,
62,17123,5447033,318,1392,120,89,685122,15969,7698,74.166664,256982,1147,4189,224,127,86,616691,14637,7170,67.71653,12222,52,578,233,
63,17057,3230124,189,889,159,127,459482,7534,3617,79.874214,170913,567,2582,301,163,115,374814,6395,3259,70.55215,14033,45,552,306,
64,16896,5974802,353,1741,110,110,968005,18548,8800,100.0,297917,1460,4647,204,115,107,882263,17565,8245,93.04348,1411,6,159,213,
65,16959,2084744,122,622,192,0,0,0,0,0.0,44744,122,571,366,193,0,0,0,0,0.0,60933,166,720,366,
66,16984,3000317,176,1263,164,83,194287,5533,2340,50.609756,131227,421,3344,311,170,59,149627,5081,2536,34.705883,33757,105,608,320,
67,17116,4807228,280,1533,136,91,518321,12525,5695,66.911766,219683,861,4156,255,141,82,435366,11397,5309,58.156025,17663,67,563,260,
68,16917,2079553,122,917,192,0,0,0,0,0.0,42560,115,484,367,193,4,632,230,158,2.0725389,67997,186,606,365,
69,16874,2087799,123,653,192,4,390,150,97,2.0833335,40810,111,507,366,193,0,0,0,0,0.0,70813,194,643,365,
70,16791,4542977,270,1506,132,102,434169,12857,4256,77.27273,208619,844,5529,247,139,94,369609,12119,3932,67.6259,14376,55,548,257,
71,17079,3034501,177,1020,161,100,360649,7120,3606,62.1118,159630,525,2556,304,163,77,273709,6192,3554,47.239265,24651,80,631,306,
72,16771,4499741,268,1948,140,72,256274,11397,3559,51.428574,192110,730,6540,263,145,63,182189,9766,2891,43.448277,25014,92,627,270,
73,16827,3955487,235,1548,140,104,454746,11819,4372,74.28571,203404,773,4417,263,144,96,360090,10675,3750,66.66667,16403,61,568,268,
74,16960,2064208,121,811,192,6,762,220,127,3.125,43339,118,671,367,193,1,135,135,135,0.5181347,66733,182,714,365,
75,16701,3374844,202,1314,158,96,455436,7952,4744,60.75949,169107,569,2718,297,159,87,357953,6982,4114,54.71698,24776,83,563,298,
76,16766,2543985,151,940,172,65,147380,4504,2267,37.7907,108496,331,2174,327,176,55,105399,3736,1916,31.25,43681,131,668,333,
77,16827,12584848,747,7916,86,78,582639,23873,7469,90.69768,342480,2209,12593,155,91,73,456545,21580,6254,80.21978,4390,27,576,161,
78,17016,3003247,176,1449,170,105,225274,4780,2145,61.764706,133479,413,2285,323,174,83,163378,4330,1968,47.70115,28451,86,660,328,
79,16783,4440753,264,2361,148,50,144281,9883,2885,33.783783,138051,493,7725,280,155,45,103814,7647,2306,29.032257,36825,127,657,288,
80,17201,4483610,260,1675,133,116,609606,13296,5255,87.21805,239071,963,3736,248,137,102,495173,12379,4854,74.45255,8417,33,633,254,
81,16990,2739949,161,910,172,89,254940,4486,2864,51.744186,122006,371,2196,328,174,74,191254,3946,2584,42.528736,32412,98,595,330,
82,16928,3963044,234,952,143,141,846514,11086,6003,98.6014,223755,828,3036,270,149,131,754128,9930,5756,87.919464,4250,15,302,278,
83,16936,2801594,165,1016,166,81,200645,5756,2477,48.79518,131363,417,2253,315,170,72,145002,5163,2013,42.352943,35502,111,652,318,
84,16986,2054756,120,658,192,0,0,0,0,0.0,42872,116,547,367,193,0,0,0,0,0.0,62655,171,654,366,
85,17042,3431490,201,1461,162,84,300017,6905,3571,51.851852,144543,473,3505,305,164,61,227972,6428,3737,37.19512,33808,109,617,309,
86,17080,3451284,202,1303,152,118,394054,7983,3339,77.631584,172294,600,2654,287,159,103,338095,7744,3282,64.77987,17735,59,618,299,
87,16899,3889130,230,1335,142,142,861281,11129,6065,100.0,223886,832,2844,269,145,130,737910,10374,5676,89.655174,3652,13,463,273,
