run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,3326,392864,118,738,32,1,61,61,61,3.125,5452,87,419,62,33,0,0,0,0,0.0,11251,184,691,61,
2,3391,394496,116,613,32,0,0,0,0,0.0,6882,111,474,62,33,0,0,0,0,0.0,10899,178,545,61,
3,3303,380770,115,568,32,0,0,0,0,0.0,7668,121,491,63,33,0,0,0,0,0.0,10057,164,507,61,
4,3299,393207,119,731,32,0,0,0,0,0.0,6569,105,453,62,33,0,0,0,0,0.0,12230,197,717,62,
5,3310,375596,113,580,32,0,0,0,0,0.0,6901,109,478,63,33,0,0,0,0,0.0,11833,193,608,61,
6,3410,393909,115,491,32,0,0,0,0,0.0,6525,103,412,63,33,0,0,0,0,0.0,10677,177,540,60,
7,3231,370674,114,430,32,0,0,0,0,0.0,8625,139,502,62,33,0,0,0,0,0.0,10948,179,544,61,
8,3439,498110,144,629,28,7,4332,854,618,25.0,9744,177,1206,55,33,0,0,0,0,0.0,10138,168,643,60,
9,3351,401391,119,531,32,1,67,67,67,3.125,7432,119,622,62,33,0,0,0,0,0.0,11332,185,618,61,
10,3289,381393,115,557,32,0,0,0,0,0.0,7534,121,487,62,33,0,0,0,0,0.0,9457,150,585,63,
11,3396,396627,116,571,32,0,0,0,0,0.0,7230,114,460,63,33,0,0,0,0,0.0,10545,172,575,61,
12,3392,462849,136,587,30,9,3047,522,338,30.000002,9802,163,927,60,33,0,0,0,0,0.0,10760,173,518,62,
13,3481,456057,131,648,30,6,2443,477,407,20.0,8766,148,687,59,33,0,0,0,0,0.0,10428,170,537,61,
14,3382,394703,116,573,32,0,0,0,0,0.0,6653,107,463,62,33,0,0,0,0,0.0,10362,169,589,61,
15,3358,392340,116,565,32,0,0,0,0,0.0,5690,91,425,62,33,0,0,0,0,0.0,11496,188,527,61,
16,3380,393027,116,521,32,0,0,0,0,0.0,7784,123,478,63,33,0,0,0,0,0.0,10863,178,575,61,
17,3288,384389,116,527,32,0,0,0,0,0.0,8093,128,516,63,33,0,0,0,0,0.0,10234,170,556,60,
18,3394,390797,115,616,32,0,0,0,0,0.0,7485,118,466,63,33,0,0,0,0,0.0,10479,171,597,61,
19,3351,383757,114,393,32,0,0,0,0,0.0,8012,127,489,63,33,0,0,0,0,0.0,11326,185,527,61,
20,3400,400814,117,467,32,0,0,0,0,0.0,6700,106,421,63,33,0,0,0,0,0.0,10944,176,563,62,
21,3387,931230,274,1087,24,24,46634,2715,1943,100.0,35971,836,2480,43,25,24,27843,1974,1160,96.0,442,9,190,48,
22,3320,396577,119,534,32,1,146,146,146,3.125,6340,100,397,63,33,0,0,0,0,0.0,9961,163,716,61,
23,3297,859690,260,1257,24,24,34904,2453,1454,100.0,25429,591,2250,43,25,25,19595,1455,783,100.0,886,17,317,50,
24,3318,385127,116,613,32,1,73,73,73,3.125,7848,126,459,62,33,1,70,70,70,3.030303,8693,142,538,61,
25,3446,453065,131,621,30,3,1180,577,393,10.0,7453,130,683,57,33,0,0,0,0,0.0,11563,189,587,61,
26,3190,357864,112,480,32,0,0,0,0,0.0,7623,121,486,63,33,0,0,0,0,0.0,11017,180,587,61,
27,3331,591640,177,638,26,20,13712,1324,685,76.92308,18901,370,1647,51,30,5,1695,532,339,16.666668,5277,95,509,55,
28,3419,554561,162,593,28,12,8508,985,709,42.857143,15091,274,1362,55,31,4,775,256,193,12.903225,8176,138,604,59,
29,3339,384404,115,574,32,0,0,0,0,0.0,6567,105,519,62,33,0,0,0,0,0.0,11701,191,570,61,
30,3305,534889,161,639,28,28,20258,1088,723,100.0,23191,429,1393,54,30,18,5263,773,292,60.000004,1371,24,296,57,
31,3333,376156,112,604,32,0,0,0,0,0.0,7642,123,509,62,33,0,0,0,0,0.0,11237,184,613,61,
32,3242,384503,118,545,32,0,0,0,0,0.0,7154,117,512,61,33,0,0,0,0,0.0,11677,191,562,61,
33,3502,821988,234,1226,25,25,27910,2240,1116,100.0,23235,505,1830,46,28,24,17695,1434,737,85.71429,2924,54,451,54,
34,3364,383375,113,528,32,0,0,0,0,0.0,7577,122,460,62,33,0,0,0,0,0.0,11729,192,653,61,
35,3326,389930,117,612,32,0,0,0,0,0.0,6641,105,391,63,33,0,0,0,0,0.0,10392,170,540,61,
36,3261,391928,120,638,32,0,0,0,0,0.0,8494,134,471,63,33,0,0,0,0,0.0,10501,172,587,61,
37,3317,547532,165,754,28,13,7904,972,608,46.42857,13414,243,1262,55,32,5,844,230,168,15.625,7165,121,633,59,
38,3275,563236,171,891,26,15,5629,959,375,57.692307,11506,225,1392,51,33,1,81,81,81,3.030303,7741,129,570,60,
39,3167,496748,156,623,29,29,18593,1161,641,100.0,19416,366,1238,53,31,20,4644,487,232,64.51613,2459,41,388,59,
40,3381,386790,114,471,32,0,0,0,0,0.0,6540,103,391,63,33,0,0,0,0,0.0,10038,161,542,62,
41,3324,667631,200,831,25,25,20565,1324,822,100.0,23734,494,1574,48,30,19,9430,890,496,63.333332,2174,40,305,54,
42,3424,397632,116,609,32,0,0,0,0,0.0,6409,101,471,63,33,0,0,0,0,0.0,9744,162,611,60,
43,3307,497123,150,625,30,29,15267,720,526,96.666664,19900,337,1079,59,31,11,2590,387,235,35.48387,3284,57,552,57,
44,3378,388781,115,534,32,0,0,0,0,0.0,7661,121,474,63,33,0,0,0,0,0.0,11669,194,571,60,
45,3340,389400,116,521,32,0,0,0,0,0.0,6838,110,459,62,33,0,0,0,0,0.0,12413,200,624,62,
46,3343,387696,115,614,32,0,0,0,0,0.0,7353,118,510,62,33,0,0,0,0,0.0,9524,158,615,60,
47,3350,380775,113,502,32,0,0,0,0,0.0,9139,145,584,63,33,0,0,0,0,0.0,10262,165,586,62,
