run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,16996,2124714,125,760,192,0,0,0,0,0.0,78408,214,716,366,193,14,1636,217,116,7.253886,28842,78,413,366,
2,17188,2143593,124,781,192,0,0,0,0,0.0,80927,221,742,365,193,12,1346,218,112,6.2176166,27370,74,406,366,
3,16906,3899106,230,1151,139,123,679487,11884,5524,88.48921,225530,867,3007,260,145,119,632496,10784,5315,82.06897,4311,15,340,271,
4,16954,2813965,165,933,168,94,257849,5426,2743,55.95238,154585,484,2163,319,171,88,211626,4908,2404,51.46199,13152,40,390,322,
5,17063,2117972,124,746,192,0,0,0,0,0.0,75400,206,716,365,193,9,1214,208,134,4.663213,29789,81,422,367,
6,17130,2123536,123,689,192,0,0,0,0,0.0,79829,218,710,366,193,4,420,148,105,2.0725389,29532,80,448,367,
7,16914,4077342,241,1338,139,113,650300,12025,5754,81.29497,225962,872,3811,259,143,116,584407,11288,5037,81.11888,6933,25,510,267,
8,16890,2099138,124,715,192,0,0,0,0,0.0,77515,212,755,365,193,4,586,229,146,2.0725389,28246,77,417,366,
9,17054,2092487,122,542,192,0,0,0,0,0.0,80331,219,713,366,193,7,904,268,129,3.626943,29558,80,432,366,
10,17144,2082320,121,572,192,0,0,0,0,0.0,81614,223,729,365,193,5,605,143,121,2.5906737,26538,72,428,366,
11,17113,2125809,124,624,192,0,0,0,0,0.0,80961,221,700,365,193,7,848,185,121,3.626943,30564,83,473,368,
12,16933,2763023,163,1078,172,53,126108,4355,2379,30.813953,131602,403,2393,326,176,52,101675,3910,1955,29.545454,18413,55,431,331,
13,16925,2125753,125,695,192,0,0,0,0,0.0,75467,206,690,366,193,22,3646,315,165,11.398964,29134,79,496,366,
14,16892,2135986,126,795,187,28,20109,1169,718,14.973262,90910,256,1662,354,190,24,8483,827,353,12.631578,22541,62,419,360,
15,16934,2084199,123,616,192,0,0,0,0,0.0,80112,219,718,365,193,1,98,98,98,0.5181347,28619,78,417,366,
16,16989,5012499,295,1549,127,124,688621,14672,5553,97.637794,245341,1035,3903,237,132,120,624675,13541,5205,90.909096,5054,20,412,245,
17,17089,2111681,123,656,192,0,0,0,0,0.0,79449,217,750,366,193,8,1368,318,171,4.1450777,30330,82,412,367,
18,16781,2080716,123,718,192,0,0,0,0,0.0,78204,213,777,366,193,7,952,208,136,3.626943,27020,73,411,367,
19,16724,4222547,252,1156,136,124,803178,12427,6477,91.17647,233845,920,3616,254,140,119,732480,11770,6155,85.0,5118,19,376,260,
20,17121,2115252,123,702,192,0,0,0,0,0.0,82982,227,693,365,193,3,378,135,126,1.5544041,27046,73,434,367,
21,16929,2112973,124,642,192,0,0,0,0,0.0,78258,214,712,365,193,14,2085,317,148,7.253886,30506,83,562,366,
22,16825,2093283,124,671,192,0,0,0,0,0.0,80203,219,759,366,193,4,448,135,112,2.0725389,29732,81,412,366,
23,16821,2067575,122,714,192,0,0,0,0,0.0,79729,218,765,365,193,8,977,175,122,4.1450777,27389,74,398,366,
24,16805,2085725,124,791,192,0,0,0,0,0.0,77610,212,747,365,193,4,462,174,115,2.0725389,28489,78,414,365,
25,16881,2113068,125,769,192,0,0,0,0,0.0,77415,212,741,365,193,23,3240,342,140,11.917099,28280,77,466,366,
26,16879,2413879,143,882,180,72,91364,2802,1268,40.0,116471,341,1755,341,183,78,66572,2179,853,42.62295,15772,45,452,348,
27,17292,2119829,122,794,192,0,0,0,0,0.0,77001,210,715,365,193,15,2006,267,133,7.772021,24851,67,401,366,
28,17168,2423087,141,957,176,33,44201,3119,1339,18.75,103859,310,2587,334,180,40,29272,2077,731,22.222223,22549,65,595,342,
29,16849,2089253,123,680,192,0,0,0,0,0.0,77202,210,739,367,193,4,503,159,125,2.0725389,29270,79,421,366,
30,17011,4463974,262,1773,144,110,324790,9992,2952,76.38889,194055,718,3997,270,150,95,288511,9441,3036,63.333332,10296,36,632,280,
31,16843,2270692,134,835,182,37,38703,2246,1046,20.32967,102392,295,1945,346,184,35,20885,1619,596,19.02174,25613,73,436,349,
32,17052,2076875,121,742,192,0,0,0,0,0.0,81274,222,691,365,193,0,0,0,0,0.0,29793,81,374,365,
33,16999,2103640,123,775,192,0,0,0,0,0.0,77086,211,783,365,193,10,1454,312,145,5.1813474,24368,66,414,366,
34,16993,2102942,123,762,192,0,0,0,0,0.0,77744,211,695,367,193,9,924,179,102,4.663213,28079,76,434,365,
