run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,3422,401116,117,699,32,0,0,0,0,0.0,12864,207,658,62,33,4,441,182,110,12.121212,3419,55,310,62,
2,3344,377455,112,558,32,0,0,0,0,0.0,14139,231,668,61,33,0,0,0,0,0.0,5302,85,346,62,
3,3437,662003,192,669,26,18,14093,1282,782,69.230774,22987,450,1597,51,29,10,5535,816,553,34.482758,2353,42,340,55,
4,3327,388036,116,738,32,0,0,0,0,0.0,13380,215,700,62,32,4,534,198,133,12.5,4383,70,386,62,
5,3417,398022,116,644,32,0,0,0,0,0.0,12660,207,716,61,33,0,0,0,0,0.0,4672,74,355,63,
6,3352,383015,114,525,32,0,0,0,0,0.0,13203,212,644,62,33,0,0,0,0,0.0,6056,96,446,63,
7,3303,529739,160,959,28,10,4803,850,480,35.714287,15188,276,1209,55,31,12,2424,378,202,38.709675,4653,78,510,59,
8,3295,381352,115,715,32,0,0,0,0,0.0,12881,211,735,61,33,1,94,94,94,3.030303,3387,54,274,62,
9,3338,377845,113,500,32,0,0,0,0,0.0,13831,223,712,62,33,0,0,0,0,0.0,5126,82,432,62,
10,3413,405879,118,572,32,0,0,0,0,0.0,13957,228,729,61,33,1,119,119,119,3.030303,3170,51,342,62,
11,3362,383870,114,516,32,0,0,0,0,0.0,12649,207,700,61,33,1,122,122,122,3.030303,6111,95,395,64,
12,3321,390883,117,566,32,0,0,0,0,0.0,12696,208,663,61,33,1,135,135,135,3.030303,4783,77,410,62,
13,3428,388177,113,695,32,0,0,0,0,0.0,11314,182,634,62,32,8,1374,315,171,25.0,5239,84,451,62,
14,3387,389062,114,795,32,0,0,0,0,0.0,14071,230,720,61,33,1,114,114,114,3.030303,4909,79,391,62,
15,3326,381716,114,468,32,0,0,0,0,0.0,13660,223,664,61,33,0,0,0,0,0.0,4134,66,411,62,
16,3455,988114,285,1221,24,24,36878,2396,1536,100.0,35281,820,2489,43,24,19,20802,1823,1094,79.16667,993,22,269,45,
