run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,37420,5773739,154,1203,168,1,149,149,149,0.5952381,35085,109,445,320,168,1,70,70,70,0.5952381,37866,118,573,319,
2,37689,6046369,160,1622,168,2,173,103,86,1.1904762,36341,113,505,320,168,1,103,103,103,0.5952381,38762,121,609,320,
3,37846,6468900,170,1777,168,3,331,148,110,1.7857144,32645,102,477,320,168,6,1117,300,186,3.5714288,36868,115,531,319,
4,38027,6351854,167,1566,168,4,467,199,116,2.3809524,36671,114,537,320,168,1,117,117,117,0.5952381,36652,114,511,320,
5,38208,6389678,167,1202,168,0,0,0,0,0.0,33373,104,539,320,168,1,116,116,116,0.5952381,36791,114,558,320,
6,37720,5909359,156,1218,168,0,0,0,0,0.0,33583,104,429,320,168,0,0,0,0,0.0,37468,117,515,319,
7,38072,6070206,159,983,168,1,60,60,60,0.5952381,35065,109,496,320,168,0,0,0,0,0.0,38542,120,596,320,
8,37797,5983357,158,2021,168,0,0,0,0,0.0,37209,116,475,319,168,0,0,0,0,0.0,36823,115,545,320,
9,38127,6030602,158,1134,169,0,0,0,0,0.0,35383,110,498,319,168,1,103,103,103,0.5952381,37799,118,557,320,
10,37929,6389289,168,1213,168,0,0,0,0,0.0,35611,110,502,321,168,3,678,323,226,1.7857144,37936,118,498,320,
11,37868,5987917,158,1353,168,0,0,0,0,0.0,31105,97,490,320,168,0,0,0,0,0.0,34610,107,537,321,
12,37653,6074589,161,1137,168,1,61,61,61,0.5952381,33096,103,482,320,168,1,143,143,143,0.5952381,36392,114,492,319,
13,37877,6064929,160,1290,168,0,0,0,0,0.0,34183,106,436,320,168,4,552,249,138,2.3809524,30419,95,559,320,
14,38076,6697403,175,1788,168,2,149,81,74,1.1904762,31870,99,497,320,168,2,311,176,155,1.1904762,39385,123,522,320,
15,37997,5930729,156,921,168,0,0,0,0,0.0,32784,102,489,319,168,0,0,0,0,0.0,38544,120,526,320,
16,37917,5949826,156,1351,168,0,0,0,0,0.0,37073,115,537,320,168,4,376,134,94,2.3809524,34340,107,544,320,
17,37941,6536619,172,2031,168,0,0,0,0,0.0,36109,113,500,319,168,0,0,0,0,0.0,35783,111,527,320,
18,38047,6265447,164,1269,168,0,0,0,0,0.0,35827,111,490,321,168,0,0,0,0,0.0,39582,124,528,319,
19,37715,6620907,175,2124,168,3,494,238,164,1.7857144,34434,107,542,319,168,4,455,166,113,2.3809524,33778,105,497,319,
20,37874,6097658,160,1544,168,0,0,0,0,0.0,34410,107,466,319,168,0,0,0,0,0.0,35095,110,457,319,
21,37450,5856204,156,1123,168,0,0,0,0,0.0,36190,113,532,320,168,0,0,0,0,0.0,38707,121,531,319,
22,37591,5879813,156,1321,168,1,120,120,120,0.5952381,36120,112,501,320,168,0,0,0,0,0.0,38363,119,600,320,
23,37988,6076170,159,1734,168,1,103,103,103,0.5952381,35795,111,528,321,168,0,0,0,0,0.0,35893,112,529,320,
24,37942,6420429,169,1506,168,0,0,0,0,0.0,30101,93,462,321,168,2,139,76,69,1.1904762,35805,111,532,320,
25,37717,6128507,162,1031,168,3,633,308,211,1.7857144,34363,107,499,320,168,2,186,103,93,1.1904762,35533,111,592,320,
26,38090,6222757,163,1316,168,0,0,0,0,0.0,34171,107,477,319,168,1,103,103,103,0.5952381,40414,126,483,320,
27,38011,5799889,152,966,168,0,0,0,0,0.0,34287,107,460,319,168,0,0,0,0,0.0,38866,121,533,320,
28,37708,5953972,157,1606,168,0,0,0,0,0.0,33563,105,478,319,168,0,0,0,0,0.0,37814,118,504,320,
29,38128,6072552,159,939,168,2,253,150,126,1.1904762,32677,102,456,320,168,0,0,0,0,0.0,36462,114,549,319,
30,37702,5942092,157,885,168,0,0,0,0,0.0,37137,116,471,320,168,0,0,0,0,0.0,37412,116,522,320,
31,38117,6165578,161,1031,168,7,2242,577,320,4.166667,35377,110,500,320,168,8,1308,377,163,4.7619047,34611,108,555,319,
32,38196,5925627,155,843,168,1,103,103,103,0.5952381,35996,112,485,320,168,0,0,0,0,0.0,39103,122,533,320,
33,38385,6185667,161,922,168,3,519,270,173,1.7857144,32155,100,545,320,168,0,0,0,0,0.0,35090,109,540,320,
34,37828,6094952,161,1038,168,1,142,142,142,0.5952381,33651,105,474,320,168,2,233,130,116,1.1904762,38119,119,540,320,
35,37852,6012785,158,1096,168,2,242,132,121,1.1904762,32349,101,497,320,168,0,0,0,0,0.0,38631,121,451,319,
36,38023,6126919,161,1590,168,1,112,112,112,0.5952381,35371,110,508,320,168,5,929,352,185,2.9761906,34513,107,530,320,
37,38312,6452060,168,1323,168,2,275,206,137,1.1904762,34759,108,479,320,168,3,427,186,142,1.7857144,35829,112,550,319,
38,38062,6532970,171,1849,168,3,351,214,117,1.7857144,35902,112,536,320,168,0,0,0,0,0.0,35007,109,563,320,
39,37786,6131297,162,1922,168,0,0,0,0,0.0,35401,110,526,319,168,1,127,127,127,0.5952381,35894,112,514,320,
