run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,8748,1214133,138,722,28,0,0,0,0,0.0,6021,111,436,54,28,0,0,0,0,0.0,6868,129,476,53,
2,8877,1391443,156,912,28,1,70,70,70,3.5714288,6042,111,502,54,28,0,0,0,0,0.0,7344,136,609,54,
3,8674,1336800,154,777,28,2,183,103,91,7.1428576,4717,87,381,54,28,0,0,0,0,0.0,6647,125,448,53,
4,8893,1247642,140,660,28,0,0,0,0,0.0,5516,102,415,54,28,0,0,0,0,0.0,7723,143,511,54,
5,8852,1225912,138,694,28,0,0,0,0,0.0,5782,107,409,54,28,0,0,0,0,0.0,7651,141,558,54,
6,8795,1221395,138,567,28,0,0,0,0,0.0,5669,104,409,54,28,0,0,0,0,0.0,6239,117,460,53,
7,8938,1269146,141,911,28,0,0,0,0,0.0,6125,113,393,54,28,0,0,0,0,0.0,6544,121,476,54,
8,9012,1238368,137,676,28,0,0,0,0,0.0,6331,119,475,53,28,0,0,0,0,0.0,7664,141,545,54,
9,8688,1232072,141,843,28,0,0,0,0,0.0,5063,95,374,53,28,0,0,0,0,0.0,7094,131,475,54,
10,9051,1446319,159,945,28,0,0,0,0,0.0,4467,81,411,55,28,3,678,323,226,10.714286,6216,115,464,54,
11,8984,1266968,141,1163,28,0,0,0,0,0.0,4271,79,353,54,28,0,0,0,0,0.0,7501,136,537,55,
12,8782,1211666,137,586,28,0,0,0,0,0.0,5769,106,400,54,28,0,0,0,0,0.0,6998,132,449,53,
13,8782,1219936,138,702,28,0,0,0,0,0.0,6266,116,420,54,28,0,0,0,0,0.0,6228,115,559,54,
14,8956,1786382,199,1788,28,0,0,0,0,0.0,4629,85,497,54,28,0,0,0,0,0.0,6471,119,492,54,
15,8931,1298254,145,690,28,0,0,0,0,0.0,5378,101,489,53,28,0,0,0,0,0.0,5722,105,388,54,
16,9146,1253408,137,627,28,0,0,0,0,0.0,6302,116,401,54,28,1,111,111,111,3.5714288,6375,118,544,54,
17,8772,1275005,145,1023,28,0,0,0,0,0.0,5608,105,358,53,28,0,0,0,0,0.0,6609,122,471,54,
18,8769,1390461,158,627,28,0,0,0,0,0.0,5249,95,398,55,28,0,0,0,0,0.0,6412,120,423,53,
19,8996,1339715,148,811,28,0,0,0,0,0.0,5288,99,434,53,28,0,0,0,0,0.0,6031,113,446,53,
20,8907,1270596,142,704,28,0,0,0,0,0.0,5678,107,466,53,28,0,0,0,0,0.0,6681,126,409,53,
21,8718,1260305,144,762,28,0,0,0,0,0.0,5997,111,415,54,28,0,0,0,0,0.0,5981,112,531,53,
22,8675,1302345,150,1264,28,0,0,0,0,0.0,6994,129,435,54,28,0,0,0,0,0.0,6526,120,600,54,
23,8844,1261862,142,932,28,0,0,0,0,0.0,5125,93,375,55,28,0,0,0,0,0.0,6087,112,496,54,
24,8848,1285206,145,704,28,0,0,0,0,0.0,5164,93,462,55,28,0,0,0,0,0.0,5108,94,532,54,
25,8872,1273731,143,745,28,0,0,0,0,0.0,5828,107,451,54,28,0,0,0,0,0.0,7328,135,592,54,
26,9191,1353684,147,815,28,0,0,0,0,0.0,5861,108,412,54,28,0,0,0,0,0.0,7507,139,471,54,
27,8930,1219533,136,616,28,0,0,0,0,0.0,6005,113,460,53,28,0,0,0,0,0.0,6797,125,438,54,
28,8862,1253276,141,631,28,0,0,0,0,0.0,6424,121,478,53,29,0,0,0,0,0.0,6490,120,472,54,
29,8976,1311714,146,636,28,0,0,0,0,0.0,4509,83,408,54,28,0,0,0,0,0.0,6706,126,406,53,
30,8898,1245777,140,745,28,0,0,0,0,0.0,5860,108,385,54,28,0,0,0,0,0.0,6338,117,521,54,
31,8943,1244870,139,613,28,0,0,0,0,0.0,5876,108,380,54,28,0,0,0,0,0.0,5818,109,555,53,
32,8819,1204383,136,618,28,0,0,0,0,0.0,5963,110,425,54,28,0,0,0,0,0.0,7375,136,479,54,
33,8906,1272314,142,608,28,0,0,0,0,0.0,4735,87,373,54,28,0,0,0,0,0.0,7581,140,540,54,
34,8843,1212227,137,701,28,0,0,0,0,0.0,5885,108,443,54,28,0,0,0,0,0.0,7200,133,540,54,
35,8889,1439894,161,1096,28,1,132,132,132,3.5714288,4459,82,497,54,28,0,0,0,0,0.0,5618,106,434,53,
36,8836,1429907,161,1292,28,0,0,0,0,0.0,4976,92,386,54,28,0,0,0,0,0.0,5784,107,498,54,
37,9041,1469394,162,951,28,2,275,206,137,7.1428576,5974,110,401,54,28,0,0,0,0,0.0,8267,153,479,54,
38,8940,1522492,170,1437,28,0,0,0,0,0.0,5273,97,484,54,28,0,0,0,0,0.0,4487,83,455,54,
39,8945,1255235,140,786,28,0,0,0,0,0.0,4845,91,435,53,28,0,0,0,0,0.0,5906,109,449,54,
40,9191,1562451,169,997,28,2,192,118,96,7.1428576,5900,105,554,56,28,1,138,138,138,3.5714288,5935,109,431,54,
41,8837,1271899,143,1002,28,0,0,0,0,0.0,4843,91,389,53,28,0,0,0,0,0.0,6352,122,518,52,
42,8783,1268830,144,616,28,0,0,0,0,0.0,6201,114,476,54,28,0,0,0,0,0.0,6596,122,457,54,
