run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,38081,4866510,127,1219,216,12,1174,159,97,5.555556,40398,97,488,413,217,0,0,0,0,0.0,87599,213,748,410,
2,37967,5094989,134,1026,216,22,3036,282,138,10.185185,43648,105,547,414,217,0,0,0,0,0.0,87596,213,753,411,
3,37763,5034515,133,1252,216,46,6824,350,148,21.296297,48566,117,613,415,217,0,0,0,0,0.0,79823,194,732,410,
4,37847,4611757,121,598,216,12,1252,160,104,5.555556,40754,98,476,413,217,0,0,0,0,0.0,87279,212,742,411,
5,37926,5039341,132,888,216,29,3483,220,120,13.425925,44007,106,493,413,217,0,0,0,0,0.0,90835,220,722,412,
6,38025,4732239,124,853,216,2,167,89,83,0.9259259,41805,101,433,413,217,0,0,0,0,0.0,92308,224,724,411,
7,37791,4680563,123,808,216,16,1919,214,119,7.4074073,44478,107,480,413,217,0,0,0,0,0.0,87793,214,753,410,
8,37907,4863208,128,769,215,38,7535,421,198,17.67442,46138,112,592,411,217,0,0,0,0,0.0,86274,209,786,412,
9,37932,4694033,123,719,216,5,501,160,100,2.3148148,42838,103,516,412,217,0,0,0,0,0.0,93508,227,712,411,
10,38042,4743816,124,816,216,10,1138,176,113,4.6296296,46655,113,438,412,217,0,0,0,0,0.0,88227,215,799,410,
11,37936,4586505,120,672,216,5,470,128,94,2.3148148,45579,110,493,413,217,0,0,0,0,0.0,89236,217,723,410,
12,37808,4749663,125,884,216,6,609,160,101,2.777778,42721,103,482,413,217,0,0,0,0,0.0,92867,225,734,411,
13,38047,4855628,127,995,216,4,459,160,114,1.8518518,42753,103,495,414,217,0,0,0,0,0.0,85074,206,767,411,
14,37713,4916677,130,1233,216,18,2742,313,152,8.333334,43085,104,636,413,217,8,1152,239,144,3.686636,90617,220,749,411,
15,38108,5312249,139,1202,216,60,14549,627,242,27.777779,48492,117,697,411,217,27,4328,272,160,12.442396,81793,199,764,410,
16,37773,4981462,131,1020,216,11,1327,209,120,5.0925927,43844,105,504,414,217,1,70,70,70,0.4608295,82117,200,772,410,
17,37833,5110284,135,958,216,22,2339,187,106,10.185185,40934,99,506,413,217,1,91,91,91,0.4608295,84513,205,718,411,
18,38147,4862730,127,664,216,20,2634,248,131,9.259259,44415,107,560,413,217,0,0,0,0,0.0,83070,202,734,411,
19,37686,5105609,135,890,216,32,4164,273,130,14.814815,42532,102,518,413,217,5,501,160,100,2.3041475,86447,210,759,411,
20,38403,4820135,125,747,216,14,1539,199,109,6.4814816,45576,110,515,411,217,0,0,0,0,0.0,85018,206,806,411,
21,38281,4696889,122,831,216,10,1170,210,117,4.6296296,43580,105,545,413,217,0,0,0,0,0.0,85483,208,802,410,
22,37891,5096550,134,936,215,22,4870,452,221,10.232558,50264,122,671,412,216,6,753,193,125,2.777778,81551,199,695,408,
23,38179,5259377,137,1844,216,19,2119,207,111,8.796296,40492,98,602,412,217,10,1248,192,124,4.608295,85206,208,701,409,
24,38211,4902151,128,1070,216,11,1065,166,96,5.0925927,40372,97,508,414,217,0,0,0,0,0.0,89562,218,780,410,
25,38023,4857886,127,920,215,15,3182,398,212,6.9767447,42599,103,624,410,217,0,0,0,0,0.0,87654,213,724,411,
26,38128,4857021,127,846,216,18,1846,161,102,8.333334,41131,99,544,413,217,0,0,0,0,0.0,89149,216,709,411,
27,37784,4833544,127,992,216,9,909,165,101,4.166667,40734,98,443,413,217,0,0,0,0,0.0,89140,216,746,412,
28,37799,4764774,126,817,216,8,930,201,116,3.7037036,42478,103,506,411,217,0,0,0,0,0.0,87491,213,739,410,
29,38150,4988167,130,1215,216,26,4972,331,191,12.037037,40811,98,498,413,217,16,3556,391,222,7.373272,82166,199,827,411,
30,38129,4680309,122,803,216,13,1227,160,94,6.0185184,42807,103,478,415,217,0,0,0,0,0.0,90530,220,744,411,
31,38047,5047191,132,1088,216,36,5909,357,164,16.666668,44505,107,659,415,217,6,618,160,103,2.764977,78237,190,757,411,
32,37825,5167332,136,1506,216,40,5741,310,143,18.518518,44815,108,490,414,217,4,440,160,110,1.843318,80537,195,696,411,
33,38015,4765349,125,752,216,8,982,210,122,3.7037036,49797,120,497,412,217,0,0,0,0,0.0,92396,225,737,410,
