run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,8749,963318,110,503,36,1,65,65,65,2.777778,6037,85,354,71,37,0,0,0,0,0.0,14636,215,720,68,
2,8712,1058797,121,844,37,8,888,162,111,21.621622,7445,103,515,72,37,0,0,0,0,0.0,13356,193,676,69,
3,8935,1095138,122,663,36,9,896,153,99,25.0,8254,113,502,73,37,0,0,0,0,0.0,13091,192,615,68,
4,8821,956137,108,531,36,0,0,0,0,0.0,7576,106,437,71,37,0,0,0,0,0.0,17266,250,742,69,
5,8825,1095769,124,637,36,10,1224,220,122,27.777779,6536,92,474,71,37,0,0,0,0,0.0,14190,202,660,70,
6,8849,1004179,113,627,36,1,89,89,89,2.777778,6232,87,384,71,37,0,0,0,0,0.0,14793,214,724,69,
7,8918,1013163,113,639,36,4,440,160,110,11.111112,7177,102,436,70,37,0,0,0,0,0.0,15710,231,719,68,
8,8799,1005976,114,545,37,19,2765,261,145,51.35135,8839,124,553,71,37,0,0,0,0,0.0,14049,200,692,70,
9,8613,941243,109,536,36,0,0,0,0,0.0,7905,112,516,70,37,0,0,0,0,0.0,16416,237,642,69,
10,8714,947699,108,690,36,0,0,0,0,0.0,7074,101,353,70,37,0,0,0,0,0.0,16829,247,799,68,
11,8861,947928,106,663,36,1,112,112,112,2.777778,7381,103,493,71,37,0,0,0,0,0.0,16001,235,667,68,
12,8657,979915,113,663,36,0,0,0,0,0.0,7117,100,450,71,37,0,0,0,0,0.0,16362,237,734,69,
13,8710,994571,114,519,36,4,459,160,114,11.111112,7177,99,389,72,37,0,0,0,0,0.0,12963,187,666,69,
14,8677,955915,110,515,36,0,0,0,0,0.0,6435,90,409,71,37,0,0,0,0,0.0,15654,226,649,69,
15,8668,1191977,137,804,36,14,2518,333,179,38.88889,7418,107,558,69,37,0,0,0,0,0.0,14158,208,753,68,
