run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,67870,26301666,387,11412,192,12,1626,279,135,6.25,31856,86,504,367,193,0,0,0,0,0.0,65474,178,681,366,
2,68223,21491264,315,6375,192,31,6145,474,198,16.145832,32831,89,777,366,193,8,1234,279,154,4.1450777,61971,169,672,365,
3,68112,24941660,366,9942,192,5,586,157,117,2.6041665,31796,87,482,365,193,0,0,0,0,0.0,69184,189,663,366,
4,67866,20807153,306,9537,192,4,651,237,162,2.0833335,31835,87,525,365,193,0,0,0,0,0.0,65431,179,655,364,
5,67825,19233908,283,7079,192,1,64,64,64,0.5208334,32962,90,467,366,193,0,0,0,0,0.0,69103,188,600,367,
6,68177,26869288,394,11238,192,17,2931,336,172,8.854166,35256,96,474,367,193,0,0,0,0,0.0,66092,181,663,365,
7,68294,37765546,552,14026,192,13,2409,410,185,6.7708335,30442,83,494,366,193,3,330,175,110,1.5544041,62688,172,628,364,
8,67821,24502351,361,11508,192,14,2624,351,187,7.2916665,37490,102,533,366,193,0,0,0,0,0.0,64908,178,670,364,
9,67939,31751427,467,11029,192,14,2417,360,172,7.2916665,31719,86,602,365,193,0,0,0,0,0.0,66491,182,637,365,
10,67620,42356008,626,14552,192,11,1660,296,150,5.729167,31311,85,478,366,193,0,0,0,0,0.0,66329,181,641,365,
11,67667,19375611,286,8824,192,4,469,154,117,2.0833335,34848,94,447,367,193,0,0,0,0,0.0,67320,184,678,365,
12,68077,28972742,425,11355,192,25,3935,375,157,13.020833,35908,98,623,366,193,1,74,74,74,0.5181347,60110,165,622,364,
13,67724,19409537,286,6178,192,11,1836,323,166,5.729167,30723,83,489,368,193,0,0,0,0,0.0,67598,185,596,365,
14,68586,25802280,376,10579,192,13,1611,258,123,6.7708335,32578,89,431,366,193,0,0,0,0,0.0,74239,202,706,366,
15,68116,25622907,376,10293,192,8,839,173,104,4.166667,31386,85,520,367,193,0,0,0,0,0.0,70005,191,632,366,
16,67810,18011396,265,6284,192,0,0,0,0,0.0,33519,91,429,366,193,1,78,78,78,0.5181347,66456,182,687,365,
17,67295,21914597,325,4966,192,5,583,216,116,2.6041665,32911,89,469,366,193,0,0,0,0,0.0,67132,183,618,365,
18,67947,21939836,322,9008,192,7,907,208,129,3.6458333,35217,96,509,366,193,0,0,0,0,0.0,67364,184,736,365,
19,67650,17977109,265,6896,192,6,869,240,144,3.125,32071,87,473,366,193,0,0,0,0,0.0,65888,181,599,364,
20,67806,24089683,355,7949,192,5,512,167,102,2.6041665,34310,94,455,365,193,0,0,0,0,0.0,65922,180,644,366,
21,68005,21936619,322,10072,192,0,0,0,0,0.0,32619,89,459,366,193,0,0,0,0,0.0,67557,185,650,365,
22,67385,17896224,265,6900,192,2,234,162,117,1.0416667,36092,98,493,367,193,0,0,0,0,0.0,67857,185,630,366,
23,67404,19960671,296,8397,192,9,929,195,103,4.6875,32684,89,450,367,193,0,0,0,0,0.0,66488,181,609,367,
24,68119,20814722,305,7885,192,9,1429,330,158,4.6875,33675,91,531,367,193,0,0,0,0,0.0,65096,177,665,366,
25,68125,22036731,323,9935,192,2,215,123,107,1.0416667,33169,90,464,367,193,0,0,0,0,0.0,64586,176,643,366,
26,67601,23441295,346,11088,192,2,199,135,99,1.0416667,33647,91,552,367,193,0,0,0,0,0.0,67987,186,656,364,
27,68148,26973205,395,11241,192,4,485,197,121,2.0833335,31463,85,433,366,193,0,0,0,0,0.0,66836,183,621,364,
28,67690,38668890,571,11517,192,6,544,149,90,3.125,32009,87,476,366,193,0,0,0,0,0.0,67677,185,617,364,
29,67757,20517221,302,6269,192,6,703,185,117,3.125,30332,82,492,366,193,1,135,135,135,0.5181347,66076,181,588,364,
30,68072,24296037,356,7951,192,8,963,222,120,4.166667,31507,86,484,366,193,3,341,138,113,1.5544041,66723,182,673,365,
31,67576,17129498,253,4200,191,6,669,178,111,3.141361,32310,88,488,366,193,0,0,0,0,0.0,64616,176,663,366,
32,67991,32955028,484,10525,192,14,2028,270,144,7.2916665,29917,81,442,366,193,0,0,0,0,0.0,65388,179,723,365,
33,67510,20800846,308,10182,191,3,405,135,135,1.5706805,34215,93,526,365,193,0,0,0,0,0.0,67430,184,650,365,
34,68006,27487450,404,12024,192,12,1538,223,128,6.25,32514,88,471,366,193,1,105,105,105,0.5181347,64064,175,642,365,
35,67955,23965186,352,11567,191,5,657,148,131,2.617801,33574,91,473,366,193,0,0,0,0,0.0,69022,189,673,365,
36,67705,25564822,377,11650,192,7,871,207,124,3.6458333,33819,92,460,367,193,0,0,0,0,0.0,69348,189,630,365,
37,67929,22830215,336,10498,192,12,1778,281,148,6.25,33103,90,514,366,193,0,0,0,0,0.0,64852,177,659,365,
38,67608,18747118,277,7247,192,11,1792,343,162,5.729167,35102,95,564,368,193,0,0,0,0,0.0,69822,191,658,365,
39,68006,21176293,311,5252,192,15,2296,360,153,7.8125,34197,93,530,367,193,0,0,0,0,0.0,65580,179,655,365,
40,68323,28745789,420,11011,192,34,8202,549,241,17.708332,37525,102,498,366,193,7,1332,351,190,3.626943,64749,177,692,365,
41,67768,22440440,331,8929,192,6,749,191,124,3.125,32655,88,463,367,193,0,0,0,0,0.0,65292,179,710,364,
42,68124,23524181,345,9123,192,7,698,150,99,3.6458333,35944,98,484,366,193,0,0,0,0,0.0,69659,190,627,365,
43,67647,24198411,357,7825,192,10,1796,322,179,5.208333,30325,82,476,367,193,0,0,0,0,0.0,67751,185,639,366,
44,68166,32372104,474,12103,192,28,5639,496,201,14.583333,34313,93,633,366,193,0,0,0,0,0.0,64938,177,650,365,
45,67373,31502347,467,11717,192,20,4325,480,216,10.416666,38095,103,677,367,193,3,378,191,126,1.5544041,62960,172,696,365,
46,67698,22562248,333,9748,192,14,2671,431,190,7.2916665,32701,89,628,366,193,0,0,0,0,0.0,63832,174,638,365,
47,68036,31530414,463,10890,192,3,373,164,124,1.5625,34596,94,436,367,193,0,0,0,0,0.0,70399,192,660,365,
48,68255,38724480,567,14762,192,5,508,168,101,2.6041665,28741,78,414,365,193,0,0,0,0,0.0,67724,185,606,366,
49,68567,27215201,396,10310,192,4,347,155,86,2.0833335,29111,79,437,366,193,0,0,0,0,0.0,66340,181,671,365,
50,68054,18240393,268,7453,192,9,894,182,99,4.6875,34681,94,461,366,193,0,0,0,0,0.0,67846,185,669,365,
51,68596,27175174,396,11065,192,17,2550,347,150,8.854166,34698,94,491,367,193,0,0,0,0,0.0,63954,174,717,366,
52,67278,23861891,354,10022,192,9,2172,448,241,4.6875,35675,97,582,366,193,0,0,0,0,0.0,65273,178,646,365,
53,68133,31291055,459,11881,192,13,1768,244,136,6.7708335,31683,86,537,367,193,9,2038,432,226,4.663213,62888,172,609,365,
54,67434,32184112,477,11181,192,11,1121,173,101,5.729167,30690,84,491,365,193,0,0,0,0,0.0,69745,191,669,365,
55,67891,28602243,421,9293,192,8,1253,280,156,4.166667,33276,90,486,368,193,1,135,135,135,0.5181347,69384,190,620,365,
56,67826,24696757,364,7523,192,8,1612,370,201,4.166667,33923,92,505,366,193,0,0,0,0,0.0,66837,182,717,366,
57,67917,46420688,683,13708,192,11,1916,323,174,5.729167,33718,91,644,367,193,0,0,0,0,0.0,66114,181,672,365,
