run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,3201,398677,124,633,31,1,62,62,62,3.2258062,6192,101,424,61,33,0,0,0,0,0.0,11014,183,651,60,
2,3333,397850,119,545,32,1,83,83,83,3.125,6013,95,421,63,33,0,0,0,0,0.0,11035,180,585,61,
3,3310,375556,113,457,32,0,0,0,0,0.0,6401,101,420,63,33,0,0,0,0,0.0,10751,176,554,61,
4,3365,407624,121,627,32,1,65,65,65,3.125,6275,99,511,63,33,3,363,186,121,9.090909,9525,156,560,61,
5,3381,385475,114,425,32,0,0,0,0,0.0,8519,137,533,62,33,0,0,0,0,0.0,9280,154,691,60,
6,3261,376066,115,534,32,0,0,0,0,0.0,7427,117,516,63,33,0,0,0,0,0.0,10585,170,495,62,
7,3479,414369,119,590,32,1,69,69,69,3.125,6326,100,430,63,33,0,0,0,0,0.0,11341,185,640,61,
8,3360,390305,116,519,32,0,0,0,0,0.0,7182,115,437,62,33,0,0,0,0,0.0,10488,174,538,60,
9,3381,394325,116,491,33,3,378,191,126,9.090909,6365,101,452,63,33,0,0,0,0,0.0,11362,186,616,61,
10,3298,401926,121,565,32,1,135,135,135,3.125,5145,82,376,62,33,0,0,0,0,0.0,10992,180,552,61,
11,3318,392056,118,584,32,0,0,0,0,0.0,6372,102,406,62,33,0,0,0,0,0.0,11847,194,635,61,
12,3401,390986,114,456,32,0,0,0,0,0.0,6768,107,485,63,33,0,0,0,0,0.0,13453,216,657,62,
13,3378,383176,113,535,32,1,68,68,68,3.125,6913,108,437,64,33,0,0,0,0,0.0,11750,192,667,61,
14,3202,375990,117,555,32,0,0,0,0,0.0,5869,96,457,61,33,0,0,0,0,0.0,11572,186,601,62,
15,3263,375923,115,477,32,2,238,164,119,6.25,7483,118,514,63,33,0,0,0,0,0.0,13218,216,664,61,
16,3280,376778,114,550,32,0,0,0,0,0.0,6993,111,416,63,33,0,0,0,0,0.0,11623,187,525,62,
17,3422,393976,115,459,32,0,0,0,0,0.0,6626,105,477,63,33,0,0,0,0,0.0,11861,194,640,61,
18,3450,406923,117,592,32,0,0,0,0,0.0,7774,125,534,62,33,0,0,0,0,0.0,10240,170,631,60,
19,3352,386263,115,461,32,0,0,0,0,0.0,7524,119,414,63,33,0,0,0,0,0.0,12526,205,560,61,
20,3324,386282,116,508,32,0,0,0,0,0.0,5960,96,458,62,33,0,0,0,0,0.0,12289,201,639,61,
21,3362,382421,113,423,32,0,0,0,0,0.0,7012,113,430,62,33,0,0,0,0,0.0,11885,194,639,61,
22,3355,386769,115,610,32,0,0,0,0,0.0,6399,103,392,62,33,0,0,0,0,0.0,10457,171,555,61,
23,3394,419569,123,550,32,2,212,151,106,6.25,6150,99,442,62,33,0,0,0,0,0.0,12685,204,554,62,
24,3319,403650,121,615,32,3,363,186,121,9.375,8126,128,456,63,33,0,0,0,0,0.0,10631,177,704,60,
25,3373,416132,123,551,31,3,303,166,101,9.677419,5965,94,423,63,33,0,0,0,0,0.0,11598,190,608,61,
26,3298,385908,117,470,32,0,0,0,0,0.0,6249,100,399,62,33,0,0,0,0,0.0,12270,201,595,61,
27,3277,383789,117,589,32,0,0,0,0,0.0,7311,116,461,63,33,0,0,0,0,0.0,11565,189,599,61,
28,3276,429602,131,612,32,4,515,193,128,12.5,8431,133,479,63,33,0,0,0,0,0.0,10203,170,601,60,
29,3383,396791,117,584,32,0,0,0,0,0.0,6469,102,496,63,33,0,0,0,0,0.0,12041,197,575,61,
30,3256,380860,116,761,32,0,0,0,0,0.0,7635,123,420,62,33,1,60,60,60,3.030303,9372,153,552,61,
31,3366,412128,122,491,32,1,135,135,135,3.125,6267,99,427,63,33,0,0,0,0,0.0,11398,186,610,61,
32,3265,402026,123,618,32,5,950,304,190,15.625,7231,116,536,62,33,0,0,0,0,0.0,13303,218,618,61,
33,3307,384895,116,441,32,0,0,0,0,0.0,7661,123,459,62,33,0,0,0,0,0.0,10773,176,593,61,
34,3423,394859,115,565,32,0,0,0,0,0.0,7266,117,483,62,33,0,0,0,0,0.0,11764,192,619,61,
35,3287,387887,118,466,32,0,0,0,0,0.0,6307,100,445,63,33,0,0,0,0,0.0,10833,177,563,61,
36,3444,392170,113,423,32,0,0,0,0,0.0,6888,111,394,62,33,0,0,0,0,0.0,11183,183,618,61,
37,3444,423366,122,642,32,4,469,188,117,12.5,5559,86,428,64,33,0,0,0,0,0.0,10700,175,570,61,
38,3361,387018,115,570,32,0,0,0,0,0.0,7222,112,426,64,33,0,0,0,0,0.0,11399,186,601,61,
39,3407,405056,118,536,32,0,0,0,0,0.0,6196,99,446,62,33,0,0,0,0,0.0,11239,184,613,61,
40,3341,401896,120,506,32,1,135,135,135,3.125,7551,121,552,62,33,0,0,0,0,0.0,11086,181,633,61,
41,3330,385985,115,729,32,0,0,0,0,0.0,6083,96,462,63,33,0,0,0,0,0.0,10800,177,569,61,
42,3388,399205,117,523,32,1,117,117,117,3.125,5454,86,408,63,33,0,0,0,0,0.0,11221,183,615,61,
43,3401,386767,113,548,32,0,0,0,0,0.0,6564,105,427,62,33,0,0,0,0,0.0,11945,195,560,61,
44,3341,396090,118,540,32,0,0,0,0,0.0,7432,119,430,62,33,0,0,0,0,0.0,10184,166,631,61,
45,3381,429664,127,630,32,1,135,135,135,3.125,6071,97,409,62,33,0,0,0,0,0.0,12508,205,654,61,
46,3332,387516,116,719,32,0,0,0,0,0.0,7870,124,444,63,33,0,0,0,0,0.0,10714,175,615,61,
47,3396,389675,114,572,32,0,0,0,0,0.0,5702,90,407,63,33,0,0,0,0,0.0,12603,206,596,61,
48,3246,384400,118,626,32,2,231,131,115,6.25,6529,102,524,64,33,0,0,0,0,0.0,10276,168,587,61,
49,3341,380992,114,476,32,0,0,0,0,0.0,6962,112,444,62,33,0,0,0,0,0.0,12768,209,622,61,
50,3450,400692,116,499,32,0,0,0,0,0.0,6743,107,474,63,33,0,0,0,0,0.0,11995,196,616,61,
51,3348,394304,117,600,32,0,0,0,0,0.0,6312,100,439,63,33,0,0,0,0,0.0,11019,180,643,61,
52,3328,384777,115,556,32,0,0,0,0,0.0,5683,91,401,62,33,0,0,0,0,0.0,12294,198,666,62,
53,3297,443637,134,848,31,6,1383,373,230,19.354837,6599,108,444,61,33,0,0,0,0,0.0,11061,178,636,62,
54,3318,383307,115,485,32,1,76,76,76,3.125,6277,101,403,62,33,0,0,0,0,0.0,12427,203,602,61,
55,3377,413079,122,577,32,1,70,70,70,3.125,5994,96,540,62,33,0,0,0,0,0.0,9531,156,549,61,
56,3347,394573,117,544,32,1,60,60,60,3.125,6170,102,472,60,33,0,0,0,0,0.0,12040,197,584,61,
57,3318,383806,115,518,32,0,0,0,0,0.0,7192,116,431,62,33,0,0,0,0,0.0,11053,181,636,61,
58,3406,391567,114,441,32,0,0,0,0,0.0,7268,115,517,63,33,0,0,0,0,0.0,10681,175,523,61,
59,3341,388839,116,571,32,0,0,0,0,0.0,7484,120,540,62,33,0,0,0,0,0.0,11243,184,602,61,
60,3306,397050,120,565,32,3,295,161,98,9.375,7688,122,469,63,33,0,0,0,0,0.0,11415,184,563,62,
61,3430,404004,117,662,32,0,0,0,0,0.0,5963,96,536,62,33,0,0,0,0,0.0,11871,197,598,60,
62,3231,380619,117,645,32,2,210,150,105,6.25,5696,91,369,62,33,0,0,0,0,0.0,11398,183,630,62,
63,3350,390504,116,739,32,0,0,0,0,0.0,4929,78,385,63,33,0,0,0,0,0.0,11226,187,605,60,
64,3371,381746,113,465,32,0,0,0,0,0.0,8001,129,487,62,33,0,0,0,0,0.0,10556,175,593,60,
65,3519,406964,115,501,32,0,0,0,0,0.0,5822,92,385,63,33,0,0,0,0,0.0,10761,176,588,61,
66,3341,384441,115,475,32,0,0,0,0,0.0,7771,125,399,62,33,0,0,0,0,0.0,12553,202,630,62,
67,3306,382006,115,489,32,0,0,0,0,0.0,5247,84,388,62,33,0,0,0,0,0.0,12461,200,599,62,
68,3344,390274,116,618,32,0,0,0,0,0.0,6835,108,491,63,33,0,0,0,0,0.0,12196,199,620,61,
69,3324,382618,115,514,32,0,0,0,0,0.0,6462,102,428,63,33,0,0,0,0,0.0,11475,191,654,60,
70,3385,390441,115,620,32,0,0,0,0,0.0,7256,117,451,62,33,0,0,0,0,0.0,9246,151,558,61,
71,3388,425676,125,450,32,2,271,136,135,6.25,6426,103,544,62,33,0,0,0,0,0.0,10634,174,570,61,
72,3387,435980,128,827,32,3,324,173,108,9.375,7145,115,478,62,33,0,0,0,0,0.0,11057,181,543,61,
73,3282,408132,124,763,32,1,148,148,148,3.125,6981,112,426,62,33,0,0,0,0,0.0,11436,190,611,60,
74,3366,435136,129,538,32,3,396,197,132,9.375,7288,113,549,64,33,0,0,0,0,0.0,9362,156,736,60,
75,3273,379314,115,514,32,0,0,0,0,0.0,5513,88,566,62,33,0,0,0,0,0.0,10923,179,557,61,
76,3343,386749,115,650,32,0,0,0,0,0.0,6728,106,421,63,33,0,0,0,0,0.0,10507,169,579,62,
77,3386,421854,124,794,32,5,1035,321,207,15.625,6172,97,392,63,33,0,0,0,0,0.0,11406,186,625,61,
78,3413,387465,113,403,32,0,0,0,0,0.0,8284,133,436,62,33,0,0,0,0,0.0,9858,161,614,61,
79,3329,375115,112,502,32,0,0,0,0,0.0,6018,97,430,62,33,0,0,0,0,0.0,11251,184,607,61,
80,3331,380295,114,550,32,0,0,0,0,0.0,7113,111,402,64,33,0,0,0,0,0.0,11512,191,673,60,
81,3315,390714,117,709,32,0,0,0,0,0.0,7487,118,576,63,33,0,0,0,0,0.0,11106,182,600,61,
82,3230,371721,115,495,32,0,0,0,0,0.0,7348,116,436,63,33,0,0,0,0,0.0,12356,202,595,61,
83,3429,423313,123,538,32,1,135,135,135,3.125,5475,89,406,61,33,0,0,0,0,0.0,11742,192,661,61,
84,3368,394616,117,728,32,0,0,0,0,0.0,6165,99,427,62,33,0,0,0,0,0.0,10642,177,599,60,
85,3345,385934,115,456,32,0,0,0,0,0.0,7940,124,423,64,33,0,0,0,0,0.0,11343,189,575,60,
86,3378,404131,119,640,32,0,0,0,0,0.0,6710,106,392,63,33,0,0,0,0,0.0,8571,140,476,61,
87,3345,383949,114,517,32,0,0,0,0,0.0,6852,110,436,62,33,0,0,0,0,0.0,9862,164,597,60,
88,3407,406141,119,572,32,1,126,126,126,3.125,6028,97,458,62,33,0,0,0,0,0.0,12094,195,595,62,
89,3403,390049,114,548,32,0,0,0,0,0.0,5932,95,410,62,33,0,0,0,0,0.0,12367,206,639,60,
90,3420,413170,120,615,32,1,135,135,135,3.125,7564,122,453,62,33,0,0,0,0,0.0,12720,208,656,61,
91,3247,380973,117,687,32,0,0,0,0,0.0,7779,123,505,63,33,0,0,0,0,0.0,11799,196,640,60,
92,3315,391305,118,505,31,0,0,0,0,0.0,7206,118,427,61,33,0,0,0,0,0.0,13119,215,705,61,
93,3285,389186,118,609,32,0,0,0,0,0.0,5766,93,371,62,33,0,0,0,0,0.0,11177,183,607,61,
94,3287,379574,115,531,32,0,0,0,0,0.0,6220,101,387,61,33,0,0,0,0,0.0,11759,195,611,60,
95,3374,394081,116,584,32,0,0,0,0,0.0,5526,87,348,63,33,0,0,0,0,0.0,11165,183,608,61,
96,3340,394342,118,467,32,0,0,0,0,0.0,6532,105,483,62,33,0,0,0,0,0.0,11481,188,679,61,
97,3384,407711,120,472,32,1,71,71,71,3.125,6299,99,430,63,33,0,0,0,0,0.0,10196,167,562,61,
98,3384,393742,116,632,32,0,0,0,0,0.0,7687,122,485,63,33,0,0,0,0,0.0,12756,209,614,61,
99,3413,387314,113,614,32,0,0,0,0,0.0,6679,107,446,62,33,0,0,0,0,0.0,11351,189,616,60,
100,3354,410924,122,729,31,2,335,220,167,6.4516125,7041,115,496,61,33,0,0,0,0,0.0,12470,201,597,62,
101,3365,389732,115,544,32,0,0,0,0,0.0,7293,117,450,62,33,0,0,0,0,0.0,12171,199,651,61,
102,3298,380178,115,477,32,0,0,0,0,0.0,7888,125,495,63,33,0,0,0,0,0.0,10514,172,602,61,
103,3399,406032,119,649,32,1,103,103,103,3.125,6704,108,394,62,33,0,0,0,0,0.0,13387,215,584,62,
104,3328,378497,113,626,32,0,0,0,0,0.0,6945,112,453,62,33,0,0,0,0,0.0,10723,175,535,61,
105,3340,392706,117,542,32,0,0,0,0,0.0,7536,119,485,63,33,0,0,0,0,0.0,10952,179,552,61,
106,3433,405383,118,532,32,0,0,0,0,0.0,6415,103,464,62,33,0,0,0,0,0.0,12788,206,601,62,
107,3301,383940,116,543,32,0,0,0,0,0.0,7331,116,453,63,33,0,0,0,0,0.0,10932,179,583,61,
108,3376,397238,117,642,32,0,0,0,0,0.0,6180,99,382,62,33,0,0,0,0,0.0,11993,193,570,62,
109,3320,378701,114,457,32,0,0,0,0,0.0,6795,106,403,64,33,0,0,0,0,0.0,11627,184,636,63,
110,3419,381426,111,545,32,0,0,0,0,0.0,7250,115,414,63,33,0,0,0,0,0.0,11641,190,609,61,
111,3131,390025,124,549,32,3,522,239,174,9.375,7702,122,472,63,33,0,0,0,0,0.0,11112,182,604,61,
112,3328,387753,116,482,32,0,0,0,0,0.0,8340,132,480,63,33,0,0,0,0,0.0,9180,150,527,61,
113,3220,379329,117,542,32,0,0,0,0,0.0,7099,116,485,61,33,0,0,0,0,0.0,10893,178,532,61,
114,3323,386025,116,425,32,0,0,0,0,0.0,7604,122,404,62,33,0,0,0,0,0.0,12540,205,584,61,
115,3268,386798,118,601,32,1,135,135,135,3.125,8012,127,437,63,33,0,0,0,0,0.0,11428,187,661,61,
116,3417,390274,114,539,32,0,0,0,0,0.0,6996,112,457,62,33,0,0,0,0,0.0,13385,219,636,61,
117,3311,384301,116,491,32,0,0,0,0,0.0,7419,119,491,62,33,0,0,0,0,0.0,11427,190,676,60,
118,3367,408044,121,592,33,5,494,181,98,15.151516,6104,98,438,62,33,0,0,0,0,0.0,9912,162,585,61,
119,3448,407358,118,554,32,0,0,0,0,0.0,7213,114,540,63,33,0,0,0,0,0.0,10983,180,570,61,
