run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,16827,2297421,136,604,168,1,87,87,87,0.5952381,36226,113,478,320,168,0,0,0,0,0.0,41953,131,520,319,
2,17062,2397658,140,792,168,2,309,171,154,1.1904762,34484,107,451,320,168,1,146,146,146,0.5952381,40551,126,548,320,
3,17111,2446696,142,944,168,4,550,246,137,2.3809524,34065,106,540,319,168,6,1315,380,219,3.5714288,39981,125,508,319,
4,17232,2394639,138,668,168,0,0,0,0,0.0,33713,106,473,318,168,0,0,0,0,0.0,43195,135,510,319,
5,17040,2394373,140,821,168,3,396,229,132,1.7857144,34922,108,511,321,168,1,103,103,103,0.5952381,41628,130,528,320,
6,16834,2369003,140,748,168,2,201,103,100,1.1904762,32448,101,500,319,168,0,0,0,0,0.0,41191,129,562,319,
7,16927,2431147,143,731,168,4,472,153,118,2.3809524,32693,102,446,319,168,1,104,104,104,0.5952381,39396,123,587,319,
8,17094,2392262,139,859,168,1,163,163,163,0.5952381,36865,115,520,320,168,5,701,246,140,2.9761906,42804,133,547,320,
9,16904,2368628,140,719,168,1,151,151,151,0.5952381,33517,104,472,320,168,0,0,0,0,0.0,41811,130,595,320,
10,16898,2360549,139,636,168,2,198,106,99,1.1904762,33396,104,491,319,168,1,108,108,108,0.5952381,39111,122,497,319,
11,17141,2383876,139,652,168,0,0,0,0,0.0,35857,112,484,320,168,1,138,138,138,0.5952381,43384,135,495,320,
12,16884,2351497,139,730,168,0,0,0,0,0.0,34989,109,485,319,168,2,276,139,138,1.1904762,40878,128,587,319,
13,16807,2355774,140,658,168,0,0,0,0,0.0,36073,112,499,320,168,0,0,0,0,0.0,42745,133,531,320,
14,16919,2432317,143,838,168,2,230,119,115,1.1904762,33344,104,493,319,168,0,0,0,0,0.0,42817,133,551,321,
15,17073,2382851,139,734,168,2,243,140,121,1.1904762,36315,113,498,320,168,0,0,0,0,0.0,42778,133,516,320,
16,17178,2402582,139,647,168,0,0,0,0,0.0,35543,111,568,320,168,0,0,0,0,0.0,42716,133,538,320,
17,16995,2366193,139,733,168,2,346,181,173,1.1904762,33519,104,503,320,168,0,0,0,0,0.0,41720,130,595,319,
18,17193,2423012,140,936,168,5,565,192,113,2.9761906,37815,118,457,320,168,0,0,0,0,0.0,39328,122,592,320,
19,16817,2365148,140,770,168,2,272,145,136,1.1904762,35659,111,518,320,168,0,0,0,0,0.0,39831,124,500,319,
20,16898,2385256,141,899,168,1,154,154,154,0.5952381,34381,107,509,320,168,2,259,137,129,1.1904762,38964,121,540,320,
21,16756,2330543,139,813,168,0,0,0,0,0.0,33814,105,475,320,168,0,0,0,0,0.0,42956,134,575,319,
22,17124,2464879,143,905,168,3,684,325,228,1.7857144,32822,102,533,321,168,2,286,155,143,1.1904762,38678,120,566,320,
23,16893,2359965,139,707,168,4,715,277,178,2.3809524,35422,110,467,320,168,0,0,0,0,0.0,43083,134,541,320,
24,16775,2317355,138,677,168,0,0,0,0,0.0,36491,114,473,320,168,0,0,0,0,0.0,42409,132,561,320,
25,16881,2333077,138,720,168,2,222,119,111,1.1904762,33376,104,515,320,168,1,103,103,103,0.5952381,42136,131,502,321,
26,17122,2387981,139,727,168,1,152,152,152,0.5952381,36172,113,466,320,168,0,0,0,0,0.0,42005,131,581,319,
27,17044,2381640,139,828,168,0,0,0,0,0.0,35832,111,492,320,168,0,0,0,0,0.0,43480,136,563,319,
28,16945,2385337,140,836,168,1,88,88,88,0.5952381,32509,101,514,319,168,0,0,0,0,0.0,36912,115,507,320,
29,16972,2364716,139,664,168,0,0,0,0,0.0,31423,98,479,320,168,0,0,0,0,0.0,37869,118,519,320,
30,16769,2362145,140,757,168,2,168,103,84,1.1904762,35538,111,524,320,168,1,145,145,145,0.5952381,42757,133,562,320,
31,16950,2395976,141,812,168,2,186,103,93,1.1904762,31363,98,486,319,168,0,0,0,0,0.0,40189,125,562,319,
32,17068,2392506,140,889,168,2,265,162,132,1.1904762,33878,105,489,320,169,0,0,0,0,0.0,40767,127,518,320,
33,16929,2360934,139,718,168,0,0,0,0,0.0,31681,99,479,320,168,1,103,103,103,0.5952381,39846,124,522,320,
34,17030,2397308,140,886,168,0,0,0,0,0.0,32695,102,473,320,168,2,289,213,144,1.1904762,40394,126,556,319,
