run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,16818,2939585,174,773,144,18,1944,250,108,12.5,3700,13,277,275,145,0,0,0,0,0.0,53743,196,734,274,
2,16858,2925557,173,811,144,17,1960,244,115,11.805555,4339,15,226,275,145,0,0,0,0,0.0,52493,192,670,273,
3,16816,2930930,174,789,144,12,1530,274,127,8.333334,4341,15,274,277,145,0,0,0,0,0.0,52613,193,704,272,
4,16719,2860307,171,707,144,15,1757,213,117,10.416666,3519,12,222,276,145,0,0,0,0,0.0,50700,185,700,273,
5,17173,3048337,177,730,144,15,1678,271,111,10.416666,3983,14,236,275,145,0,0,0,0,0.0,52382,191,708,273,
6,16923,2930746,173,910,144,21,2686,330,127,14.583333,4456,16,446,276,145,0,0,0,0,0.0,52938,193,636,274,
7,17052,2958438,173,676,144,19,2257,267,118,13.194445,4201,15,242,276,145,0,0,0,0,0.0,53620,196,734,273,
8,17192,3008329,174,803,144,19,2452,388,129,13.194445,5126,18,400,276,145,0,0,0,0,0.0,48816,178,753,273,
9,16902,2856989,169,773,144,12,1108,199,92,8.333334,3698,13,210,277,145,1,168,168,168,0.6896552,52549,192,703,273,
10,16788,3000888,178,806,144,17,2183,312,128,11.805555,3963,14,291,276,145,0,0,0,0,0.0,49239,179,628,274,
11,16944,2979724,175,782,144,16,1729,279,108,11.111112,3792,13,259,275,145,0,0,0,0,0.0,49992,182,683,274,
12,16973,2962354,174,915,144,18,1963,260,109,12.5,4175,15,241,275,145,0,0,0,0,0.0,47458,173,669,273,
13,16868,2838206,168,702,144,13,1608,257,123,9.027778,4898,17,263,276,145,0,0,0,0,0.0,52925,193,669,274,
14,17106,2907315,169,888,144,8,1353,402,169,5.555556,3928,14,214,277,145,0,0,0,0,0.0,52825,192,695,274,
15,17031,2958412,173,804,144,13,1287,233,99,9.027778,3313,12,208,275,145,0,0,0,0,0.0,51934,190,634,273,
16,17187,3004346,174,904,144,16,1920,336,120,11.111112,3490,12,219,276,145,0,0,0,0,0.0,51942,190,725,273,
17,16891,2944182,174,771,144,20,2580,395,129,13.888889,3917,14,245,276,145,0,0,0,0,0.0,51460,187,621,274,
18,16999,3168481,186,1136,144,22,4509,671,204,15.277778,5911,21,363,276,145,4,709,316,177,2.7586207,47986,175,719,273,
19,16839,2976099,176,829,144,23,3144,334,136,15.972222,5291,19,319,276,145,0,0,0,0,0.0,49096,178,716,275,
20,17185,3108856,180,1072,144,15,2164,464,144,10.416666,4133,15,292,275,145,0,0,0,0,0.0,52272,191,686,273,
21,17037,3045113,178,752,144,21,2610,230,124,14.583333,4141,15,310,275,145,0,0,0,0,0.0,47492,173,694,274,
22,16925,3005113,177,758,144,21,2626,322,125,14.583333,3891,14,219,276,145,0,0,0,0,0.0,49238,180,632,273,
23,16757,3004203,179,924,144,21,2613,386,124,14.583333,4208,15,322,276,145,0,0,0,0,0.0,49555,181,771,273,
24,17101,2939159,171,773,144,13,1589,248,122,9.027778,3519,12,313,276,145,0,0,0,0,0.0,48749,177,690,274,
25,16614,2911980,175,970,144,9,905,181,100,6.25,3808,13,261,275,145,0,0,0,0,0.0,54416,198,657,274,
26,17049,3052508,179,838,144,16,2008,229,125,11.111112,4881,17,335,276,145,0,0,0,0,0.0,49787,181,694,274,
27,16819,3033589,180,860,144,17,2125,340,125,11.805555,4519,16,326,275,145,0,0,0,0,0.0,53592,196,698,273,
28,16835,2992865,177,882,144,17,2644,357,155,11.805555,3600,13,434,276,145,0,0,0,0,0.0,46460,170,654,273,
29,16814,3007109,178,718,144,19,2762,302,145,13.194445,4790,17,325,276,145,0,0,0,0,0.0,49755,182,604,273,
30,16993,2959910,174,774,144,14,1852,294,132,9.722222,3614,13,241,275,145,0,0,0,0,0.0,56157,204,671,274,
31,16876,2940463,174,901,144,12,1306,279,108,8.333334,3614,13,194,275,145,0,0,0,0,0.0,48801,178,678,273,
32,17052,2983415,174,753,144,13,1530,306,117,9.027778,3354,12,280,276,145,0,0,0,0,0.0,50969,186,718,273,
33,16990,3020653,177,1057,144,12,1301,194,108,8.333334,3597,13,258,275,145,1,76,76,76,0.6896552,54093,197,658,274,
34,16768,3028063,180,797,144,20,2207,201,110,13.888889,3149,11,197,276,145,0,0,0,0,0.0,53148,193,689,274,
35,16925,2968105,175,801,144,16,2260,410,141,11.111112,4192,15,305,275,145,0,0,0,0,0.0,48710,178,730,273,
36,17052,3013049,176,835,144,14,1683,305,120,9.722222,4016,14,307,276,145,0,0,0,0,0.0,50862,186,656,273,
37,17003,2978836,175,810,144,21,2297,311,109,14.583333,3824,13,251,275,145,0,0,0,0,0.0,52611,192,664,274,
38,17016,2907609,170,818,145,15,2168,365,144,10.344828,3405,12,350,276,145,0,0,0,0,0.0,52654,192,693,273,
39,17003,2875063,169,808,144,10,1021,270,102,6.9444447,4175,15,364,274,145,0,0,0,0,0.0,54807,200,662,274,
40,16923,2889651,170,750,144,11,922,137,83,7.638889,4837,17,222,276,145,0,0,0,0,0.0,51887,189,678,274,
41,17097,2929128,171,775,144,12,1419,244,118,8.333334,3350,12,222,276,145,0,0,0,0,0.0,52572,191,691,274,
42,16961,3020627,178,883,144,17,1799,274,105,11.805555,4845,17,232,276,145,0,0,0,0,0.0,48612,178,641,273,
43,16770,2872675,171,675,144,16,1883,286,117,11.111112,2922,10,221,276,145,0,0,0,0,0.0,49577,181,587,273,
44,16905,2965313,175,722,144,12,1465,292,122,8.333334,3411,12,305,276,145,0,0,0,0,0.0,55666,203,640,273,
45,17074,2966031,173,739,144,13,1256,208,96,9.027778,4555,16,255,276,145,0,0,0,0,0.0,55485,203,637,273,
46,17008,3043619,178,771,144,11,1156,204,105,7.638889,3255,11,327,276,145,0,0,0,0,0.0,51639,189,742,273,
47,17084,2964184,173,784,144,18,1669,190,92,12.5,4226,15,281,276,145,0,0,0,0,0.0,53356,194,659,274,
48,17308,2954869,170,785,144,6,639,190,106,4.166667,4248,15,225,275,145,0,0,0,0,0.0,54367,198,665,274,
49,16878,2928945,173,737,144,13,1522,275,117,9.027778,2848,10,199,276,145,0,0,0,0,0.0,51738,189,664,273,
50,16666,2957313,177,784,144,17,2120,306,124,11.805555,3436,12,227,275,145,0,0,0,0,0.0,50553,184,681,274,
51,16791,2871474,171,887,144,13,1185,265,91,9.027778,4389,15,295,276,145,0,0,0,0,0.0,48957,179,671,273,
52,17089,3045566,178,1133,144,22,3596,451,163,15.277778,4248,15,345,277,145,0,0,0,0,0.0,54433,197,612,275,
53,16917,3047280,180,848,144,16,1844,258,115,11.111112,4004,14,289,274,145,0,0,0,0,0.0,49965,183,663,273,
54,16896,2945991,174,826,144,7,1056,330,150,4.861111,3843,13,381,275,145,0,0,0,0,0.0,55398,202,681,273,
55,16898,2887153,170,733,144,9,819,136,91,6.25,3762,13,309,277,145,0,0,0,0,0.0,52715,193,625,273,
56,16905,2907364,171,808,144,14,1699,333,121,9.722222,4199,15,255,276,145,0,0,0,0,0.0,48927,179,635,273,
57,17028,2937852,172,974,144,13,2033,439,156,9.027778,5016,18,531,275,145,0,0,0,0,0.0,51983,190,669,273,
58,17060,3070741,179,1142,144,21,3840,616,182,14.583333,5321,19,368,276,145,0,0,0,0,0.0,47935,175,677,273,
59,16889,3072101,181,820,144,16,2150,394,134,11.111112,4322,15,245,276,145,0,0,0,0,0.0,51589,188,653,274,
60,16926,2979381,176,768,144,18,2429,404,134,12.5,4110,14,346,275,145,0,0,0,0,0.0,48399,177,687,273,
61,16634,2939060,176,1031,144,19,3087,480,162,13.194445,4899,17,313,276,145,1,60,60,60,0.6896552,52222,190,703,274,
62,16910,2961165,175,658,144,14,1446,196,103,9.722222,3375,12,157,276,145,0,0,0,0,0.0,49966,183,673,273,
63,17032,2938242,172,840,144,18,2009,254,111,12.5,4007,14,321,274,145,0,0,0,0,0.0,51135,187,649,273,
64,16791,2981885,177,692,144,12,1191,170,99,8.333334,3979,14,256,275,145,0,0,0,0,0.0,50539,185,592,273,
65,16704,2829220,169,918,144,8,954,186,119,5.555556,3790,13,245,275,145,0,0,0,0,0.0,52037,189,673,274,
66,17031,2943079,172,706,144,18,1742,209,96,12.5,4482,16,209,275,145,0,0,0,0,0.0,53384,195,677,273,
67,16755,2944381,175,743,144,14,1664,282,118,9.722222,3366,12,161,275,145,0,0,0,0,0.0,54953,200,720,274,
68,16906,2938482,173,800,144,16,1981,358,123,11.111112,3229,11,264,276,145,0,0,0,0,0.0,49636,181,669,274,
69,17086,2921681,170,903,144,16,1936,284,121,11.111112,4148,15,269,275,145,0,0,0,0,0.0,50796,185,700,274,
70,16811,2985412,177,1178,144,22,2522,310,114,15.277778,4013,14,288,277,145,2,312,168,156,1.3793104,50724,185,631,273,
71,17119,3073630,179,1018,144,19,3262,565,171,13.194445,4122,14,408,275,145,0,0,0,0,0.0,50185,183,776,273,
72,16996,2983502,175,702,144,14,1732,249,123,9.722222,3018,10,290,275,145,0,0,0,0,0.0,52240,191,608,273,
73,16677,3029714,181,730,144,17,1691,196,99,11.805555,3224,11,206,275,145,0,0,0,0,0.0,51473,188,705,273,
74,16936,2900791,171,1054,144,17,2766,523,162,11.805555,4649,16,249,276,145,0,0,0,0,0.0,48414,177,715,273,
75,17004,2980988,175,690,144,13,1372,224,105,9.027778,3546,12,308,276,145,0,0,0,0,0.0,54008,197,667,274,
76,16905,2886507,170,700,144,8,717,149,89,5.555556,3352,12,209,275,145,0,0,0,0,0.0,51655,189,671,273,
77,17043,3036922,178,846,144,11,1568,329,142,7.638889,3269,11,325,276,145,0,0,0,0,0.0,53890,197,690,273,
78,16861,2901508,172,944,144,18,2428,367,134,12.5,4173,15,239,274,145,0,0,0,0,0.0,48633,178,643,273,
79,16832,2937171,174,693,144,14,1416,171,101,9.722222,3311,11,182,276,145,0,0,0,0,0.0,52888,193,652,273,
80,16874,2852509,169,765,144,14,1520,189,108,9.722222,4069,14,330,276,145,0,0,0,0,0.0,51038,186,668,274,
81,17106,3044066,177,777,144,13,1420,295,109,9.027778,4552,16,283,276,145,0,0,0,0,0.0,52156,191,679,273,
82,16927,3003282,177,830,144,19,2875,384,151,13.194445,4859,17,276,276,145,0,0,0,0,0.0,50863,186,655,273,
83,16843,3014112,178,973,144,19,2259,248,118,13.194445,4706,17,248,276,145,0,0,0,0,0.0,48502,177,664,274,
84,17022,3040600,178,785,144,15,1678,350,111,10.416666,4623,16,396,275,145,0,0,0,0,0.0,56101,204,704,274,
85,17111,3077510,179,784,144,19,2183,261,114,13.194445,4297,15,375,276,145,0,0,0,0,0.0,54667,200,647,273,
86,17034,3067796,180,961,144,23,2440,330,106,15.972222,3354,12,203,275,145,0,0,0,0,0.0,50546,185,662,273,
87,16756,2916727,174,790,144,14,1310,308,93,9.722222,4006,14,230,276,145,0,0,0,0,0.0,51516,188,640,274,
88,16982,2865957,168,840,144,8,881,188,110,5.555556,2728,9,202,277,145,0,0,0,0,0.0,52602,192,744,273,
89,16913,2932741,173,790,144,10,898,227,89,6.9444447,3569,12,194,276,145,0,0,0,0,0.0,52611,192,643,274,
90,16965,3019897,178,785,144,16,1452,240,90,11.111112,3156,11,230,276,145,0,0,0,0,0.0,52029,189,675,274,
91,16814,3001621,178,1169,144,15,1541,255,102,10.416666,3371,12,245,276,145,1,184,184,184,0.6896552,48987,179,702,273,
92,17025,2924285,171,865,144,7,673,170,96,4.861111,3016,10,208,276,145,0,0,0,0,0.0,50871,186,703,273,
93,16800,2983059,177,868,144,16,1941,217,121,11.111112,4627,16,270,276,145,1,104,104,104,0.6896552,50629,184,661,274,
94,16927,3085923,182,997,144,16,2207,303,137,11.111112,4751,17,289,275,145,0,0,0,0,0.0,49767,181,655,274,
95,16922,2956594,174,685,144,16,1674,235,104,11.111112,4674,16,311,275,145,0,0,0,0,0.0,54350,198,668,274,
96,16899,2936586,173,906,144,22,2750,377,125,15.277778,4250,15,255,275,145,0,0,0,0,0.0,49126,179,666,274,
