run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,3173,523819,165,632,24,1,68,68,68,4.166667,712,15,220,47,25,0,0,0,0,0.0,9900,215,734,46,
2,3287,537967,163,630,24,1,127,127,127,4.166667,825,17,150,47,25,0,0,0,0,0.0,8921,198,589,45,
3,3358,556487,165,492,24,0,0,0,0,0.0,809,16,137,49,25,0,0,0,0,0.0,8696,197,598,44,
4,3294,580529,176,603,24,1,84,84,84,4.166667,675,14,166,48,25,0,0,0,0,0.0,8744,194,600,45,
5,3291,648725,197,703,24,3,345,192,115,12.5,489,10,125,47,25,0,0,0,0,0.0,8849,196,606,45,
6,3388,572342,168,538,24,2,121,61,60,8.333334,524,10,135,48,25,0,0,0,0,0.0,9281,201,613,46,
7,3420,595086,174,668,25,7,933,248,133,28.0,514,10,169,49,25,0,0,0,0,0.0,9253,205,628,45,
8,3441,587087,170,659,24,1,179,179,179,4.166667,1063,22,235,48,25,0,0,0,0,0.0,8400,186,626,45,
9,3273,535647,163,517,24,4,387,199,96,16.666668,797,16,135,49,25,0,0,0,0,0.0,9136,203,703,45,
10,3305,606577,183,806,24,4,407,154,101,16.666668,660,13,208,48,25,0,0,0,0,0.0,7125,154,501,46,
11,3340,583760,174,740,24,2,199,139,99,8.333334,608,12,230,47,25,0,0,0,0,0.0,9815,213,636,46,
12,3421,560597,163,616,24,1,81,81,81,4.166667,736,15,189,48,25,0,0,0,0,0.0,8857,196,643,45,
13,3434,594555,173,598,24,1,60,60,60,4.166667,1053,21,166,48,25,0,0,0,0,0.0,8623,187,567,46,
14,3293,535264,162,619,24,0,0,0,0,0.0,784,16,205,48,25,0,0,0,0,0.0,9652,209,695,46,
15,3331,573036,172,517,24,0,0,0,0,0.0,542,11,199,46,25,0,0,0,0,0.0,9704,215,586,45,
16,3311,594428,179,646,24,1,125,125,125,4.166667,496,10,163,48,25,0,0,0,0,0.0,8344,185,604,45,
17,3418,620274,181,633,24,3,307,152,102,12.5,1301,27,231,48,25,0,0,0,0,0.0,9439,205,598,46,
18,3239,564871,174,691,24,3,243,100,81,12.5,712,15,191,47,25,0,0,0,0,0.0,7990,177,698,45,
19,3416,668474,195,750,24,1,199,199,199,4.166667,1003,20,319,48,25,0,0,0,0,0.0,6285,133,500,47,
20,3416,594556,174,649,24,2,251,134,125,8.333334,355,7,98,48,25,0,0,0,0,0.0,8674,192,559,45,
21,3364,624789,185,653,24,2,233,120,116,8.333334,551,11,140,47,25,0,0,0,0,0.0,8369,181,638,46,
22,3193,603198,188,671,24,3,374,168,124,12.5,654,13,184,47,25,0,0,0,0,0.0,8874,197,569,45,
23,3411,618226,181,531,24,4,281,79,70,16.666668,439,9,119,48,25,0,0,0,0,0.0,8626,191,587,45,
24,3324,550866,165,514,24,0,0,0,0,0.0,522,11,209,47,25,0,0,0,0,0.0,8678,188,690,46,
25,3411,561113,164,527,24,0,0,0,0,0.0,619,12,182,48,25,0,0,0,0,0.0,8753,190,568,46,
26,3144,566115,180,610,24,2,135,75,67,8.333334,818,17,195,47,25,0,0,0,0,0.0,8419,183,612,46,
27,3359,618799,184,860,24,2,246,186,123,8.333334,470,10,222,47,25,0,0,0,0,0.0,10106,224,625,45,
28,3295,592586,179,744,24,2,303,206,151,8.333334,227,4,83,47,25,0,0,0,0,0.0,7156,159,527,45,
29,3265,646877,198,718,24,7,1117,302,159,29.166666,1313,27,325,48,25,0,0,0,0,0.0,6818,151,580,45,
30,3323,595401,179,679,24,2,249,180,124,8.333334,563,11,143,48,25,0,0,0,0,0.0,8959,194,620,46,
31,3219,614113,190,721,24,2,249,185,124,8.333334,678,14,159,47,25,0,0,0,0,0.0,9502,211,678,45,
32,3451,643034,186,636,24,3,246,117,82,12.5,610,12,190,48,25,0,0,0,0,0.0,8217,182,592,45,
33,3419,609673,178,706,24,4,423,194,105,16.666668,697,14,166,48,25,0,0,0,0,0.0,9948,216,658,46,
34,3245,572898,176,683,24,2,205,145,102,8.333334,505,10,151,48,25,0,0,0,0,0.0,8638,187,534,46,
35,3266,563655,172,568,24,0,0,0,0,0.0,597,12,127,47,25,0,0,0,0,0.0,7655,170,580,45,
36,3410,663986,194,835,23,2,138,74,69,8.695652,339,7,154,46,25,0,0,0,0,0.0,8941,198,600,45,
37,3359,580855,172,541,24,1,60,60,60,4.166667,916,19,217,48,25,0,0,0,0,0.0,9235,200,602,46,
38,3245,552163,170,594,24,1,60,60,60,4.166667,682,14,203,47,25,0,0,0,0,0.0,8511,189,653,45,
39,3444,562189,163,541,24,1,60,60,60,4.166667,772,16,185,47,25,0,0,0,0,0.0,9831,213,626,46,
40,3351,594707,177,711,24,1,60,60,60,4.166667,1156,24,217,48,25,0,0,0,0,0.0,9590,208,636,46,
41,3388,601246,177,562,24,2,237,166,118,8.333334,759,15,183,48,25,0,0,0,0,0.0,9718,211,691,46,
42,3062,518250,169,702,24,2,142,75,71,8.333334,1104,24,232,46,25,0,0,0,0,0.0,7630,169,594,45,
43,3357,563839,167,645,24,2,120,60,60,8.333334,541,11,101,48,25,0,0,0,0,0.0,8359,185,586,45,
44,3377,620899,183,593,24,3,180,60,60,12.5,437,9,150,48,25,0,0,0,0,0.0,10000,222,640,45,
