run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,3356,350089,104,695,36,2,164,102,82,5.555556,7304,104,385,70,37,0,0,0,0,0.0,14523,210,765,69,
2,3429,360925,105,463,36,0,0,0,0,0.0,7046,99,360,71,37,0,0,0,0,0.0,14064,209,697,67,
3,3411,370369,108,549,36,2,234,137,117,5.555556,7526,106,407,71,36,0,0,0,0,0.0,15508,221,681,70,
4,3410,353403,103,489,36,0,0,0,0,0.0,6838,96,414,71,37,0,0,0,0,0.0,16718,242,644,69,
5,3267,337757,103,503,36,0,0,0,0,0.0,7785,108,466,72,37,0,0,0,0,0.0,15720,231,683,68,
6,3346,374832,112,482,36,5,524,160,104,13.888889,6233,86,516,72,37,0,0,0,0,0.0,14229,212,804,67,
7,3456,370508,107,557,36,2,182,111,91,5.555556,7359,103,469,71,37,0,0,0,0,0.0,15316,221,661,69,
8,3221,323205,100,392,36,0,0,0,0,0.0,8705,124,409,70,37,0,0,0,0,0.0,16453,241,690,68,
9,3350,337890,100,441,36,0,0,0,0,0.0,5800,82,388,70,37,0,0,0,0,0.0,15947,234,670,68,
10,3215,358512,111,614,35,1,221,221,221,2.857143,6707,98,385,68,37,0,0,0,0,0.0,17097,251,722,68,
11,3315,338781,102,382,36,0,0,0,0,0.0,6755,95,469,71,37,0,0,0,0,0.0,16898,244,763,69,
12,3170,323039,101,534,36,0,0,0,0,0.0,6397,92,472,69,37,0,0,0,0,0.0,15215,223,706,68,
13,3465,364646,105,522,36,1,95,95,95,2.777778,6834,94,399,72,37,0,0,0,0,0.0,16010,235,696,68,
14,3375,353990,104,517,36,2,164,102,82,5.555556,7617,108,416,70,37,0,0,0,0,0.0,15801,232,674,68,
15,3217,335445,104,414,36,1,71,71,71,2.777778,5603,81,404,69,37,0,0,0,0,0.0,14871,215,689,69,
16,3408,415401,121,633,36,21,3574,345,170,58.333332,9726,136,578,71,37,0,0,0,0,0.0,13212,191,750,69,
17,3307,347101,104,506,36,1,90,90,90,2.777778,7303,101,408,72,37,0,0,0,0,0.0,16559,239,717,69,
18,3433,361890,105,572,36,1,73,73,73,2.777778,7004,100,471,70,37,0,0,0,0,0.0,14385,211,769,68,
19,3374,356329,105,656,36,2,160,100,80,5.555556,6798,95,442,71,37,0,0,0,0,0.0,15641,226,660,69,
20,3383,382893,113,469,36,5,539,160,107,13.888889,8045,113,483,71,37,0,0,0,0,0.0,16850,244,714,69,
