run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,17221,2162090,125,699,192,0,0,0,0,0.0,40026,109,551,367,193,1,142,142,142,0.5181347,62579,171,665,365,
2,17062,2123922,124,622,192,0,0,0,0,0.0,42340,115,478,366,193,0,0,0,0,0.0,67356,184,674,365,
3,16876,2105622,124,636,192,2,204,136,102,1.0416667,41229,112,488,367,193,0,0,0,0,0.0,67860,185,615,366,
4,17006,2109200,124,719,192,0,0,0,0,0.0,43020,117,504,367,193,1,62,62,62,0.5181347,66036,180,697,366,
5,17072,2267075,132,950,192,5,1114,340,222,2.6041665,36765,100,489,366,193,0,0,0,0,0.0,66359,181,661,365,
6,16904,2079161,122,620,192,0,0,0,0,0.0,41020,111,507,367,193,1,193,193,193,0.5181347,64409,176,613,364,
7,17048,2080876,122,640,192,0,0,0,0,0.0,40283,110,456,366,193,0,0,0,0,0.0,71511,195,677,365,
8,17075,2093988,122,738,192,0,0,0,0,0.0,41190,111,502,368,193,0,0,0,0,0.0,66191,181,668,365,
9,16947,2135735,126,691,192,0,0,0,0,0.0,40626,111,455,366,193,0,0,0,0,0.0,66371,181,685,366,
10,17045,2128775,124,690,192,1,86,86,86,0.5208334,41299,112,533,366,193,0,0,0,0,0.0,65261,178,706,365,
11,16743,2101770,125,759,192,1,81,81,81,0.5208334,39601,108,551,366,193,1,75,75,75,0.5181347,62583,171,630,365,
12,17043,2142404,125,725,192,3,548,295,182,1.5625,37620,102,550,366,193,0,0,0,0,0.0,64453,176,602,366,
13,17067,2110377,123,739,192,1,149,149,149,0.5208334,37863,103,461,367,193,0,0,0,0,0.0,64181,175,675,366,
14,16767,2085632,124,790,192,3,351,152,117,1.5625,41146,112,494,366,193,0,0,0,0,0.0,66683,182,688,365,
15,17031,2115342,124,721,192,1,81,81,81,0.5208334,39814,108,508,367,193,0,0,0,0,0.0,68243,186,674,366,
16,17066,2097931,122,665,192,1,75,75,75,0.5208334,40470,110,504,366,193,0,0,0,0,0.0,67031,183,607,365,
17,16995,2097216,123,647,192,0,0,0,0,0.0,39698,108,481,367,193,0,0,0,0,0.0,70364,192,621,365,
18,16921,2108231,124,910,192,3,449,241,149,1.5625,40919,111,522,367,193,0,0,0,0,0.0,63455,172,664,367,
19,17004,2137741,125,874,192,4,660,331,165,2.0833335,39567,107,513,367,193,0,0,0,0,0.0,70429,192,678,365,
20,16829,2139880,127,839,192,2,212,133,106,1.0416667,37213,101,548,366,193,1,123,123,123,0.5181347,63014,172,655,365,
21,16694,2086090,124,645,192,0,0,0,0,0.0,39424,107,489,366,193,2,489,327,244,1.0362694,67244,184,662,364,
22,17088,2124461,124,574,192,1,64,64,64,0.5208334,42269,115,489,366,193,0,0,0,0,0.0,65745,180,664,365,
23,17029,2090740,122,765,192,2,439,272,219,1.0416667,39625,107,482,367,193,0,0,0,0,0.0,67520,185,706,364,
24,16946,2091214,123,847,192,1,168,168,168,0.5208334,42146,114,513,367,193,0,0,0,0,0.0,63386,173,654,365,
25,17110,2133270,124,698,192,1,109,109,109,0.5208334,39650,108,514,367,193,0,0,0,0,0.0,66268,181,646,366,
26,16859,2025033,120,668,192,0,0,0,0,0.0,43344,118,519,366,193,0,0,0,0,0.0,68378,187,662,365,
27,16871,2038494,120,665,192,0,0,0,0,0.0,43966,119,554,367,193,1,84,84,84,0.5181347,66253,181,622,365,
28,16894,2170606,128,674,192,4,482,231,120,2.0833335,39383,107,524,367,193,0,0,0,0,0.0,66866,182,716,366,
29,17079,2130595,124,861,192,2,341,253,170,1.0416667,42037,114,524,366,193,0,0,0,0,0.0,66563,182,613,365,
30,16882,2086280,123,606,192,1,139,139,139,0.5208334,39780,108,508,366,193,0,0,0,0,0.0,64182,175,643,365,
31,17079,2094879,122,598,192,0,0,0,0,0.0,42884,117,483,366,193,0,0,0,0,0.0,65801,180,724,364,
32,17194,2137194,124,663,192,0,0,0,0,0.0,42118,115,474,365,193,0,0,0,0,0.0,67480,184,587,365,
33,17011,2123992,124,709,192,1,94,94,94,0.5208334,41988,114,510,366,193,0,0,0,0,0.0,69972,191,656,366,
34,16923,2120371,125,655,192,2,232,152,116,1.0416667,37833,103,529,366,193,0,0,0,0,0.0,62984,172,636,365,
35,16909,2157488,127,823,192,1,77,77,77,0.5208334,42391,115,506,367,193,0,0,0,0,0.0,64570,176,665,365,
36,16955,2129676,125,767,192,3,386,201,128,1.5625,39468,107,494,367,193,0,0,0,0,0.0,64249,176,642,365,
37,16974,2084573,122,744,192,2,253,188,126,1.0416667,41493,113,471,367,193,0,0,0,0,0.0,63907,175,673,365,
38,17028,2117949,124,552,192,1,83,83,83,0.5208334,38679,105,568,367,193,0,0,0,0,0.0,70718,193,688,365,
39,16994,2079665,122,672,192,0,0,0,0,0.0,43353,118,491,366,193,0,0,0,0,0.0,65680,179,599,366,
40,17018,2154676,126,626,192,1,116,116,116,0.5208334,36805,100,441,366,193,0,0,0,0,0.0,67877,184,657,367,
41,17165,2103986,122,727,192,1,193,193,193,0.5208334,38624,104,451,368,193,0,0,0,0,0.0,68745,188,675,365,
42,16830,2149692,127,629,192,3,405,234,135,1.5625,42790,116,518,367,193,0,0,0,0,0.0,63131,172,670,365,
43,16990,2076839,122,670,192,0,0,0,0,0.0,45369,123,535,367,193,1,66,66,66,0.5181347,64002,174,644,366,
44,17139,2111903,123,820,192,2,132,71,66,1.0416667,40542,110,481,366,193,0,0,0,0,0.0,66545,182,614,365,
45,17079,2114698,123,607,192,0,0,0,0,0.0,41313,112,512,368,193,0,0,0,0,0.0,65662,180,622,364,
46,16970,2071691,122,738,192,1,101,101,101,0.5208334,38046,103,549,367,193,0,0,0,0,0.0,64901,177,617,365,
47,16941,2147958,126,842,192,1,63,63,63,0.5208334,41018,112,550,366,193,0,0,0,0,0.0,68031,186,670,365,
48,16974,2096488,123,619,192,0,0,0,0,0.0,38283,104,505,367,193,0,0,0,0,0.0,68782,188,633,365,
49,16992,2080826,122,769,192,0,0,0,0,0.0,40811,111,526,367,193,0,0,0,0,0.0,64187,176,618,364,
50,16960,2114708,124,756,192,1,201,201,201,0.5208334,42547,116,540,366,193,0,0,0,0,0.0,62937,171,647,366,
51,17251,2114490,122,675,192,1,81,81,81,0.5208334,41094,111,567,367,193,0,0,0,0,0.0,64647,177,600,364,
52,17041,2091549,122,741,192,3,504,259,168,1.5625,38334,104,485,367,193,0,0,0,0,0.0,67955,186,685,365,
53,16997,2066714,121,810,192,2,331,218,165,1.0416667,43045,117,474,366,193,0,0,0,0,0.0,64365,175,691,366,
54,16873,2189722,129,770,192,3,294,120,98,1.5625,35736,97,476,366,193,0,0,0,0,0.0,65334,179,650,364,
55,16998,2131978,125,637,192,0,0,0,0,0.0,41293,112,469,367,193,1,90,90,90,0.5181347,64697,177,662,365,
56,17114,2176565,127,687,192,0,0,0,0,0.0,43879,119,557,367,193,0,0,0,0,0.0,67508,185,640,364,
57,17191,2152604,125,695,192,1,79,79,79,0.5208334,39937,108,499,367,193,2,255,180,127,1.0362694,70184,192,607,365,
58,16873,2089658,123,661,192,0,0,0,0,0.0,42439,115,487,367,193,0,0,0,0,0.0,67328,184,708,365,
59,17059,2084227,122,562,192,0,0,0,0,0.0,43804,119,535,366,193,0,0,0,0,0.0,67332,183,667,366,
60,17101,2114203,123,740,192,2,194,121,97,1.0416667,38554,105,501,367,193,1,68,68,68,0.5181347,59853,163,719,365,
61,16976,2081918,122,774,192,1,75,75,75,0.5208334,39691,108,458,366,193,0,0,0,0,0.0,62837,172,652,365,
62,16696,2051285,122,772,192,0,0,0,0,0.0,41200,112,496,366,193,0,0,0,0,0.0,67856,185,635,365,
63,16967,2085811,122,742,192,1,64,64,64,0.5208334,44130,120,508,367,193,0,0,0,0,0.0,65323,178,640,365,
64,17072,2117675,124,651,192,1,75,75,75,0.5208334,41116,112,495,367,193,0,0,0,0,0.0,64776,176,656,366,
65,17000,2117763,124,790,192,2,353,229,176,1.0416667,39549,107,486,367,193,0,0,0,0,0.0,66192,180,611,366,
66,17100,2099769,122,788,192,2,222,139,111,1.0416667,38676,105,483,365,192,0,0,0,0,0.0,65805,180,625,364,
