run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,3392,400993,118,525,32,0,0,0,0,0.0,7181,113,453,63,33,0,0,0,0,0.0,10003,163,568,61,
2,3356,383322,114,482,32,0,0,0,0,0.0,7890,127,478,62,33,0,0,0,0,0.0,11254,184,556,61,
3,3330,393423,118,621,32,0,0,0,0,0.0,7302,115,459,63,33,0,0,0,0,0.0,11586,186,615,62,
4,3332,402266,120,719,32,0,0,0,0,0.0,6895,109,473,63,33,0,0,0,0,0.0,10506,169,540,62,
5,3350,489855,146,810,32,2,529,317,264,6.25,6023,97,436,62,33,0,0,0,0,0.0,9509,155,661,61,
6,3366,385614,114,503,32,0,0,0,0,0.0,6342,100,507,63,33,0,0,0,0,0.0,10969,182,586,60,
7,3284,378580,115,512,32,0,0,0,0,0.0,7282,117,446,62,33,0,0,0,0,0.0,11932,195,559,61,
8,3419,407205,119,738,32,0,0,0,0,0.0,8019,125,486,64,33,0,0,0,0,0.0,10644,174,554,61,
9,3398,399259,117,540,32,0,0,0,0,0.0,6422,103,449,62,33,0,0,0,0,0.0,10971,176,685,62,
10,3400,402163,118,614,32,0,0,0,0,0.0,7407,119,521,62,33,0,0,0,0,0.0,10901,178,575,61,
11,3292,390214,118,517,32,0,0,0,0,0.0,6714,108,396,62,33,0,0,0,0,0.0,10042,164,630,61,
12,3387,405767,119,502,32,0,0,0,0,0.0,5396,87,379,62,33,0,0,0,0,0.0,11855,191,592,62,
13,3449,400630,116,669,32,0,0,0,0,0.0,6545,103,433,63,33,0,0,0,0,0.0,10709,172,607,62,
14,3293,385013,116,571,32,0,0,0,0,0.0,6653,107,485,62,33,0,0,0,0,0.0,11565,189,688,61,
15,3390,391373,115,420,32,0,0,0,0,0.0,8321,132,422,63,33,0,0,0,0,0.0,11521,185,659,62,
16,3352,386874,115,456,32,0,0,0,0,0.0,7247,116,477,62,33,0,0,0,0,0.0,10448,171,571,61,
17,3350,393265,117,591,32,0,0,0,0,0.0,5262,83,461,63,33,0,0,0,0,0.0,11322,185,590,61,
18,3330,374657,112,423,32,0,0,0,0,0.0,8444,134,482,63,33,0,0,0,0,0.0,11145,176,632,63,
19,3329,376363,113,427,32,0,0,0,0,0.0,7137,113,472,63,33,0,0,0,0,0.0,13501,221,619,61,
20,3325,385051,115,489,32,0,0,0,0,0.0,7435,119,499,62,33,0,0,0,0,0.0,12670,207,602,61,
21,3338,393814,117,617,32,0,0,0,0,0.0,6426,103,440,62,33,2,489,327,244,6.060606,9328,155,645,60,
22,3274,379258,115,488,32,0,0,0,0,0.0,7104,114,423,62,33,0,0,0,0,0.0,11114,182,519,61,
23,3402,387582,113,473,32,0,0,0,0,0.0,6647,105,470,63,33,0,0,0,0,0.0,9766,162,519,60,
24,3460,400469,115,578,32,0,0,0,0,0.0,7504,119,513,63,33,0,0,0,0,0.0,10602,173,654,61,
25,3295,378227,114,538,32,0,0,0,0,0.0,7115,112,458,63,33,0,0,0,0,0.0,10103,162,612,62,
26,3300,383333,116,668,32,0,0,0,0,0.0,7071,114,490,62,33,0,0,0,0,0.0,10927,179,624,61,
27,3369,386153,114,665,32,0,0,0,0,0.0,7868,124,482,63,33,0,0,0,0,0.0,10365,169,581,61,
28,3320,400648,120,513,32,1,71,71,71,3.125,7664,121,478,63,33,0,0,0,0,0.0,10451,168,570,62,
29,3337,384933,115,552,32,0,0,0,0,0.0,7686,123,451,62,33,0,0,0,0,0.0,9734,159,540,61,
30,3271,389413,119,595,32,0,0,0,0,0.0,5818,93,485,62,33,0,0,0,0,0.0,9993,163,643,61,
31,3443,397154,115,553,32,0,0,0,0,0.0,6989,112,413,62,33,0,0,0,0,0.0,11057,184,724,60,
32,3307,387897,117,504,32,0,0,0,0,0.0,5941,97,458,61,33,0,0,0,0,0.0,11265,184,574,61,
33,3242,374541,115,446,32,0,0,0,0,0.0,7862,126,451,62,33,0,0,0,0,0.0,10843,174,557,62,
34,3222,379949,117,655,32,0,0,0,0,0.0,6516,105,409,62,33,0,0,0,0,0.0,10818,177,636,61,
35,3307,381605,115,670,32,0,0,0,0,0.0,7976,126,414,63,33,0,0,0,0,0.0,12085,198,665,61,
36,3318,386486,116,443,32,0,0,0,0,0.0,7204,114,464,63,33,0,0,0,0,0.0,12386,203,585,61,
37,3337,395797,118,541,32,0,0,0,0,0.0,7522,119,463,63,33,0,0,0,0,0.0,11168,183,673,61,
