run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,3378,386282,114,503,32,0,0,0,0,0.0,5702,89,428,64,33,0,0,0,0,0.0,12248,200,674,61,
2,3272,385109,117,552,32,0,0,0,0,0.0,6270,97,424,64,33,0,0,0,0,0.0,13217,216,643,61,
3,3323,394319,118,503,32,0,0,0,0,0.0,5296,82,391,64,33,0,0,0,0,0.0,12009,196,627,61,
4,3401,392504,115,464,32,0,0,0,0,0.0,5994,95,374,63,33,0,0,0,0,0.0,14359,235,709,61,
5,3329,393033,118,667,32,0,0,0,0,0.0,4582,72,339,63,33,0,0,0,0,0.0,10610,173,579,61,
6,3311,376030,113,421,32,1,92,92,92,3.125,6787,104,393,65,33,0,0,0,0,0.0,11745,195,622,60,
7,3265,407585,124,676,32,3,374,202,124,9.375,4108,65,400,63,33,0,0,0,0,0.0,11485,188,616,61,
8,3345,393019,117,532,32,0,0,0,0,0.0,4673,74,371,63,33,0,0,0,0,0.0,13179,212,671,62,
9,3402,463258,136,613,32,4,587,247,146,12.5,4457,71,429,62,33,0,0,0,0,0.0,12565,202,591,62,
10,3392,452721,133,698,32,2,238,136,119,6.25,4726,77,418,61,33,0,0,0,0,0.0,11491,188,624,61,
11,3428,447650,130,650,32,1,122,122,122,3.125,5052,78,405,64,33,0,0,0,0,0.0,12038,197,618,61,
12,3259,378645,116,493,32,0,0,0,0,0.0,5588,87,447,64,33,0,0,0,0,0.0,13823,226,665,61,
13,3406,401298,117,736,32,0,0,0,0,0.0,4672,73,365,64,33,0,0,0,0,0.0,12974,212,619,61,
14,3471,400183,115,553,32,0,0,0,0,0.0,5134,80,442,64,33,0,0,0,0,0.0,13673,224,675,61,
15,3108,363622,116,693,31,0,0,0,0,0.0,4783,81,392,59,33,0,0,0,0,0.0,13828,230,602,60,
16,3422,391895,114,487,32,0,0,0,0,0.0,6980,110,381,63,33,0,0,0,0,0.0,15175,248,663,61,
17,3309,378785,114,531,32,0,0,0,0,0.0,5532,87,372,63,33,0,0,0,0,0.0,14211,232,631,61,
18,3409,397849,116,546,32,0,0,0,0,0.0,5602,87,373,64,33,0,0,0,0,0.0,12621,206,646,61,
19,3485,431657,123,607,32,1,75,75,75,3.125,4329,67,385,64,33,0,0,0,0,0.0,13443,220,687,61,
20,3384,393309,116,665,32,0,0,0,0,0.0,5829,92,378,63,33,0,0,0,0,0.0,12594,206,671,61,
21,3403,415029,121,686,32,2,150,75,75,6.25,5012,78,407,64,33,0,0,0,0,0.0,13042,213,650,61,
22,3334,394116,118,647,32,0,0,0,0,0.0,6032,97,415,62,33,0,0,0,0,0.0,13122,218,683,60,
23,3366,393329,116,466,32,0,0,0,0,0.0,5958,94,412,63,33,0,0,0,0,0.0,11416,187,599,61,
24,3389,399984,118,456,32,0,0,0,0,0.0,6466,101,394,64,33,0,0,0,0,0.0,13485,221,660,61,
25,3307,379971,114,599,32,0,0,0,0,0.0,5929,92,393,64,33,0,0,0,0,0.0,12157,202,687,60,
26,3377,422130,125,667,32,1,107,107,107,3.125,4460,70,286,63,33,0,0,0,0,0.0,13052,213,644,61,
27,3293,397988,120,612,32,1,75,75,75,3.125,4638,73,405,63,33,0,0,0,0,0.0,13800,222,725,62,
28,3482,398971,114,492,32,0,0,0,0,0.0,5010,78,341,64,33,0,0,0,0,0.0,13250,217,713,61,
29,3351,403751,120,609,32,1,62,62,62,3.125,5815,92,360,63,33,1,75,75,75,3.030303,12469,207,656,60,
30,3264,372652,114,488,32,0,0,0,0,0.0,5324,83,326,64,33,0,0,0,0,0.0,13348,218,654,61,
31,3233,382236,118,672,32,0,0,0,0,0.0,5826,91,337,64,33,0,0,0,0,0.0,12988,216,644,60,
32,3401,426534,125,664,32,2,230,135,115,6.25,5820,92,359,63,33,0,0,0,0,0.0,13644,223,639,61,
33,3476,440724,126,667,32,2,255,180,127,6.25,4209,66,358,63,33,0,0,0,0,0.0,12581,202,708,62,
34,3344,417907,124,607,32,1,75,75,75,3.125,4323,68,354,63,33,0,0,0,0,0.0,12639,210,679,60,
