run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,16961,2151827,126,936,192,12,1793,296,149,6.25,46185,126,553,365,193,3,330,165,110,1.5544041,62376,171,687,364,
2,16875,2132462,126,686,191,16,3189,409,199,8.376964,45678,125,699,364,193,3,263,112,87,1.5544041,62561,171,636,364,
3,16916,2145043,126,713,192,5,494,144,98,2.6041665,42516,116,476,366,193,0,0,0,0,0.0,61917,169,597,365,
4,16757,2051290,122,636,192,4,418,165,104,2.0833335,43742,119,498,366,193,0,0,0,0,0.0,64419,176,627,365,
5,16887,2084106,123,630,192,5,494,150,98,2.6041665,43084,117,467,366,193,1,96,96,96,0.5181347,63784,174,591,365,
6,16940,2111444,124,596,192,4,349,130,87,2.0833335,43504,118,608,367,193,0,0,0,0,0.0,62295,170,669,365,
7,17210,2116627,122,853,192,11,1780,333,161,5.729167,46725,127,653,366,193,1,97,97,97,0.5181347,61804,169,673,365,
8,16842,2041315,121,657,192,3,300,138,100,1.5625,39961,109,511,365,193,0,0,0,0,0.0,64911,178,662,364,
9,16955,2090184,123,629,192,6,635,165,105,3.125,41713,113,504,366,193,0,0,0,0,0.0,63726,174,645,366,
10,17054,2140004,125,701,192,3,255,102,85,1.5625,45169,123,518,366,193,0,0,0,0,0.0,64818,177,616,365,
11,16757,2105460,125,568,192,2,148,86,74,1.0416667,38977,106,443,367,193,0,0,0,0,0.0,63675,174,625,365,
12,17053,2148902,126,635,192,0,0,0,0,0.0,45148,123,575,366,193,0,0,0,0,0.0,62017,169,649,366,
13,16945,2077051,122,766,192,3,242,88,80,1.5625,43003,117,515,367,193,0,0,0,0,0.0,62106,170,681,365,
14,16876,2132613,126,756,192,8,799,179,99,4.166667,42447,115,513,366,193,1,77,77,77,0.5181347,62153,169,625,366,
15,16789,2076673,123,635,192,6,790,213,131,3.125,45340,123,519,366,193,0,0,0,0,0.0,67113,183,632,365,
16,16875,2131168,126,753,192,0,0,0,0,0.0,42246,115,547,366,193,0,0,0,0,0.0,64676,177,661,365,
17,16917,2161742,127,822,192,13,1643,271,126,6.7708335,41502,113,530,366,193,0,0,0,0,0.0,58302,159,622,365,
18,16871,2111847,125,684,192,4,433,165,108,2.0833335,45787,125,502,366,193,0,0,0,0,0.0,59832,163,546,366,
19,16865,2143054,127,1146,192,5,605,193,121,2.6041665,42681,116,498,365,193,0,0,0,0,0.0,59363,163,622,364,
20,17010,2099899,123,616,192,1,109,109,109,0.5208334,42276,115,491,366,193,0,0,0,0,0.0,60870,166,566,366,
21,16871,2061911,122,760,192,0,0,0,0,0.0,44322,121,513,365,193,1,76,76,76,0.5181347,68069,185,637,367,
22,16936,2058861,121,598,192,1,77,77,77,0.5208334,43600,119,482,366,193,0,0,0,0,0.0,61549,168,627,365,
23,16970,2118686,124,591,192,1,79,79,79,0.5208334,44427,121,634,366,193,0,0,0,0,0.0,64871,177,655,365,
24,17110,2086006,121,689,192,1,68,68,68,0.5208334,46786,127,536,367,193,1,89,89,89,0.5181347,64162,175,612,366,
25,16862,2093834,124,751,192,0,0,0,0,0.0,43920,119,478,367,193,0,0,0,0,0.0,64974,178,621,365,
26,17045,2084621,122,706,192,1,85,85,85,0.5208334,41036,111,526,367,193,0,0,0,0,0.0,60450,165,627,365,
27,16785,2079939,123,634,192,3,290,129,96,1.5625,46394,126,583,366,193,0,0,0,0,0.0,64183,175,674,366,
28,17101,2101948,122,541,192,6,682,191,113,3.125,44753,121,562,367,193,0,0,0,0,0.0,63884,175,618,364,
29,16990,2047959,120,725,192,0,0,0,0,0.0,44268,120,556,366,193,6,978,268,163,3.1088083,62632,171,636,365,
30,16998,2107879,124,1000,192,18,2800,371,155,9.375,45389,124,590,366,193,2,127,64,63,1.0362694,60230,165,604,365,
