run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,3333,379218,113,550,32,0,0,0,0,0.0,9187,148,553,62,33,0,0,0,0,0.0,9811,163,575,60,
2,3458,478227,138,665,32,16,3189,409,199,50.0,9971,163,699,61,33,1,86,86,86,3.030303,8445,140,469,60,
3,3281,377813,115,458,32,0,0,0,0,0.0,8015,129,453,62,33,0,0,0,0,0.0,12032,197,597,61,
4,3293,379842,115,545,32,0,0,0,0,0.0,6461,104,414,62,33,0,0,0,0,0.0,10218,167,535,61,
5,3315,413043,124,621,32,3,303,150,101,9.375,6484,104,467,62,33,1,96,96,96,3.030303,9646,158,531,61,
6,3332,386809,116,553,32,0,0,0,0,0.0,6353,100,447,63,33,0,0,0,0,0.0,10747,176,669,61,
7,3425,391450,114,533,32,0,0,0,0,0.0,8385,133,518,63,33,0,0,0,0,0.0,8512,139,555,61,
8,3368,379201,112,657,32,0,0,0,0,0.0,6656,107,388,62,33,0,0,0,0,0.0,10952,182,567,60,
9,3357,396120,117,529,32,2,202,131,101,6.25,7408,121,471,61,33,0,0,0,0,0.0,9929,160,645,62,
10,3300,381951,115,589,32,0,0,0,0,0.0,7425,119,460,62,33,0,0,0,0,0.0,9352,153,462,61,
11,3387,398808,117,519,32,1,62,62,62,3.125,6289,99,422,63,33,0,0,0,0,0.0,10315,169,625,61,
12,3490,408324,116,616,32,0,0,0,0,0.0,7393,119,575,62,33,0,0,0,0,0.0,10395,167,594,62,
13,3257,375030,115,555,32,0,0,0,0,0.0,7871,124,449,63,33,0,0,0,0,0.0,10378,170,610,61,
14,3289,395098,120,587,32,2,234,147,117,6.25,7331,118,503,62,33,0,0,0,0,0.0,8957,144,454,62,
15,3312,384493,116,555,32,0,0,0,0,0.0,7119,114,432,62,33,0,0,0,0,0.0,10206,167,548,61,
16,3366,401237,119,567,32,0,0,0,0,0.0,6165,99,435,62,33,0,0,0,0,0.0,11529,189,582,61,
17,3284,401916,122,649,32,3,250,120,83,9.375,6442,103,425,62,33,0,0,0,0,0.0,9674,158,551,61,
18,3406,389758,114,550,32,0,0,0,0,0.0,6791,109,484,62,33,0,0,0,0,0.0,10490,169,540,62,
19,3339,389882,116,565,32,0,0,0,0,0.0,8052,129,498,62,33,0,0,0,0,0.0,9970,163,557,61,
20,3486,409118,117,499,32,0,0,0,0,0.0,7452,120,465,62,33,0,0,0,0,0.0,9749,157,521,62,
21,3306,370825,112,510,32,0,0,0,0,0.0,8201,132,433,62,33,0,0,0,0,0.0,10599,168,522,63,
22,3346,391388,116,556,32,1,77,77,77,3.125,7532,121,482,62,33,0,0,0,0,0.0,9785,160,588,61,
23,3445,396222,115,544,32,0,0,0,0,0.0,7441,120,634,62,33,0,0,0,0,0.0,10659,174,519,61,
24,3396,387611,114,689,32,0,0,0,0,0.0,7341,116,476,63,33,1,89,89,89,3.030303,9613,155,505,62,
25,3366,397835,118,490,32,0,0,0,0,0.0,6493,103,423,63,33,0,0,0,0,0.0,11244,184,578,61,
26,3394,398858,117,706,32,0,0,0,0,0.0,5920,93,401,63,33,0,0,0,0,0.0,9754,159,552,61,
27,3320,382028,115,633,32,0,0,0,0,0.0,7204,116,492,62,33,0,0,0,0,0.0,10214,164,548,62,
28,3374,383180,113,490,32,0,0,0,0,0.0,8508,135,494,63,33,0,0,0,0,0.0,10147,169,586,60,
29,3319,378558,114,494,32,0,0,0,0,0.0,7050,111,418,63,32,3,639,268,213,9.375,10149,172,592,59,
30,3359,408075,121,588,31,1,70,70,70,3.2258062,7765,127,434,61,33,0,0,0,0,0.0,10363,169,584,61,
31,3348,385780,115,581,32,0,0,0,0,0.0,7353,116,422,63,33,3,360,175,120,9.090909,11811,190,652,62,
32,3248,407808,125,692,32,3,357,174,119,9.375,7122,114,437,62,33,0,0,0,0,0.0,10466,171,553,61,
33,3244,370811,114,538,32,0,0,0,0,0.0,5946,95,438,62,33,1,109,109,109,3.030303,9492,158,581,60,
34,3322,392423,118,660,32,1,73,73,73,3.125,8789,141,506,62,33,0,0,0,0,0.0,10900,178,573,61,
35,3305,380151,115,618,32,0,0,0,0,0.0,7152,115,485,62,33,0,0,0,0,0.0,11593,190,548,61,
36,3348,379218,113,555,32,0,0,0,0,0.0,7689,124,467,62,33,0,0,0,0,0.0,10110,165,554,61,
37,3360,386825,115,457,33,2,183,114,91,6.060606,8129,127,538,64,33,0,0,0,0,0.0,10437,171,553,61,
38,3396,391753,115,573,32,0,0,0,0,0.0,7447,120,481,62,33,0,0,0,0,0.0,10484,171,563,61,
39,3424,420712,122,631,31,0,0,0,0,0.0,8603,138,526,62,33,0,0,0,0,0.0,11300,185,567,61,
40,3334,382729,114,606,32,0,0,0,0,0.0,8113,130,522,62,33,0,0,0,0,0.0,9189,150,457,61,
41,3402,389190,114,533,33,1,109,109,109,3.030303,8478,134,530,63,33,0,0,0,0,0.0,10052,164,628,61,
42,3411,401976,117,486,32,1,111,111,111,3.125,7520,119,468,63,33,0,0,0,0,0.0,9557,159,607,60,
43,3303,385326,116,542,32,0,0,0,0,0.0,7076,114,467,62,33,0,0,0,0,0.0,9759,157,520,62,
44,3353,383132,114,506,32,0,0,0,0,0.0,7872,126,479,62,33,0,0,0,0,0.0,11664,185,607,63,
45,3453,403260,116,601,32,0,0,0,0,0.0,6768,109,444,62,33,0,0,0,0,0.0,11578,186,645,62,
46,3388,424717,125,678,32,6,842,241,140,18.75,8667,139,595,62,33,0,0,0,0,0.0,9567,156,539,61,
47,3373,383167,113,483,32,0,0,0,0,0.0,7504,119,411,63,33,0,0,0,0,0.0,10715,172,573,62,
48,3356,389531,116,561,32,1,88,88,88,3.125,7781,123,569,63,33,0,0,0,0,0.0,11580,193,538,60,
49,3370,389335,115,526,32,0,0,0,0,0.0,7407,119,438,62,33,0,0,0,0,0.0,10837,174,577,62,
50,3342,408783,122,529,33,5,586,165,117,15.151516,6678,104,477,64,33,0,0,0,0,0.0,9370,153,586,61,
51,3178,365562,115,477,32,0,0,0,0,0.0,8977,142,483,63,33,0,0,0,0,0.0,10307,168,589,61,
52,3371,426019,126,724,32,1,117,117,117,3.125,8042,129,483,62,33,0,0,0,0,0.0,9302,152,592,61,
53,3353,388592,115,449,32,0,0,0,0,0.0,8710,138,538,63,33,0,0,0,0,0.0,11654,191,574,61,
54,3325,417550,125,781,32,4,603,222,150,12.5,8369,137,665,61,33,0,0,0,0,0.0,10110,165,544,61,
55,3300,394814,119,504,32,1,91,91,91,3.125,6158,99,375,62,33,0,0,0,0,0.0,10499,169,586,62,
56,3284,371537,113,524,32,0,0,0,0,0.0,7465,120,456,62,33,0,0,0,0,0.0,10954,179,558,61,
57,3373,383486,113,577,32,0,0,0,0,0.0,6682,107,418,62,33,1,65,65,65,3.030303,10437,171,598,61,
58,3431,426895,124,579,32,3,330,165,110,9.375,8291,133,467,62,32,0,0,0,0,0.0,10736,173,517,62,
59,3427,398295,116,511,32,0,0,0,0,0.0,7497,119,459,63,33,0,0,0,0,0.0,11381,180,616,63,
60,3361,381466,113,704,32,0,0,0,0,0.0,8379,133,439,63,33,0,0,0,0,0.0,9764,160,532,61,
61,3363,384355,114,613,32,0,0,0,0,0.0,6980,112,417,62,33,0,0,0,0,0.0,11361,183,560,62,
62,3320,380708,114,449,32,0,0,0,0,0.0,7636,121,448,63,33,0,0,0,0,0.0,10640,171,551,62,
63,3332,389342,116,612,32,0,0,0,0,0.0,6559,105,449,62,33,0,0,0,0,0.0,10928,179,644,61,
