run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,16939,2253203,133,683,179,179,329690,3225,1841,100.0,79675,232,783,342,179,179,282765,2946,1579,100.0,54167,158,570,342,
2,16934,2411357,142,664,179,179,310625,3269,1735,100.0,61533,180,825,341,179,179,281634,3117,1573,100.0,67281,197,719,340,
3,16809,2475462,147,646,179,179,314291,3137,1755,100.0,63171,184,708,343,179,179,282722,2955,1579,100.0,65929,192,663,342,
4,16963,2370395,139,968,179,179,322133,3230,1799,100.0,66027,192,771,343,179,179,289256,2987,1615,100.0,69916,205,765,341,
5,17059,2364052,138,731,179,179,309299,3240,1727,100.0,56206,164,749,341,179,179,280855,3023,1569,100.0,72158,211,764,341,
6,17095,2338801,136,617,180,180,309987,3084,1722,100.0,56541,164,600,343,180,180,283500,2910,1575,100.0,72946,212,768,343,
7,16821,2329482,138,594,180,180,301990,3158,1677,100.0,48459,141,706,342,180,180,283500,2910,1575,100.0,80279,234,836,342,
8,16726,2282988,136,624,180,180,308739,3082,1715,100.0,56704,165,581,342,180,180,283500,2910,1575,100.0,78533,229,783,342,
9,16690,2547049,152,796,179,179,315532,3319,1762,100.0,60146,175,910,342,179,179,289911,3037,1619,100.0,71225,208,800,341,
10,16835,2294066,136,680,180,180,297188,3056,1651,100.0,50305,146,638,343,180,180,283500,2910,1575,100.0,88592,259,825,342,
11,16982,2363974,139,713,180,180,316806,3154,1760,100.0,64385,187,705,343,180,180,284226,2932,1579,100.0,68346,199,864,342,
12,16997,2419768,142,725,179,179,326331,3215,1823,100.0,64767,189,684,341,179,179,291446,3023,1628,100.0,65371,191,824,342,
13,16819,2250902,133,708,179,179,317794,3286,1775,100.0,67343,196,831,342,179,179,283277,2941,1582,100.0,63406,185,815,341,
14,16777,2416623,144,699,179,179,317877,3219,1775,100.0,66081,193,660,342,179,179,284265,3135,1588,100.0,65798,192,785,341,
15,16694,2226607,133,656,180,180,294715,3015,1637,100.0,46369,135,622,342,180,180,283500,2910,1575,100.0,89303,261,880,342,
16,16978,2421542,142,752,180,180,304426,3249,1691,100.0,44271,129,643,341,178,178,287792,3131,1616,100.0,85812,252,900,340,
17,16818,2647328,157,768,179,179,323732,3263,1808,100.0,57957,169,729,341,178,178,296695,3123,1666,100.0,67230,198,784,339,
18,16906,2266354,134,648,179,179,308693,3244,1724,100.0,57318,168,791,340,180,180,283516,2911,1575,100.0,71013,207,725,342,
